"","date","hour","fullname","site","station","grounddepth","groundtemp","vwcdepth","vwc","airtemp","solar","windspeed","winddir"
"53","2024-12-01",10,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,300
"54","2024-12-01",10,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,312
"55","2024-12-01",10,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,105.2
"56","2024-12-01",11,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,326
"57","2024-12-01",11,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,341
"58","2024-12-01",11,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,358
"59","2024-12-01",11,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,305
"60","2024-12-01",11,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,132.2
"61","2024-12-01",12,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,340
"62","2024-12-01",12,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,163
"63","2024-12-01",12,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,275.6
"64","2024-12-01",12,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,291
"65","2024-12-01",12,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,93.2
"66","2024-12-01",13,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,343
"67","2024-12-01",13,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,226
"68","2024-12-01",13,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,351.6
"69","2024-12-01",13,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,289
"70","2024-12-01",13,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,82.8
"71","2024-12-01",14,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,327
"72","2024-12-01",14,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,129
"73","2024-12-01",14,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,210.6
"74","2024-12-01",14,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,285
"75","2024-12-01",14,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,79.8
"76","2024-12-01",15,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,329
"77","2024-12-01",15,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,184
"78","2024-12-01",15,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,313
"79","2024-12-01",15,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,284
"80","2024-12-01",15,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,93.2
"81","2024-12-01",16,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,327
"82","2024-12-01",16,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,140
"83","2024-12-01",16,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,155.8
"84","2024-12-01",16,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,170
"85","2024-12-01",16,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,51.8
"86","2024-12-01",17,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,314
"87","2024-12-01",17,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,128
"88","2024-12-01",17,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,144.8
"89","2024-12-01",17,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,132
"90","2024-12-01",17,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,36.4
"91","2024-12-01",18,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,306
"92","2024-12-01",18,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,145
"93","2024-12-01",18,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,305.6
"94","2024-12-01",18,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,132
"95","2024-12-01",18,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,94.2
"96","2024-12-01",19,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,300
"97","2024-12-01",19,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,139
"98","2024-12-01",19,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,201.8
"99","2024-12-01",19,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,132
