Line#,Date,"Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398712-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4","Wind Direction (S-WDA 21401801:21350820-1), *, RX3000_BRW4","Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398712-3), *, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398715-3), *, RX3000_BRW1","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6_BEO","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6"
1,06/17/22 00:00:00,,,,,,,,,,62,334,,314,277,65,122,,18
2,06/17/22 00:05:00,,,,,,,,,,70,334,,317,278,65,129,,20
3,06/17/22 00:10:00,,,,,,,,,,76,334,,310,279,65,131,,37
4,06/17/22 00:15:00,,,,,,,,,,74,334,,340,281,65,125,,58
5,06/17/22 00:20:00,,,,,,,,,,53,334,,317,286,65,124,,58
6,06/17/22 00:25:00,,,,,,,,,,53,334,,320,286,65,131,,65
7,06/17/22 00:30:00,,,,,,,,,,46,334,,327,286,65,119,,66
8,06/17/22 00:35:00,,,,,,,,,,39,334,,333,288,66,132,,66
9,06/17/22 00:40:00,,,,,,,,,,32,334,,67,288,72,129,,66
10,06/17/22 00:45:00,,,,,,,,,,66,334,,104,288,104,138,,72
11,06/17/22 00:50:00,,,,,,,,306,,69,334,,67,286,142,125,,74
12,06/17/22 00:55:00,,,,,,,,312,153,65,334,,93,288,163,139,,74
13,06/17/22 01:00:00,,,,,,,,314,150,41,334,,105,288,175,147,,74
14,06/17/22 01:05:00,,,,,,,,307,147,53,334,,112,288,177,149,,74
15,06/17/22 01:10:00,,,,,,,,312,157,108,334,,111,288,211,145,,74
16,06/17/22 01:15:00,,,,,,,,314,166,170,320,,115,288,241,142,,77
17,06/17/22 01:20:00,,,,,,,,317,166,212,331,,114,286,239,142,,77
18,06/17/22 01:25:00,,,,,,,,314,171,198,331,,114,288,237,140,,77
19,06/17/22 01:30:00,,,,,,,,316,174,222,324,,115,288,244,122,,77
20,06/17/22 01:35:00,,,,,,,,317,177,181,324,,115,288,246,17,,77
21,06/17/22 01:40:00,,,,,,,,316,177,199,171,,117,289,253,17,,107
22,06/17/22 01:45:00,,,,,,,,312,154,282,204,,117,62,258,86,,110
23,06/17/22 01:50:00,,,,,,,,313,138,265,211,,118,79,282,160,,126
24,06/17/22 01:55:00,,,,,,,,312,142,281,212,,117,125,277,173,,126
25,06/17/22 02:00:00,,,,,,,,303,154,286,212,,119,133,271,160,,132
26,06/17/22 02:05:00,,,,,,,,309,160,275,219,,115,121,326,164,,133
27,06/17/22 02:10:00,,,,,,,,303,152,274,222,,110,110,309,166,,135
28,06/17/22 02:15:00,,,,,,,,303,153,271,220,,111,115,314,153,,145
29,06/17/22 02:20:00,,,,,,,,306,146,281,222,,110,117,329,184,,145
30,06/17/22 02:25:00,,,,,,,,307,142,270,223,,110,119,348,171,,150
31,06/17/22 02:30:00,,,,,,,,309,138,274,226,,108,108,348,216,,152
32,06/17/22 02:35:00,,,,,,,,309,129,267,222,,108,111,345,173,,152
33,06/17/22 02:40:00,,,,,,,,307,136,261,226,,102,114,345,190,,156
34,06/17/22 02:45:00,,,,,,,,310,118,260,230,,107,131,350,143,,161
35,06/17/22 02:50:00,,,,,,,,310,121,264,225,,101,107,337,139,,160
36,06/17/22 02:55:00,,,,,,,,312,128,277,225,,107,131,340,140,,161
37,06/17/22 03:00:00,,,,,,,,314,128,295,225,,112,118,334,115,,164
38,06/17/22 03:05:00,,,,,,,,305,110,282,225,,115,124,354,114,,164
39,06/17/22 03:10:00,,,,,,,,307,98,314,230,,121,117,354,171,,164
40,06/17/22 03:15:00,,,,,,,,310,112,288,230,,112,115,354,194,,166
41,06/17/22 03:20:00,,,,,,,,312,119,268,227,,112,132,355,135,,167
42,06/17/22 03:25:00,,,,,,,,312,105,271,226,,118,124,350,102,,164
43,06/17/22 03:30:00,,,,,,,,307,108,268,229,,112,133,355,131,,166
44,06/17/22 03:35:00,,,,,,,,305,112,275,229,,125,122,357,88,,171
45,06/17/22 03:40:00,,,,,,,,307,132,263,225,,108,124,352,107,,178
46,06/17/22 03:45:00,,,,,,,,312,117,270,225,,107,118,352,166,,175
47,06/17/22 03:50:00,,,,,,,,306,129,275,229,,230,124,352,293,,174
48,06/17/22 03:55:00,,,,,,,,306,118,274,229,,277,119,351,319,,174
49,06/17/22 04:00:00,,,,,,,,305,104,278,225,,138,110,357,306,,175
50,06/17/22 04:05:00,,,,,,,,302,114,270,225,,246,118,357,355,,177
51,06/17/22 04:10:00,,,,,,,,306,118,265,229,,293,98,351,284,,181
52,06/17/22 04:15:00,,,,,,,,310,119,3,223,,293,132,348,293,,183
53,06/17/22 04:20:00,,,,,,,,310,110,247,225,,295,112,341,291,,181
54,06/17/22 04:25:00,,,,,,,,305,115,268,239,,296,114,350,282,,180
55,06/17/22 04:30:00,,,,,,,,306,118,34,239,,298,108,344,282,,183
56,06/17/22 04:35:00,,,,,,,,306,122,282,234,,299,119,350,278,,184
57,06/17/22 04:40:00,,,,,,,,309,110,324,229,,305,117,350,281,,184
58,06/17/22 04:45:00,,,,,,,,307,110,27,240,,296,108,351,288,,184
59,06/17/22 04:50:00,,,,,,,,310,119,354,230,,295,108,350,289,,184
60,06/17/22 04:55:00,,,,,,,,303,112,32,234,,298,110,354,284,,181
61,06/17/22 05:00:00,,,,,,,,312,114,6,239,,298,111,355,288,,183
62,06/17/22 05:05:00,,,,,,,,312,115,25,233,,296,112,357,289,,183
63,06/17/22 05:10:00,,,,,,,,310,124,13,236,,296,107,358,291,,183
64,06/17/22 05:15:00,,,,,,,,314,121,48,234,,293,107,6,289,,184
65,06/17/22 05:20:00,,,,,,,,313,128,29,232,,296,110,10,289,,184
66,06/17/22 05:25:00,,,,,,,,316,114,46,233,,296,111,6,291,,188
67,06/17/22 05:30:00,,,,,,,,317,128,32,232,,296,121,358,289,,185
68,06/17/22 05:35:00,,,,,,,,321,128,31,233,,295,124,358,291,,187
69,06/17/22 05:40:00,,,,,,,,319,114,29,226,,296,117,7,291,,188
70,06/17/22 05:45:00,,,,,,,,316,114,29,234,,298,122,7,293,,188
71,06/17/22 05:50:00,,,,,,,,320,121,32,263,,298,117,354,293,,190
72,06/17/22 05:55:00,,,,,,,,313,139,32,247,,299,115,6,291,,192
73,06/17/22 06:00:00,,,,,,,,316,124,32,302,,303,118,13,292,,190
74,06/17/22 06:05:00,,,,,,,,314,119,31,267,,303,112,7,295,,190
75,06/17/22 06:10:00,,,,,,,,317,139,29,329,,300,117,13,291,,191
76,06/17/22 06:15:00,,,,,,,,316,119,22,320,,299,115,29,289,,192
77,06/17/22 06:20:00,,,,,,,,313,115,29,316,,302,117,34,299,,191
78,06/17/22 06:25:00,,,,,,,,336,60,81,27,,303,319,38,63,,190
79,06/17/22 06:30:00,,,,,,,,66,14,192,28,,305,321,67,56,,190
80,06/17/22 06:35:00,,,,,,,,79,330,222,24,,72,309,87,4,,195
81,06/17/22 06:40:00,,,,,,,,97,343,175,35,,306,317,21,32,,343
82,06/17/22 06:45:00,,,,,,,,66,333,177,18,,302,305,21,46,,321
83,06/17/22 06:50:00,,,,,,,,88,338,177,10,,303,293,32,67,,321
84,06/17/22 06:55:00,,,,,,,,74,4,177,10,,306,302,39,44,,345
85,06/17/22 07:00:00,,,,,,,,74,321,177,10,,305,312,39,60,,329
86,06/17/22 07:05:00,,,,,,,,81,11,177,4,,303,314,39,77,,327
87,06/17/22 07:10:00,,,,,,,,87,49,160,4,,334,321,39,129,,327
88,06/17/22 07:15:00,,,,,,,,87,107,63,4,,309,321,39,110,,324
89,06/17/22 07:20:00,,,,,,,,87,86,62,4,,307,321,39,117,,350
90,06/17/22 07:25:00,,,,,,,,88,105,62,4,,309,321,39,135,,350
91,06/17/22 07:30:00,,,,,,,,90,129,59,4,,309,320,39,114,,351
92,06/17/22 07:35:00,,,,,,,,87,84,56,4,,305,319,39,112,,351
93,06/17/22 07:40:00,,,,,,,,86,101,39,4,,305,319,39,122,,351
94,06/17/22 07:45:00,,,,,,,,86,117,38,4,,309,319,39,128,,357
95,06/17/22 07:50:00,,,,,,,,86,136,38,4,,314,319,39,146,,358
96,06/17/22 07:55:00,,,,,,,,87,110,38,4,,309,319,39,126,,358
97,06/17/22 08:00:00,,,,,,,,86,86,38,3,,307,319,39,97,,358
98,06/17/22 08:05:00,,,,,,,,83,88,38,358,,306,312,42,98,,358
99,06/17/22 08:10:00,,,,,,,,79,60,38,358,,305,296,42,93,,358
100,06/17/22 08:15:00,,,,,,,,72,35,38,331,,303,310,41,55,,358
101,06/17/22 08:20:00,,,,,,,,87,37,39,329,,305,293,34,91,,357
102,06/17/22 08:25:00,,,,,,,,94,72,41,329,,310,282,34,104,,6
103,06/17/22 08:30:00,,,,,,,,94,79,44,329,,316,286,32,118,,7
104,06/17/22 08:35:00,,,,,,,,94,107,46,329,,345,286,32,124,,15
105,06/17/22 08:40:00,,,,,,,,94,112,60,329,,327,286,34,125,,20
106,06/17/22 08:45:00,,,,,,,,48,122,66,329,,94,286,34,150,,29
107,06/17/22 08:50:00,,,,,,,,334,154,63,329,,110,286,34,154,,39
108,06/17/22 08:55:00,,,,,,,,317,166,53,329,,105,286,34,154,,46
109,06/17/22 09:00:00,,,,,,,,319,157,52,329,,88,286,34,152,,48
110,06/17/22 09:05:00,,,,,,,,319,139,53,329,,101,286,60,145,,48
111,06/17/22 09:10:00,,,,,,,,321,157,39,329,,95,286,74,146,,41
112,06/17/22 09:15:00,,,,,,,,312,161,31,329,,104,286,79,147,,34
113,06/17/22 09:20:00,,,,,,,,317,154,31,329,,111,286,81,149,,46
114,06/17/22 09:25:00,,,,,,,,321,146,22,329,,114,286,117,149,,45
115,06/17/22 09:30:00,,,,,,,,313,152,22,329,,114,286,118,149,,46
116,06/17/22 09:35:00,,,,,,,,313,150,31,329,,114,286,119,149,,46
117,06/17/22 09:40:00,,,,,,,,313,157,39,329,,114,286,121,147,,46
118,06/17/22 09:45:00,,,,,,,,307,156,72,329,,114,286,140,139,,46
119,06/17/22 09:50:00,,,,,,,,306,157,46,329,,114,286,140,133,,46
120,06/17/22 09:55:00,,,,,,,,302,167,39,329,,114,286,140,133,,46
121,06/17/22 10:00:00,,,,,,,,305,164,46,329,,114,286,140,133,,46
122,06/17/22 10:05:00,,,,,,,,306,170,28,329,,114,286,140,133,,46
123,06/17/22 10:10:00,,,,,,,,306,157,13,329,,114,286,140,133,,46
124,06/17/22 10:15:00,,,,,,,,306,163,14,329,,114,286,140,133,,46
125,06/17/22 10:20:00,,,,,,,,307,163,21,329,,114,286,140,133,,46
126,06/17/22 10:25:00,,,,,,,,309,163,21,329,,114,286,140,133,,46
127,06/17/22 10:30:00,,,,,,,,309,163,21,329,,114,286,140,133,,46
128,06/17/22 10:35:00,,,,,,,,309,163,21,329,,114,286,140,136,,46
129,06/17/22 10:40:00,,,,,,,,309,163,21,329,,114,286,140,188,,46
130,06/17/22 10:45:00,,,,,,,,309,163,21,329,,114,286,140,282,,46
131,06/17/22 10:50:00,,,,,,,,309,163,21,329,,114,286,140,271,,46
132,06/17/22 10:55:00,,,,,,,,309,163,21,329,,114,286,140,271,,46
133,06/17/22 11:00:00,,,,,,,,309,163,21,329,,114,286,140,300,,45
134,06/17/22 11:05:00,,,,,,,,309,163,21,329,,114,292,140,323,,45
135,06/17/22 11:10:00,,,,,,,,307,163,21,329,,114,298,140,358,,45
136,06/17/22 11:15:00,,,,,,,,307,153,21,329,,307,299,140,87,,45
137,06/17/22 11:20:00,,,,,,,,326,184,21,329,,303,303,140,46,,45
138,06/17/22 11:25:00,,,,,,,,66,7,20,329,,303,314,140,45,,45
139,06/17/22 11:30:00,,,,,,,,81,42,21,352,,303,309,140,48,,32
140,06/17/22 11:35:00,,,,,,,,80,56,24,1,,303,295,117,74,,22
141,06/17/22 11:40:00,,,,,,,,81,44,35,1,,305,300,66,84,,10
142,06/17/22 11:45:00,,,,,,,,81,52,35,343,,303,327,74,83,,7
143,06/17/22 11:50:00,,,,,,,,69,15,24,336,,302,329,69,67,,1
144,06/17/22 11:55:00,,,,,,,,72,14,42,319,,303,316,67,74,,11
145,06/17/22 12:00:00,,,,,,,,343,76,44,316,,309,310,48,108,,46
146,06/17/22 12:05:00,,,,,,,,312,72,29,327,,307,289,46,110,,17
147,06/17/22 12:10:00,,,,,,,,313,63,17,320,,303,330,60,76,,0
148,06/17/22 12:15:00,,,,,,,,313,3,17,319,,303,316,72,51,,348
149,06/17/22 12:20:00,,,,,,,,313,8,15,319,,307,300,69,93,,10
150,06/17/22 12:25:00,,,,,,,,313,114,17,319,,307,299,69,102,,17
151,06/17/22 12:30:00,,,,,,,,313,63,17,319,,307,293,67,91,,15
152,06/17/22 12:35:00,,,,,,,,313,62,17,319,,305,295,67,102,,15
153,06/17/22 12:40:00,,,,,,,,344,55,17,291,,312,295,67,173,,10
154,06/17/22 12:45:00,,,,,,,,49,51,17,286,,316,295,67,168,,354
155,06/17/22 12:50:00,,,,,,,,107,29,17,286,,309,293,67,131,,6
156,06/17/22 12:55:00,,,,,,,,143,53,17,286,,303,291,67,81,,8
157,06/17/22 13:00:00,,,,,,,,246,55,22,306,,305,316,60,81,,7
158,06/17/22 13:05:00,,,,,,,,345,39,32,334,,307,307,52,94,,31
159,06/17/22 13:10:00,,,,,,,,300,104,58,324,,307,316,66,91,,81
160,06/17/22 13:15:00,,,,,,,,270,94,56,305,,310,298,49,102,,142
161,06/17/22 13:20:00,,,,,,,,306,157,105,324,,321,292,81,117,,79
162,06/17/22 13:25:00,,,,,,,,320,187,112,277,,108,65,65,271,,114
163,06/17/22 13:30:00,,,,,,,,81,145,66,300,,97,110,243,145,,80
164,06/17/22 13:35:00,,,,,,,,310,178,253,302,,107,73,303,180,,98
165,06/17/22 13:40:00,,,,,,,,13,146,66,226,,114,76,251,171,,62
166,06/17/22 13:45:00,,,,,,,,321,178,181,226,,114,76,251,170,,60
167,06/17/22 13:50:00,,,,,,,,38,112,166,226,,115,76,271,177,,60
168,06/17/22 13:55:00,,,,,,,,38,95,166,226,,309,76,271,104,,60
169,06/17/22 14:00:00,,,,,,,,38,95,166,226,,307,76,271,104,,60
170,06/17/22 14:05:00,,,,,,,,38,100,164,226,,310,76,268,140,,60
171,06/17/22 14:10:00,,,,,,,,358,156,154,226,,108,76,241,147,,60
172,06/17/22 14:15:00,,,,,,,,320,143,0,226,,100,76,230,145,,60
173,06/17/22 14:20:00,,,,,,,,326,146,355,226,,110,76,226,149,,60
174,06/17/22 14:25:00,,,,,,,,327,154,142,226,,105,76,223,149,,60
175,06/17/22 14:30:00,,,,,,,,326,166,121,226,,105,76,223,147,,60
176,06/17/22 14:35:00,,,,,,,,316,174,223,226,,101,76,223,147,,60
177,06/17/22 14:40:00,,,,,,,,344,173,254,226,,95,76,223,146,,60
178,06/17/22 14:45:00,,,,,,,,331,173,226,226,,101,76,223,152,,60
179,06/17/22 14:50:00,,,,,,,,319,171,265,226,,101,76,225,153,,60
180,06/17/22 14:55:00,,,,,,,,317,164,124,226,,102,76,232,153,,60
181,06/17/22 15:00:00,,,,,,,,317,156,98,226,,102,76,234,152,,60
182,06/17/22 15:05:00,,,,,,,,317,159,205,226,,102,76,234,152,,60
183,06/17/22 15:10:00,,,,,,,,316,146,115,226,,102,76,234,152,,60
184,06/17/22 15:15:00,,,,,,,,316,156,45,226,,102,76,234,152,,60
185,06/17/22 15:20:00,,,,,,,,313,125,97,226,,102,76,234,152,,60
186,06/17/22 15:25:00,,,,,,,,300,160,107,226,,102,76,234,142,,60
187,06/17/22 15:30:00,,,,,,,,289,170,177,226,,100,76,234,138,,60
188,06/17/22 15:35:00,,,,,,,,300,161,216,226,,305,76,234,124,,60
189,06/17/22 15:40:00,,,,,,,,300,156,100,226,,306,76,234,138,,60
190,06/17/22 15:45:00,,,,,,,,300,167,35,226,,305,76,234,118,,60
191,06/17/22 15:50:00,,,,,,,,300,149,84,226,,305,76,234,139,,60
192,06/17/22 15:55:00,,,,,,,,300,122,108,226,,306,76,234,121,,60
193,06/17/22 16:00:00,,,,,,,,300,146,59,226,,307,76,234,112,,60
194,06/17/22 16:05:00,,,,,,,,300,133,112,226,,306,76,234,97,,59
195,06/17/22 16:10:00,,,,,,,,350,100,122,226,,303,29,234,72,,58
196,06/17/22 16:15:00,,,,,,,,69,10,122,226,,303,327,234,67,,58
197,06/17/22 16:20:00,,,,,,,,69,1,66,226,,305,316,234,53,,58
198,06/17/22 16:25:00,,,,,,,,70,3,48,226,,305,314,234,49,,58
199,06/17/22 16:30:00,,,,,,,,76,0,27,226,,302,312,234,35,,55
200,06/17/22 16:35:00,,,,,,,,76,0,6,226,,300,296,232,337,,25
201,06/17/22 16:40:00,,,,,,,,84,358,6,226,,303,303,227,42,,10
202,06/17/22 16:45:00,,,,,,,,73,1,6,226,,299,309,226,28,,6
203,06/17/22 16:50:00,,,,,,,,70,1,6,226,,302,305,226,52,,6
204,06/17/22 16:55:00,,,,,,,,70,358,6,271,,305,312,226,37,,6
205,06/17/22 17:00:00,,,,,,,,65,1,6,0,,303,314,226,38,,6
206,06/17/22 17:05:00,,,,,,,,67,1,4,0,,298,309,229,41,,6
207,06/17/22 17:10:00,,,,,,,,69,3,4,0,,300,296,229,63,,6
208,06/17/22 17:15:00,,,,,,,,73,1,4,0,,303,306,229,52,,6
209,06/17/22 17:20:00,,,,,,,,52,24,4,0,,303,312,229,53,,6
210,06/17/22 17:25:00,,,,,,,,73,48,4,1,,303,323,227,49,,6
211,06/17/22 17:30:00,,,,,,,,72,13,354,0,,303,312,229,41,,6
212,06/17/22 17:35:00,,,,,,,,66,358,333,15,,303,312,229,41,,6
213,06/17/22 17:40:00,,,,,,,,66,355,333,331,,305,324,229,45,,6
214,06/17/22 17:45:00,,,,,,,,63,4,333,310,,302,319,233,46,,
215,06/17/22 17:50:00,,,,,,,,76,350,327,340,,305,309,257,35,,
216,06/17/22 17:55:00,,,,,,,,70,1,316,1,,303,317,264,39,,
217,06/17/22 18:00:00,,,,,,,,77,3,316,97,,303,321,275,46,,
218,06/17/22 18:05:00,,,,,,,,76,14,312,13,,305,305,289,35,,
219,06/17/22 18:10:00,,,,,,,,70,21,303,334,,303,317,316,49,,
220,06/17/22 18:15:00,,,,,,,,69,8,296,352,,305,314,35,45,,
221,06/17/22 18:20:00,,,,,,,,73,15,278,27,,305,320,1,32,,
222,06/17/22 18:25:00,,,,,,,,76,11,240,336,,303,316,298,34,,
223,06/17/22 18:30:00,,,,,,,,69,7,229,13,,303,314,344,37,,
224,06/17/22 18:35:00,,,,,,,,73,4,185,313,,303,317,355,37,,
225,06/17/22 18:40:00,,,,,,,,66,6,253,352,,303,319,18,48,,
226,06/17/22 18:45:00,,,,,,,,65,3,168,,,,,,,,
227,06/17/22 18:50:00,,,,,,,,65,3,175,,,,,,,,
228,06/17/22 18:55:00,,,,,,,,73,1,132,,,,,,,,
229,06/17/22 19:00:00,,,,,,,,69,358,145,,,,,,,,
230,06/17/22 19:05:00,,,,,,,,65,343,170,,,,,,,,
231,06/17/22 19:10:00,,,,,,,,73,355,164,,,,,,,,
232,06/17/22 19:15:00,,,,,,,,69,4,181,,,,,,,,
233,06/17/22 19:20:00,,,,,,,,69,4,230,18,,,,319,,,
234,06/17/22 19:25:00,,,,,,,,70,3,239,34,,305,316,312,38,,
235,06/17/22 19:30:00,,,,,,,,73,352,236,17,,302,309,309,37,,
236,06/17/22 19:35:00,,,,,,,,72,354,232,29,,303,321,310,29,,
237,06/17/22 19:40:00,,,,,,,,70,357,230,27,,303,312,310,32,,
238,06/17/22 19:45:00,,,,,,,,65,338,230,10,,306,307,307,34,,
239,06/17/22 19:50:00,,,,,,,,60,352,229,14,,303,317,306,29,,
240,06/17/22 19:55:00,,,,,,,,55,345,229,10,,305,310,307,29,,
241,06/17/22 20:00:00,,,,,,,,66,1,229,7,,303,314,309,32,,
242,06/17/22 20:05:00,,,,,,,,65,6,229,24,,310,310,310,10,,
243,06/17/22 20:10:00,,,,,,,,62,6,229,38,,312,313,302,358,,
244,06/17/22 20:15:00,,,,,,,,73,4,229,35,,44,313,307,352,,
245,06/17/22 20:20:00,,,,,,,,74,7,232,53,,310,316,300,11,,
246,06/17/22 20:25:00,,,,,,,,83,348,237,32,,320,316,307,7,,
247,06/17/22 20:30:00,,,,,,,,69,7,237,17,,333,316,313,358,,
248,06/17/22 20:35:00,,,,,,,,80,351,237,337,,336,314,312,3,,
249,06/17/22 20:40:00,,,,,,,,65,347,223,271,,307,309,351,10,,
250,06/17/22 20:45:00,,,,,,,,80,347,220,13,,303,314,309,358,,
251,06/17/22 20:50:00,,,,,,,,94,329,220,32,,317,309,306,4,,
252,06/17/22 20:55:00,,,,,,,,88,354,220,25,,15,317,293,1,,
253,06/17/22 21:00:00,,,,,,,,52,350,220,341,,314,307,295,10,,
254,06/17/22 21:05:00,,,,,,,,53,358,220,22,,312,299,275,14,,
255,06/17/22 21:10:00,,,,,,,,74,347,216,13,,56,310,306,358,,
256,06/17/22 21:15:00,,,,,,,,77,350,216,31,,324,313,244,4,,
257,06/17/22 21:20:00,,,,,,,,62,358,213,10,,319,313,293,14,,
258,06/17/22 21:25:00,,,,,,,,45,358,201,323,,307,310,278,27,,
259,06/17/22 21:30:00,,,,,,,,69,4,166,46,,305,309,289,18,,
260,06/17/22 21:35:00,,,,,,,,63,358,227,17,,313,314,309,358,,
261,06/17/22 21:40:00,,,,,,,,73,355,230,3,,313,314,291,8,,
262,06/17/22 21:45:00,,,,,,,,65,6,226,29,,313,312,298,4,,
263,06/17/22 21:50:00,,,,,,,,84,358,225,17,,320,312,293,6,,
264,06/17/22 21:55:00,,,,,,,,56,352,225,6,,348,307,246,3,,
265,06/17/22 22:00:00,,,,,,,,65,1,229,351,,307,307,265,18,,
266,06/17/22 22:05:00,,,,,,,,77,6,226,357,,303,314,299,27,,
267,06/17/22 22:10:00,,,,,,,,70,7,211,45,,327,316,296,11,,
268,06/17/22 22:15:00,,,,,,,,66,354,216,337,,324,307,247,357,,
269,06/17/22 22:20:00,,,,,,,,55,354,227,11,,10,306,331,1,,
270,06/17/22 22:25:00,,,,,,,,72,3,220,354,,340,307,233,357,,
271,06/17/22 22:30:00,,,,,,,,66,3,239,354,,305,306,264,13,,
272,06/17/22 22:35:00,,,,,,,,69,4,202,65,,310,305,243,14,,
273,06/17/22 22:40:00,,,,,,,,65,358,188,337,,306,310,291,13,,
274,06/17/22 22:45:00,,,,,,,,72,7,178,7,,306,312,306,14,,
275,06/17/22 22:50:00,,,,,,,,66,7,171,247,,306,312,279,20,,
276,06/17/22 22:55:00,,,,,,,,70,357,209,27,,317,309,272,11,,
277,06/17/22 23:00:00,,,,,,,,66,1,218,94,,307,306,232,24,,
278,06/17/22 23:05:00,,,,,,,,69,357,199,284,,305,316,298,28,,
279,06/17/22 23:10:00,,,,,,,,66,358,223,329,,314,306,272,18,,
280,06/17/22 23:15:00,,,,,,,,69,4,202,347,,310,319,233,13,,
281,06/17/22 23:20:00,,,,,,,,58,7,174,18,,324,312,271,7,,
282,06/17/22 23:25:00,,,,,,,,62,358,212,343,,326,306,250,358,,
283,06/17/22 23:30:00,,,,,,,,48,337,226,314,,317,307,232,3,,
284,06/17/22 23:35:00,,,,,,,,62,355,239,38,,337,306,247,1,,
285,06/17/22 23:40:00,,,,,,,,72,340,227,13,,358,303,239,6,,
286,06/17/22 23:45:00,,,,,,,,70,333,236,201,,45,305,111,358,,
287,06/17/22 23:50:00,,,,,,,,59,350,223,58,,18,303,350,10,,
288,06/17/22 23:55:00,,,,,,,,69,341,223,29,,38,306,268,4,,
289,06/18/22 00:00:00,,,,,,,,70,345,225,331,,13,313,254,3,,
290,06/18/22 00:05:00,,,,,,,,58,341,246,291,,312,303,225,18,,
291,06/18/22 00:10:00,,,,,,,,55,338,258,93,,3,305,7,357,,
292,06/18/22 00:15:00,,,,,,,,41,331,229,357,,122,298,253,1,,
293,06/18/22 00:20:00,,,,,,,,69,316,185,351,,112,302,246,348,,
294,06/18/22 00:25:00,,,,,,,,52,313,177,310,,105,286,83,347,,
295,06/18/22 00:30:00,,,,,,,,97,326,163,174,,80,300,81,351,,
296,06/18/22 00:35:00,,,,,,,,76,343,183,4,,3,316,191,1,,
297,06/18/22 00:40:00,,,,,,,,42,352,263,345,,312,309,279,10,,
298,06/18/22 00:45:00,,,,,,,,58,3,205,110,,309,302,275,27,,
299,06/18/22 00:50:00,,,,,,,,74,3,212,35,,303,312,282,29,,
300,06/18/22 00:55:00,,,,,,,,69,358,237,355,,306,320,324,32,,
301,06/18/22 01:00:00,,,,,,,,72,3,202,343,,303,314,310,37,,
302,06/18/22 01:05:00,,,,,,,,63,6,220,347,,309,316,275,24,,
303,06/18/22 01:10:00,,,,,,,,72,3,206,351,,309,316,299,21,,
304,06/18/22 01:15:00,,,,,,,,72,358,212,41,,305,307,331,32,,
305,06/18/22 01:20:00,,,,,,,,65,358,282,309,,305,312,302,32,,
306,06/18/22 01:25:00,,,,,,,,66,7,212,14,,307,316,275,20,,
307,06/18/22 01:30:00,,,,,,,,70,6,225,121,,312,300,285,29,,
308,06/18/22 01:35:00,,,,,,,,76,3,195,49,,305,305,292,22,,
309,06/18/22 01:40:00,,,,,,,,69,4,219,173,,309,313,168,22,,
310,06/18/22 01:45:00,,,,,,,,45,357,209,192,,305,306,272,20,,
311,06/18/22 01:50:00,,,,,,,,63,7,208,21,,316,312,246,13,,
312,06/18/22 01:55:00,,,,,,,,67,4,263,22,,314,313,241,14,,
313,06/18/22 02:00:00,,,,,,,,73,4,222,8,,310,314,278,15,,
314,06/18/22 02:05:00,,,,,,,,73,10,211,321,,13,310,285,355,,
315,06/18/22 02:10:00,,,,,,,,49,326,205,358,,307,309,247,4,,
316,06/18/22 02:15:00,,,,,,,,59,341,206,38,,341,298,20,354,,
317,06/18/22 02:20:00,,,,,,,,56,348,215,310,,323,307,237,7,,
318,06/18/22 02:25:00,,,,,,,,52,355,213,21,,306,310,264,27,,
319,06/18/22 02:30:00,,,,,,,,70,3,204,8,,306,320,305,29,,
320,06/18/22 02:35:00,,,,,,,,77,4,236,355,,303,321,299,38,,
321,06/18/22 02:40:00,,,,,,,,74,4,190,293,,305,320,13,42,,
322,06/18/22 02:45:00,,,,,,,,70,6,171,274,,303,329,27,45,,
323,06/18/22 02:50:00,,,,,,,,77,10,261,337,,302,319,56,52,,
324,06/18/22 02:55:00,,,,,,,,72,6,233,313,,305,320,10,44,,
325,06/18/22 03:00:00,,,,,,,,69,4,180,344,,303,312,331,45,,
326,06/18/22 03:05:00,,,,,,,,67,4,206,237,,303,323,1,48,,
327,06/18/22 03:10:00,,,,,,,,73,4,175,6,,305,321,319,35,,
328,06/18/22 03:15:00,,,,,,,,72,7,204,347,,307,310,317,22,,
