sensor	day	value
TNHA-SA	7/25/22	"4,78125000000000000"
TNHA-SA	7/26/22	"2,73958333333333348"
TNHA-SA	7/27/22	"1,57291666666666674"
TNHA-SA	7/28/22	"1,16666666666666674"
TNHA-SA	7/29/22	"1,70833333333333326"
TNHA-SA	7/30/22	"3,18750000000000000"
TNHA-SA	7/31/22	"3,55208333333333348"
TNHA-SA	8/1/22	"4,04166666666666696"
TNHA-SA	8/2/22	"3,60416666666666652"
TNHA-SA	8/3/22	"4,82291666666666696"
TNHA-SA	8/4/22	"7,44791666666666696"
TNHA-SA	8/5/22	"9,31250000000000000"
TNHA-SA	8/6/22	"5,48958333333333304"
TNHA-SA	8/7/22	"5,47916666666666696"
TNHA-SA	8/8/22	"5,27083333333333304"
TNHA-SA	8/9/22	"6,56250000000000000"
TNHA-SA	8/10/22	"4,89583333333333304"
TNHA-SA	8/11/22	"5,29166666666666696"
TNHA-SA	8/12/22	"6,26041666666666696"
TNHA-SA	8/13/22	"4,38541666666666696"
TNHA-SA	8/14/22	"4,25000000000000000"
TNHA-SA	8/15/22	"2,87500000000000000"
TNHA-SA	8/16/22	"1,95833333333333326"
TNHA-SA	8/17/22	"2,52083333333333348"
TNHA-SA	8/18/22	"2,45833333333333348"
TNHA-SA	8/19/22	"1,96875000000000000"
TNHA-SA	8/20/22	"1,80208333333333326"
TNHA-SA	8/21/22	"1,44791666666666674"
TNHA-SA	8/22/22	"1,62500000000000000"
TNHA-SA	8/23/22	"1,85416666666666674"
TNHA-SA	8/24/22	"3,45833333333333348"
TNHA-SA	8/25/22	"5,84375000000000000"
TNHA-SA	8/26/22	"5,39583333333333304"
TNHA-SA	8/27/22	"4,90625000000000000"
TNHA-SA	8/28/22	"3,69791666666666652"
TNHA-SA	8/29/22	"4,59375000000000000"
TNHA-SA	8/30/22	"4,37500000000000000"
TNHA-SA	8/31/22	"4,10416666666666696"
TNHA-SA	9/1/22	"4,50000000000000000"
TNHA-BASE	6/19/22	"3,32847222222222205"
TNHA-BASE	6/20/22	"5,59513888888888911"
TNHA-BASE	6/21/22	"7,56458333333333321"
TNHA-BASE	6/22/22	"5,33506944444444464"
TNHA-BASE	6/23/22	"5,18715277777777750"
TNHA-BASE	6/24/22	"5,39861111111111125"
TNHA-BASE	6/25/22	"5,27638888888888857"
TNHA-BASE	6/26/22	"7,84999999999999964"
TNHA-BASE	6/27/22	"10,48541666666666572"
TNHA-BASE	6/28/22	"8,51770833333333321"
TNHA-BASE	6/29/22	"7,76944444444444393"
