Line#,Date,"Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
231,12/03/22 09:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
232,12/03/22 09:35:00,,,,,,,,,,1,1,1,,,,,,,
233,12/03/22 10:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
234,12/03/22 10:05:00,,,,,,,,,,1,1,1,,,,,,,
235,12/03/22 10:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
236,12/03/22 10:35:00,,,,,,,,,,1,1,1,,,,,,,
237,12/03/22 11:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
238,12/03/22 11:05:00,,,,,,,,,,1,1,1,,,,,,,
239,12/03/22 11:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
240,12/03/22 11:35:00,,,,,,,,,,1,1,1,,,,,,,
241,12/03/22 12:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
242,12/03/22 12:05:00,,,,,,,,,,1,1,1,,,,,,,
243,12/03/22 12:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
244,12/03/22 12:35:00,,,,,,,,,,1,1,1,,,,,,,
245,12/03/22 13:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
246,12/03/22 13:05:00,,,,,,,,,,1,1,1,,,,,,,
247,12/03/22 13:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
248,12/03/22 13:35:00,,,,,,,,,,1,1,1,,,,,,,
249,12/03/22 14:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
250,12/03/22 14:05:00,,,,,,,,,,1,1,1,,,,,,,
251,12/03/22 14:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
252,12/03/22 14:35:00,,,,,,,,,,1,1,1,,,,,,,
253,12/03/22 15:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
254,12/03/22 15:05:00,,,,,,,,,,1,1,1,,,,,,,
255,12/03/22 15:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
256,12/03/22 15:35:00,,,,,,,,,,1,1,1,,,,,,,
257,12/03/22 16:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
258,12/03/22 16:05:00,,,,,,,,,,1,1,1,,,,,,,
259,12/03/22 16:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
260,12/03/22 16:35:00,,,,,,,,,,1,1,1,,,,,,,
261,12/03/22 17:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
262,12/03/22 17:05:00,,,,,,,,,,1,1,1,,,,,,,
263,12/03/22 17:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
264,12/03/22 17:35:00,,,,,,,,,,1,1,1,,,,,,,
265,12/03/22 18:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
266,12/03/22 18:05:00,,,,,,,,,,1,1,1,,,,,,,
267,12/03/22 18:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
268,12/03/22 18:35:00,,,,,,,,,,1,1,1,,,,,,,
269,12/03/22 19:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
270,12/03/22 19:05:00,,,,,,,,,,1,1,1,,,,,,,
271,12/03/22 19:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
272,12/03/22 19:35:00,,,,,,,,,,1,1,1,,,,,,,
273,12/03/22 20:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
274,12/03/22 20:05:00,,,,,,,,,,1,1,1,,,,,,,
275,12/03/22 20:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
276,12/03/22 20:35:00,,,,,,,,,,1,1,1,,,,,,,
277,12/03/22 21:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
278,12/03/22 21:05:00,,,,,,,,,,1,1,1,,,,,,,
279,12/03/22 21:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
280,12/03/22 21:35:00,,,,,,,,,,1,1,1,,,,,,,
281,12/03/22 22:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
282,12/03/22 22:05:00,,,,,,,,,,1,1,1,,,,,,,
283,12/03/22 22:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
284,12/03/22 22:35:00,,,,,,,,,,1,1,1,,,,,,,
285,12/03/22 23:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
286,12/03/22 23:05:00,,,,,,,,,,1,1,1,,,,,,,
287,12/03/22 23:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
288,12/03/22 23:35:00,,,,,,,,,,1,1,1,,,,,,,
289,12/04/22 00:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
290,12/04/22 00:05:00,,,,,,,,,,1,1,1,,,,,,,
291,12/04/22 00:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
292,12/04/22 00:35:00,,,,,,,,,,1,1,1,,,,,,,
293,12/04/22 01:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
294,12/04/22 01:05:00,,,,,,,,,,1,1,1,,,,,,,
295,12/04/22 01:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
296,12/04/22 01:35:00,,,,,,,,,,1,1,1,,,,,,,
297,12/04/22 02:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
298,12/04/22 02:05:00,,,,,,,,,,1,1,1,,,,,,,
299,12/04/22 02:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
300,12/04/22 02:35:00,,,,,,,,,,1,1,1,,,,,,,
301,12/04/22 03:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
302,12/04/22 03:05:00,,,,,,,,,,1,1,1,,,,,,,
303,12/04/22 03:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
304,12/04/22 03:35:00,,,,,,,,,,1,1,1,,,,,,,
305,12/04/22 04:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
306,12/04/22 04:05:00,,,,,,,,,,1,1,1,,,,,,,
307,12/04/22 04:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
308,12/04/22 04:35:00,,,,,,,,,,1,1,1,,,,,,,
309,12/04/22 05:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
310,12/04/22 05:05:00,,,,,,,,,,1,1,1,,,,,,,
311,12/04/22 05:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
312,12/04/22 05:35:00,,,,,,,,,,1,1,1,,,,,,,
313,12/04/22 06:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
314,12/04/22 06:05:00,,,,,,,,,,1,1,1,,,,,,,
315,12/04/22 06:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
316,12/04/22 06:35:00,,,,,,,,,,1,1,1,,,,,,,
317,12/04/22 07:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
318,12/04/22 07:05:00,,,,,,,,,,1,1,1,,,,,,,
319,12/04/22 07:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
320,12/04/22 07:35:00,,,,,,,,,,1,1,1,,,,,,,
321,12/04/22 08:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
322,12/04/22 08:05:00,,,,,,,,,,1,1,1,,,,,,,
323,12/04/22 08:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
324,12/04/22 08:35:00,,,,,,,,,,1,1,1,,,,,,,
325,12/04/22 09:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
326,12/04/22 09:05:00,,,,,,,,,,1,1,1,,,,,,,
327,12/04/22 09:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
328,12/04/22 09:35:00,,,,,,,,,,1,1,1,,,,,,,
329,12/04/22 10:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
330,12/04/22 10:05:00,,,,,,,,,,1,1,1,,,,,,,
331,12/04/22 10:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
332,12/04/22 10:35:00,,,,,,,,,,1,1,1,,,,,,,
333,12/04/22 11:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
334,12/04/22 11:05:00,,,,,,,,,,1,1,1,,,,,,,
335,12/04/22 11:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
336,12/04/22 11:35:00,,,,,,,,,,1,1,1,,,,,,,
337,12/04/22 12:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
338,12/04/22 12:05:00,,,,,,,,,,1,1,1,,,,,,,
339,12/04/22 12:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
340,12/04/22 12:35:00,,,,,,,,,,1,1,1,,,,,,,
341,12/04/22 13:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
342,12/04/22 13:05:00,,,,,,,,,,1,1,1,,,,,,,
343,12/04/22 13:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
344,12/04/22 13:35:00,,,,,,,,,,1,1,1,,,,,,,
345,12/04/22 14:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
346,12/04/22 14:05:00,,,,,,,,,,1,1,1,,,,,,,
347,12/04/22 14:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
348,12/04/22 14:35:00,,,,,,,,,,1,1,1,,,,,,,
349,12/04/22 15:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
350,12/04/22 15:05:00,,,,,,,,,,1,1,1,,,,,,,
351,12/04/22 15:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
352,12/04/22 15:35:00,,,,,,,,,,1,1,1,,,,,,,
353,12/04/22 16:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
354,12/04/22 16:05:00,,,,,,,,,,1,1,1,,,,,,,
355,12/04/22 16:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
356,12/04/22 16:35:00,,,,,,,,,,1,1,1,,,,,,,
357,12/04/22 17:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
358,12/04/22 17:05:00,,,,,,,,,,1,1,1,,,,,,,
359,12/04/22 17:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
360,12/04/22 17:35:00,,,,,,,,,,1,1,1,,,,,,,
361,12/04/22 18:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
362,12/04/22 18:05:00,,,,,,,,,,1,1,1,,,,,,,
363,12/04/22 18:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
364,12/04/22 18:35:00,,,,,,,,,,1,1,1,,,,,,,
365,12/04/22 19:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
366,12/04/22 19:05:00,,,,,,,,,,1,1,1,,,,,,,
367,12/04/22 19:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
368,12/04/22 19:35:00,,,,,,,,,,1,1,1,,,,,,,
369,12/04/22 20:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
370,12/04/22 20:05:00,,,,,,,,,,1,1,1,,,,,,,
371,12/04/22 20:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
372,12/04/22 20:35:00,,,,,,,,,,1,1,1,,,,,,,
373,12/04/22 21:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
374,12/04/22 21:05:00,,,,,,,,,,1,1,1,,,,,,,
375,12/04/22 21:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
376,12/04/22 21:35:00,,,,,,,,,,1,1,1,,,,,,,
377,12/04/22 22:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
378,12/04/22 22:05:00,,,,,,,,,,1,1,1,,,,,,,
379,12/04/22 22:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
380,12/04/22 22:35:00,,,,,,,,,,1,1,1,,,,,,,
381,12/04/22 23:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
382,12/04/22 23:05:00,,,,,,,,,,1,1,1,,,,,,,
383,12/04/22 23:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
384,12/04/22 23:35:00,,,,,,,,,,1,1,1,,,,,,,
385,12/05/22 00:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
386,12/05/22 00:05:00,,,,,,,,,,1,1,1,,,,,,,
387,12/05/22 00:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
388,12/05/22 00:35:00,,,,,,,,,,1,1,1,,,,,,,
389,12/05/22 01:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
390,12/05/22 01:05:00,,,,,,,,,,1,1,1,,,,,,,
391,12/05/22 01:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
392,12/05/22 01:35:00,,,,,,,,,,1,1,1,,,,,,,
393,12/05/22 02:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
394,12/05/22 02:05:00,,,,,,,,,,1,1,1,,,,,,,
395,12/05/22 02:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
396,12/05/22 02:35:00,,,,,,,,,,1,1,1,,,,,,,
397,12/05/22 03:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
398,12/05/22 03:05:00,,,,,,,,,,1,1,1,,,,,,,
399,12/05/22 03:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
400,12/05/22 03:35:00,,,,,,,,,,1,1,1,,,,,,,
401,12/05/22 04:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
402,12/05/22 04:05:00,,,,,,,,,,1,1,1,,,,,,,
403,12/05/22 04:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
404,12/05/22 04:35:00,,,,,,,,,,1,1,1,,,,,,,
405,12/05/22 05:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
406,12/05/22 05:05:00,,,,,,,,,,1,1,1,,,,,,,
407,12/05/22 05:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
408,12/05/22 05:35:00,,,,,,,,,,1,1,1,,,,,,,
409,12/05/22 06:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
410,12/05/22 06:05:00,,,,,,,,,,1,1,1,,,,,,,
411,12/05/22 06:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
412,12/05/22 06:35:00,,,,,,,,,,1,1,1,,,,,,,
413,12/05/22 07:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
414,12/05/22 07:05:00,,,,,,,,,,1,1,1,,,,,,,
415,12/05/22 07:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
416,12/05/22 07:35:00,,,,,,,,,,1,1,1,,,,,,,
417,12/05/22 08:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
418,12/05/22 08:05:00,,,,,,,,,,1,1,1,,,,,,,
419,12/05/22 08:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
420,12/05/22 08:35:00,,,,,,,,,,1,1,1,,,,,,,
421,12/05/22 09:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
422,12/05/22 09:05:00,,,,,,,,,,1,1,1,,,,,,,
423,12/05/22 09:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
424,12/05/22 09:35:00,,,,,,,,,,1,1,1,,,,,,,
425,12/05/22 10:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
426,12/05/22 10:05:00,,,,,,,,,,1,1,1,,,,,,,
427,12/05/22 10:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
428,12/05/22 10:35:00,,,,,,,,,,1,1,1,,,,,,,
429,12/05/22 11:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
430,12/05/22 11:05:00,,,,,,,,,,1,1,1,,,,,,,
431,12/05/22 11:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
432,12/05/22 11:35:00,,,,,,,,,,1,1,1,,,,,,,
433,12/05/22 12:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
434,12/05/22 12:05:00,,,,,,,,,,1,1,1,,,,,,,
435,12/05/22 12:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
436,12/05/22 12:35:00,,,,,,,,,,1,1,1,,,,,,,
437,12/05/22 13:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
438,12/05/22 13:05:00,,,,,,,,,,1,1,1,,,,,,,
439,12/05/22 13:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
440,12/05/22 13:35:00,,,,,,,,,,1,1,1,,,,,,,
441,12/05/22 14:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
442,12/05/22 14:05:00,,,,,,,,,,1,1,1,,,,,,,
443,12/05/22 14:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
444,12/05/22 14:35:00,,,,,,,,,,1,1,1,,,,,,,
445,12/05/22 15:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
446,12/05/22 15:05:00,,,,,,,,,,1,1,1,,,,,,,
447,12/05/22 15:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
448,12/05/22 15:35:00,,,,,,,,,,1,1,1,,,,,,,
449,12/05/22 16:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
450,12/05/22 16:05:00,,,,,,,,,,1,1,1,,,,,,,
451,12/05/22 16:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
452,12/05/22 16:35:00,,,,,,,,,,1,1,1,,,,,,,
453,12/05/22 17:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
454,12/05/22 17:05:00,,,,,,,,,,1,1,1,,,,,,,
455,12/05/22 17:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
456,12/05/22 17:35:00,,,,,,,,,,1,1,1,,,,,,,
457,12/05/22 18:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
458,12/05/22 18:05:00,,,,,,,,,,1,1,1,,,,,,,
459,12/05/22 18:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
460,12/05/22 18:35:00,,,,,,,,,,1,1,1,,,,,,,
461,12/05/22 19:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
462,12/05/22 19:05:00,,,,,,,,,,1,1,1,,,,,,,
463,12/05/22 19:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
464,12/05/22 19:35:00,,,,,,,,,,1,1,1,,,,,,,
465,12/05/22 20:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
466,12/05/22 20:05:00,,,,,,,,,,1,1,1,,,,,,,
467,12/05/22 20:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
468,12/05/22 20:35:00,,,,,,,,,,1,1,1,,,,,,,
469,12/05/22 21:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
470,12/05/22 21:05:00,,,,,,,,,,1,1,1,,,,,,,
471,12/05/22 21:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
472,12/05/22 21:35:00,,,,,,,,,,1,1,1,,,,,,,
473,12/05/22 22:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
474,12/05/22 22:05:00,,,,,,,,,,1,1,1,,,,,,,
475,12/05/22 22:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
476,12/05/22 22:35:00,,,,,,,,,,1,1,1,,,,,,,
477,12/05/22 23:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
478,12/05/22 23:05:00,,,,,,,,,,1,1,1,,,,,,,
479,12/05/22 23:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
480,12/05/22 23:35:00,,,,,,,,,,1,1,1,,,,,,,
481,12/06/22 00:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
482,12/06/22 00:05:00,,,,,,,,,,1,1,1,,,,,,,
483,12/06/22 00:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
484,12/06/22 00:35:00,,,,,,,,,,1,1,1,,,,,,,
485,12/06/22 01:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
486,12/06/22 01:05:00,,,,,,,,,,1,1,1,,,,,,,
487,12/06/22 01:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
488,12/06/22 01:35:00,,,,,,,,,,1,1,1,,,,,,,
489,12/06/22 02:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
490,12/06/22 02:05:00,,,,,,,,,,1,1,1,,,,,,,
491,12/06/22 02:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
492,12/06/22 02:35:00,,,,,,,,,,1,1,1,,,,,,,
493,12/06/22 03:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
494,12/06/22 03:05:00,,,,,,,,,,1,1,1,,,,,,,
495,12/06/22 03:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
496,12/06/22 03:35:00,,,,,,,,,,1,1,1,,,,,,,
497,12/06/22 04:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
498,12/06/22 04:05:00,,,,,,,,,,1,1,1,,,,,,,
499,12/06/22 04:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
500,12/06/22 04:35:00,,,,,,,,,,1,1,1,,,,,,,
501,12/06/22 05:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
502,12/06/22 05:05:00,,,,,,,,,,1,1,1,,,,,,,
503,12/06/22 05:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
504,12/06/22 05:35:00,,,,,,,,,,1,1,1,,,,,,,
505,12/06/22 06:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
506,12/06/22 06:05:00,,,,,,,,,,1,1,1,,,,,,,
507,12/06/22 06:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
508,12/06/22 06:35:00,,,,,,,,,,1,1,1,,,,,,,
509,12/06/22 07:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
510,12/06/22 07:05:00,,,,,,,,,,1,1,1,,,,,,,
511,12/06/22 07:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
512,12/06/22 07:35:00,,,,,,,,,,1,1,1,,,,,,,
513,12/06/22 08:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
514,12/06/22 08:05:00,,,,,,,,,,1,1,1,,,,,,,
515,12/06/22 08:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
516,12/06/22 08:35:00,,,,,,,,,,1,1,1,,,,,,,
517,12/06/22 09:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
518,12/06/22 09:05:00,,,,,,,,,,1,1,1,,,,,,,
519,12/06/22 09:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
520,12/06/22 09:35:00,,,,,,,,,,1,1,1,,,,,,,
521,12/06/22 10:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
522,12/06/22 10:05:00,,,,,,,,,,1,1,1,,,,,,,
523,12/06/22 10:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
524,12/06/22 10:35:00,,,,,,,,,,1,1,1,,,,,,,
525,12/06/22 11:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
526,12/06/22 11:05:00,,,,,,,,,,1,1,1,,,,,,,
527,12/06/22 11:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
528,12/06/22 11:35:00,,,,,,,,,,1,1,1,,,,,,,
529,12/06/22 12:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
530,12/06/22 12:05:00,,,,,,,,,,1,1,1,,,,,,,
531,12/06/22 12:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
532,12/06/22 12:35:00,,,,,,,,,,1,1,1,,,,,,,
533,12/06/22 13:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
534,12/06/22 13:05:00,,,,,,,,,,1,1,1,,,,,,,
535,12/06/22 13:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
536,12/06/22 13:35:00,,,,,,,,,,1,1,1,,,,,,,
537,12/06/22 14:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
538,12/06/22 14:05:00,,,,,,,,,,1,1,1,,,,,,,
539,12/06/22 14:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
540,12/06/22 14:35:00,,,,,,,,,,1,1,1,,,,,,,
541,12/06/22 15:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
542,12/06/22 15:05:00,,,,,,,,,,1,1,1,,,,,,,
543,12/06/22 15:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
544,12/06/22 15:35:00,,,,,,,,,,1,1,1,,,,,,,
545,12/06/22 16:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
546,12/06/22 16:05:00,,,,,,,,,,1,1,1,,,,,,,
547,12/06/22 16:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
548,12/06/22 16:35:00,,,,,,,,,,1,1,1,,,,,,,
549,12/06/22 17:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
550,12/06/22 17:05:00,,,,,,,,,,1,1,1,,,,,,,
551,12/06/22 17:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
552,12/06/22 17:35:00,,,,,,,,,,1,1,1,,,,,,,
553,12/06/22 18:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
554,12/06/22 18:05:00,,,,,,,,,,1,1,1,,,,,,,
555,12/06/22 18:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
556,12/06/22 18:35:00,,,,,,,,,,1,1,1,,,,,,,
557,12/06/22 19:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
558,12/06/22 19:05:00,,,,,,,,,,1,1,1,,,,,,,
559,12/06/22 19:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
560,12/06/22 19:35:00,,,,,,,,,,1,1,1,,,,,,,
561,12/06/22 20:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
562,12/06/22 20:05:00,,,,,,,,,,1,1,1,,,,,,,
563,12/06/22 20:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
564,12/06/22 20:35:00,,,,,,,,,,1,1,1,,,,,,,
565,12/06/22 21:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
566,12/06/22 21:05:00,,,,,,,,,,1,1,1,,,,,,,
567,12/06/22 21:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
568,12/06/22 21:35:00,,,,,,,,,,1,1,1,,,,,,,
569,12/06/22 22:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
570,12/06/22 22:05:00,,,,,,,,,,1,1,1,,,,,,,
571,12/06/22 22:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
572,12/06/22 22:35:00,,,,,,,,,,1,1,1,,,,,,,
573,12/06/22 23:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
574,12/06/22 23:05:00,,,,,,,,,,1,1,1,,,,,,,
575,12/06/22 23:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
576,12/06/22 23:35:00,,,,,,,,,,1,1,1,,,,,,,
577,12/07/22 00:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
578,12/07/22 00:05:00,,,,,,,,,,1,1,1,,,,,,,
579,12/07/22 00:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
580,12/07/22 00:35:00,,,,,,,,,,1,1,1,,,,,,,
581,12/07/22 01:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
