Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6","Solar Radiation (RXW-LIB 21198259:21398616-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398618-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398624-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390411-1), W/m^2, RX3000_BRW5"
1,06/19/22 00:00:00,594,66,62,826,607,59,654,,672,,,,,,
2,06/19/22 00:05:00,609,72,59,813,602,56,648,,643,,,,,,
3,06/19/22 00:10:00,606,77,66,839,593,56,647,,554,,,,,,
4,06/19/22 00:15:00,562,92,87,742,563,58,624,,553,,,,,,
5,06/19/22 00:20:00,571,92,77,762,592,54,637,,578,,,,,,
6,06/19/22 00:25:00,501,84,77,703,597,46,611,,577,,,,,,
7,06/19/22 00:30:00,477,82,84,691,593,46,609,,593,,,,,,
8,06/19/22 00:35:00,603,98,88,712,587,51,619,,624,,,,,,
9,06/19/22 00:40:00,459,83,92,653,591,43,589,,561,,,,,,
10,06/19/22 00:45:00,521,61,66,789,588,52,609,,598,,,,,,
11,06/19/22 00:50:00,528,48,59,799,562,46,583,,613,,,,,,
12,06/19/22 00:55:00,573,59,66,728,574,41,594,,609,,,,,,
13,06/19/22 01:00:00,584,32,43,797,572,47,589,,613,,,,,,
14,06/19/22 01:05:00,574,29,37,787,566,42,584,,617,,,,,,
15,06/19/22 01:10:00,568,29,34,803,566,41,581,,608,,,,,,
16,06/19/22 01:15:00,562,29,34,797,558,34,576,,606,,,,,,
17,06/19/22 01:20:00,556,28,34,788,554,34,572,,601,,,,,,
18,06/19/22 01:25:00,548,28,34,756,551,33,567,,597,,,,,,
19,06/19/22 01:30:00,543,28,34,762,547,32,562,,593,,,,,,
20,06/19/22 01:35:00,537,28,34,764,542,31,554,,588,,,,,,
21,06/19/22 01:40:00,529,28,34,754,537,31,547,,583,,,,,,
22,06/19/22 01:45:00,522,28,36,744,534,33,542,,578,,,,,,
23,06/19/22 01:50:00,517,28,36,733,511,52,544,,574,,,,,,
24,06/19/22 01:55:00,511,28,37,723,516,73,487,,569,,,,,,
25,06/19/22 02:00:00,509,28,38,707,474,48,462,,563,,,,,,
26,06/19/22 02:05:00,499,29,38,699,534,69,514,,563,,,,,,
27,06/19/22 02:10:00,491,28,41,681,444,79,506,,546,,,,,,
28,06/19/22 02:15:00,484,27,38,671,408,78,487,,546,,,,,,
29,06/19/22 02:20:00,483,28,39,657,469,34,507,,542,,,,,,
30,06/19/22 02:25:00,474,28,42,637,484,38,492,,529,,,,,,
31,06/19/22 02:30:00,361,26,39,622,428,47,496,,527,,,,,,
32,06/19/22 02:35:00,453,31,41,617,494,52,432,,528,,,,,,
33,06/19/22 02:40:00,358,32,64,511,438,79,454,,439,,,,,,
34,06/19/22 02:45:00,442,26,44,571,391,64,431,,508,,,,,,
35,06/19/22 02:50:00,436,26,43,551,456,34,457,,494,,,,,,
36,06/19/22 02:55:00,432,26,43,543,477,47,394,,496,,,,,,
37,06/19/22 03:00:00,426,26,269,531,378,51,359,,484,,,,,,
38,06/19/22 03:05:00,417,24,442,499,422,57,338,,482,,,,,,
39,06/19/22 03:10:00,409,24,449,502,361,33,103,,476,,,,,,
40,06/19/22 03:15:00,402,23,473,232,426,38,67,,468,,,,,,
41,06/19/22 03:20:00,396,23,473,89,396,31,56,,462,,,,,,
42,06/19/22 03:25:00,388,22,469,83,423,23,46,,456,,,,,,
43,06/19/22 03:30:00,382,22,464,77,418,23,36,,449,,,,,,
44,06/19/22 03:35:00,376,22,463,71,412,23,33,,443,,,,,,
45,06/19/22 03:40:00,284,22,459,66,404,22,33,,434,,,,,,
46,06/19/22 03:45:00,349,22,456,61,398,22,31,,428,,,,,,
47,06/19/22 03:50:00,354,21,451,57,389,22,29,,421,,,,,,
48,06/19/22 03:55:00,347,21,447,53,386,21,29,,413,,,,,,
49,06/19/22 04:00:00,339,21,442,49,378,21,28,,406,,,,,,
50,06/19/22 04:05:00,117,21,437,46,373,21,28,,398,,,,,,
51,06/19/22 04:10:00,32,21,433,46,368,21,29,,394,,,,,,
52,06/19/22 04:15:00,48,21,434,56,373,22,38,,403,,,,,,
53,06/19/22 04:20:00,72,19,314,63,354,23,53,,312,,,,,,
54,06/19/22 04:25:00,89,22,283,69,207,31,67,,291,,,,,,
55,06/19/22 04:30:00,102,24,241,72,243,34,79,,248,,,,,,
56,06/19/22 04:35:00,101,28,167,69,154,38,83,,179,,,,,,
57,06/19/22 04:40:00,108,32,413,79,259,38,83,,392,,,,,,
58,06/19/22 04:45:00,108,42,488,78,397,54,92,,453,,,,,,
59,06/19/22 04:50:00,74,48,474,51,412,56,86,,421,,,,,,
60,06/19/22 04:55:00,42,37,424,33,356,36,56,,192,,,,,,
61,06/19/22 05:00:00,29,26,391,28,318,26,33,,117,,,,,,
62,06/19/22 05:05:00,27,22,377,26,308,22,27,,176,,,,,,
63,06/19/22 05:10:00,26,19,368,24,298,19,24,,152,,,,,,
64,06/19/22 05:15:00,24,19,363,24,297,19,23,,284,,,,,,
65,06/19/22 05:20:00,24,19,358,23,287,18,22,,206,,,,,,
66,06/19/22 05:25:00,23,18,352,23,279,18,22,,53,,,,,,
67,06/19/22 05:30:00,23,18,348,23,274,18,22,,49,,,,,,
68,06/19/22 05:35:00,23,18,346,22,269,18,22,,48,,,,,,
69,06/19/22 05:40:00,22,18,331,21,262,17,22,,47,,,,,,
70,06/19/22 05:45:00,22,18,332,21,256,17,21,,58,,,,,,
71,06/19/22 05:50:00,22,18,327,21,246,17,21,,242,,,,,,
72,06/19/22 05:55:00,22,18,324,21,246,17,21,,251,,,,,,
73,06/19/22 06:00:00,22,18,319,21,243,17,21,,244,,,,,,
74,06/19/22 06:05:00,22,18,314,19,236,17,19,,238,,,,,,
75,06/19/22 06:10:00,21,18,309,19,228,17,19,,229,,,,,,
76,06/19/22 06:15:00,21,18,303,18,221,17,19,,223,,,,,,
77,06/19/22 06:20:00,19,18,297,18,214,17,18,,217,,,,,,
78,06/19/22 06:25:00,19,17,293,18,209,16,18,,211,,,,,,
79,06/19/22 06:30:00,19,17,288,18,203,16,18,,204,,,,,,
80,06/19/22 06:35:00,19,17,283,18,194,16,18,,199,,,,,,
81,06/19/22 06:40:00,19,17,279,18,188,16,18,,194,,,,,,
82,06/19/22 06:45:00,19,16,277,18,216,16,18,,189,,,,,,
83,06/19/22 06:50:00,19,16,274,18,222,16,18,,186,,,,,,
84,06/19/22 06:55:00,21,16,272,18,219,16,18,,182,,,,,,
85,06/19/22 07:00:00,19,16,264,17,208,16,18,,176,,,,,,
86,06/19/22 07:05:00,18,16,258,17,201,16,17,,168,,,,,,
87,06/19/22 07:10:00,17,16,254,17,206,14,17,,162,,,,,,
88,06/19/22 07:15:00,17,16,249,17,154,14,17,,158,,,,,,
89,06/19/22 07:20:00,17,16,246,17,148,14,16,,149,,,,,,
90,06/19/22 07:25:00,17,16,246,17,147,13,16,,151,,,,,,
91,06/19/22 07:30:00,17,16,238,17,141,13,16,,146,,,,,,
92,06/19/22 07:35:00,17,16,234,17,137,13,16,,142,,,,,,
93,06/19/22 07:40:00,17,14,179,16,77,12,16,,109,,,,,,
94,06/19/22 07:45:00,26,18,213,21,118,14,17,,131,,,,,,
95,06/19/22 07:50:00,23,23,238,21,136,23,24,,144,,,,,,
96,06/19/22 07:55:00,18,19,222,18,131,19,23,,128,,,,,,
97,06/19/22 08:00:00,18,17,213,18,117,16,17,,121,,,,,,
98,06/19/22 08:05:00,18,16,216,18,103,14,17,,121,,,,,,
99,06/19/22 08:10:00,18,17,213,18,111,14,17,,118,,,,,,
100,06/19/22 08:15:00,18,17,212,18,107,14,17,,116,,,,,,
101,06/19/22 08:20:00,18,17,209,18,103,14,17,,112,,,,,,
102,06/19/22 08:25:00,19,17,206,17,97,16,17,,108,,,,,,
103,06/19/22 08:30:00,17,12,37,9,67,14,17,,29,,,,,,
104,06/19/22 08:35:00,16,14,112,13,17,12,16,,64,,,,,,
105,06/19/22 08:40:00,17,16,193,18,61,13,16,,97,,,,,,
106,06/19/22 08:45:00,18,16,197,21,27,14,16,,97,,,,,,
107,06/19/22 08:50:00,21,16,106,18,26,16,17,,61,,,,,,
108,06/19/22 08:55:00,28,17,47,21,27,19,22,,44,,,,,,
109,06/19/22 09:00:00,43,29,79,27,43,34,36,,76,,,,,,
110,06/19/22 09:05:00,36,28,67,21,43,32,37,,62,,,,,,
111,06/19/22 09:10:00,38,26,63,18,38,31,36,,58,,,,,,
112,06/19/22 09:15:00,34,24,54,17,36,29,36,,52,,,,,,
113,06/19/22 09:20:00,32,23,51,17,32,26,32,,48,,,,,,
114,06/19/22 09:25:00,32,22,57,18,32,24,29,,53,,,,,,
115,06/19/22 09:30:00,36,24,66,19,36,26,29,,61,,,,,,
116,06/19/22 09:35:00,37,26,69,22,38,26,32,,63,,,,,,
117,06/19/22 09:40:00,33,26,66,21,38,31,33,,59,,,,,,
118,06/19/22 09:45:00,32,21,54,18,32,22,29,,53,,,,,,
119,06/19/22 09:50:00,32,21,54,21,32,23,28,,53,,,,,,
120,06/19/22 09:55:00,37,23,49,23,29,26,31,,53,,,,,,
121,06/19/22 10:00:00,43,31,56,26,33,33,37,,61,,,,,,
122,06/19/22 10:05:00,36,33,62,19,36,41,42,,57,,,,,,
123,06/19/22 10:10:00,29,29,61,17,27,33,36,,53,,,,,,
124,06/19/22 10:15:00,32,29,61,17,22,29,29,,48,,,,,,
125,06/19/22 10:20:00,28,29,83,16,23,29,29,,53,,,,,,
126,06/19/22 10:25:00,26,23,54,13,21,24,26,,41,,,,,,
127,06/19/22 10:30:00,26,22,54,13,22,24,24,,38,,,,,,
128,06/19/22 10:35:00,21,18,28,11,19,22,23,,28,,,,,,
129,06/19/22 10:40:00,24,16,31,11,17,19,22,,29,,,,,,
130,06/19/22 10:45:00,19,18,32,9,19,24,24,,29,,,,,,
131,06/19/22 10:50:00,18,14,29,8,17,19,21,,26,,,,,,
132,06/19/22 10:55:00,14,14,37,7,14,16,17,,27,,,,,,
133,06/19/22 11:00:00,13,9,18,7,11,12,13,,18,,,,,,
134,06/19/22 11:05:00,13,9,14,8,9,12,12,,17,,,,,,
135,06/19/22 11:10:00,16,9,13,8,9,12,13,,17,,,,,,
136,06/19/22 11:15:00,16,9,13,8,11,13,14,,17,,,,,,
137,06/19/22 11:20:00,17,11,14,9,11,13,14,,19,,,,,,
138,06/19/22 11:25:00,19,14,19,11,12,16,17,,22,,,,,,
139,06/19/22 11:30:00,21,24,69,12,14,18,19,,41,,,,,,
140,06/19/22 11:35:00,17,18,46,11,14,17,18,,32,,,,,,
141,06/19/22 11:40:00,24,18,31,12,14,19,19,,29,,,,,,
142,06/19/22 11:45:00,26,21,34,13,17,22,24,,33,,,,,,
143,06/19/22 11:50:00,28,21,28,14,18,24,26,,32,,,,,,
144,06/19/22 11:55:00,28,22,28,14,19,27,28,,33,,,,,,
145,06/19/22 12:00:00,29,22,29,13,19,27,29,,34,,,,,,
146,06/19/22 12:05:00,29,22,31,14,21,26,28,,34,,,,,,
147,06/19/22 12:10:00,27,21,29,12,19,26,29,,32,,,,,,
148,06/19/22 12:15:00,31,22,34,14,19,26,27,,37,,,,,,
149,06/19/22 12:20:00,31,24,36,14,22,28,29,,39,,,,,,
150,06/19/22 12:25:00,31,26,34,16,22,32,32,,38,,,,,,
151,06/19/22 12:30:00,32,26,34,14,22,29,32,,39,,,,,,
152,06/19/22 12:35:00,34,28,41,16,23,31,32,,44,,,,,,
153,06/19/22 12:40:00,29,31,41,13,22,34,33,,42,,,,,,
154,06/19/22 12:45:00,28,26,34,16,17,31,29,,36,,,,,,
155,06/19/22 12:50:00,34,24,28,19,21,31,29,,38,,,,,,
156,06/19/22 12:55:00,42,26,32,21,24,29,33,,43,,,,,,
157,06/19/22 13:00:00,56,37,38,27,31,39,41,,56,,,,,,
158,06/19/22 13:05:00,44,34,36,24,33,41,47,,51,,,,,,
159,06/19/22 13:10:00,39,28,28,23,28,34,38,,43,,,,,,
160,06/19/22 13:15:00,41,28,28,21,27,33,37,,42,,,,,,
161,06/19/22 13:20:00,39,28,29,21,28,36,39,,43,,,,,,
162,06/19/22 13:25:00,33,24,27,18,27,33,37,,38,,,,,,
163,06/19/22 13:30:00,46,28,31,23,26,31,33,,46,,,,,,
164,06/19/22 13:35:00,49,36,34,24,29,44,43,,51,,,,,,
165,06/19/22 13:40:00,49,34,34,24,32,41,46,,51,,,,,,
166,06/19/22 13:45:00,51,37,37,24,32,47,47,,52,,,,,,
167,06/19/22 13:50:00,43,34,31,24,32,47,49,,47,,,,,,
168,06/19/22 13:55:00,36,29,28,21,29,41,43,,42,,,,,,
169,06/19/22 14:00:00,38,26,27,22,26,32,36,,41,,,,,,
170,06/19/22 14:05:00,39,28,28,23,28,38,39,,43,,,,,,
171,06/19/22 14:10:00,46,29,34,23,32,38,42,,48,,,,,,
172,06/19/22 14:15:00,47,33,37,24,36,47,48,,51,,,,,,
173,06/19/22 14:20:00,49,34,36,26,36,47,49,,52,,,,,,
174,06/19/22 14:25:00,52,36,34,28,36,47,49,,54,,,,,,
175,06/19/22 14:30:00,56,37,38,31,38,48,53,,58,,,,,,
176,06/19/22 14:35:00,57,41,39,31,41,53,57,,61,,,,,,
177,06/19/22 14:40:00,61,41,44,33,42,53,59,,66,,,,,,
178,06/19/22 14:45:00,63,44,47,33,44,56,61,,68,,,,,,
179,06/19/22 14:50:00,64,44,47,36,46,58,63,,69,,,,,,
180,06/19/22 14:55:00,79,53,58,41,48,62,66,,83,,,,,,
181,06/19/22 15:00:00,87,66,66,43,56,82,81,,93,,,,,,
182,06/19/22 15:05:00,83,63,63,43,56,77,83,,91,,,,,,
183,06/19/22 15:10:00,87,66,66,44,58,83,84,,92,,,,,,
184,06/19/22 15:15:00,89,69,69,43,58,87,88,,94,,,,,,
185,06/19/22 15:20:00,83,64,63,43,59,81,87,,89,,,,,,
186,06/19/22 15:25:00,78,59,58,43,57,73,81,,87,,,,,,
187,06/19/22 15:30:00,68,52,44,39,49,67,74,,73,,,,,,
188,06/19/22 15:35:00,52,44,36,31,43,61,64,,57,,,,,,
189,06/19/22 15:40:00,43,33,31,24,33,46,51,,48,,,,,,
190,06/19/22 15:45:00,39,29,31,23,29,38,43,,44,,,,,,
191,06/19/22 15:50:00,38,28,31,22,29,39,41,,43,,,,,,
192,06/19/22 15:55:00,44,27,32,28,31,37,41,,48,,,,,,
193,06/19/22 16:00:00,76,38,46,43,36,41,47,,74,,,,,,
194,06/19/22 16:05:00,87,56,59,51,61,73,76,,94,,,,,,
195,06/19/22 16:10:00,91,63,62,53,64,77,88,,99,,,,,,
196,06/19/22 16:15:00,97,68,63,53,64,86,91,,102,,,,,,
197,06/19/22 16:20:00,128,89,78,62,76,112,109,,124,,,,,,
198,06/19/22 16:25:00,103,93,76,54,84,146,139,,112,,,,,,
199,06/19/22 16:30:00,107,72,71,64,66,83,102,,112,,,,,,
200,06/19/22 16:35:00,132,93,78,71,69,97,99,,132,,,,,,
201,06/19/22 16:40:00,166,127,92,77,84,157,141,,156,,,,,,
202,06/19/22 16:45:00,197,164,108,83,93,191,173,,179,,,,,,
203,06/19/22 16:50:00,237,198,106,82,98,214,203,,207,,,,,,
204,06/19/22 16:55:00,143,127,101,69,93,147,183,,154,,,,,,
205,06/19/22 17:00:00,101,99,82,52,88,147,147,,118,,,,,,
206,06/19/22 17:05:00,89,69,63,52,64,106,113,,98,,,,,,
207,06/19/22 17:10:00,117,76,76,62,67,84,96,,118,,,,,,
208,06/19/22 17:15:00,131,107,92,62,89,139,127,,136,,,,,,
209,06/19/22 17:20:00,101,83,84,51,82,132,138,,114,,,,,,
210,06/19/22 17:25:00,81,66,73,46,72,99,107,,97,,,,,,
211,06/19/22 17:30:00,107,63,69,63,64,81,89,,108,,,,,,
212,06/19/22 17:35:00,134,89,86,73,83,101,106,,136,,,,,,
213,06/19/22 17:40:00,131,102,89,68,94,139,134,,139,,,,,,
214,06/19/22 17:45:00,121,108,89,62,93,141,142,,139,,,,,,
215,06/19/22 17:50:00,99,87,71,56,84,141,142,,108,,,,,,
216,06/19/22 17:55:00,87,72,54,53,67,114,131,,91,,,,,,
217,06/19/22 18:00:00,96,68,51,61,57,91,96,,94,,,,,,
218,06/19/22 18:05:00,83,72,54,49,64,101,98,,93,,,,,,
219,06/19/22 18:10:00,114,62,61,72,61,81,93,,109,,,,,,
220,06/19/22 18:15:00,177,109,86,107,84,107,109,,168,,,,,,
221,06/19/22 18:20:00,219,154,109,123,113,174,167,,211,,,,,,
222,06/19/22 18:25:00,239,193,131,129,132,263,227,,239,,,,,,
223,06/19/22 18:30:00,249,204,136,131,142,248,314,,244,,,,,,
224,06/19/22 18:35:00,277,239,128,138,139,269,252,,259,,,,,,
225,06/19/22 18:40:00,271,278,123,129,128,304,269,,272,,,,,,
226,06/19/22 18:45:00,384,347,118,131,116,318,281,,301,,,,,,
227,06/19/22 18:50:00,293,322,109,139,109,449,343,,288,,,,,,
228,06/19/22 18:55:00,302,288,114,154,128,341,342,,289,,,,,,
229,06/19/22 19:00:00,254,242,119,144,137,294,284,,258,,,,,,
230,06/19/22 19:05:00,276,217,126,153,134,278,264,,258,,,,,,
231,06/19/22 19:10:00,274,253,132,152,153,387,384,,282,,,,,,
232,06/19/22 19:15:00,252,216,127,148,146,279,281,,249,,,,,,
233,06/19/22 19:20:00,401,317,131,174,147,284,257,,346,,,,,,
234,06/19/22 19:25:00,231,252,114,149,146,306,317,,253,,,,,,
235,06/19/22 19:30:00,242,231,96,148,109,258,232,,242,,,,,,
236,06/19/22 19:35:00,298,268,118,176,132,309,289,,291,,,,,,
237,06/19/22 19:40:00,216,229,114,136,137,279,272,,244,,,,,,
238,06/19/22 19:45:00,208,193,106,127,106,221,253,,207,,,,,,
239,06/19/22 19:50:00,241,253,107,172,111,234,211,,262,,,,,,
240,06/19/22 19:55:00,566,476,98,394,101,766,284,,519,,,,,,
241,06/19/22 20:00:00,578,614,91,457,121,"1,068",592,,493,,,,,,
242,06/19/22 20:05:00,334,402,71,233,118,377,437,,303,,,,,,
243,06/19/22 20:10:00,686,738,57,598,77,744,464,,617,,,,,,
244,06/19/22 20:15:00,556,469,54,373,84,366,487,,386,,,,,,
245,06/19/22 20:20:00,562,497,59,303,126,369,336,,348,,,,,,
246,06/19/22 20:25:00,279,508,61,424,88,938,646,,424,,,,,,
247,06/19/22 20:30:00,667,798,63,684,84,942,633,,649,,,,,,
248,06/19/22 20:35:00,678,779,64,727,63,909,716,,654,,,,,,
249,06/19/22 20:40:00,499,714,61,669,337,897,703,,601,,,,,,
250,06/19/22 20:45:00,673,639,51,639,519,698,642,,557,,,,,,
251,06/19/22 20:50:00,651,759,43,746,486,883,656,,638,,,,,,
252,06/19/22 20:55:00,671,758,39,766,477,871,691,,647,,,,,,
253,06/19/22 21:00:00,261,563,39,534,501,921,723,,428,,,,,,
254,06/19/22 21:05:00,731,601,46,591,202,304,318,,528,,,,,,
255,06/19/22 21:10:00,447,397,46,377,507,619,548,,364,,,,,,
256,06/19/22 21:15:00,662,636,43,637,389,448,609,,553,,,,,,
257,06/19/22 21:20:00,658,727,44,761,523,889,683,,648,,,,,,
258,06/19/22 21:25:00,644,711,49,758,448,846,691,,648,,,,,,
259,06/19/22 21:30:00,644,698,53,754,497,886,687,,647,,,,,,
260,06/19/22 21:35:00,681,717,57,781,573,886,681,,671,,,,,,
261,06/19/22 21:40:00,677,721,57,783,609,894,716,,671,,,,,,
262,06/19/22 21:45:00,671,716,49,784,607,881,724,,662,,,,,,
263,06/19/22 21:50:00,667,709,42,789,604,871,719,,658,,,,,,
264,06/19/22 21:55:00,656,703,37,793,607,863,718,,656,,,,,,
265,06/19/22 22:00:00,663,698,34,797,607,857,712,,654,,,,,,
266,06/19/22 22:05:00,121,688,33,798,597,821,698,,652,,,,,,
267,06/19/22 22:10:00,89,686,33,806,607,849,706,,658,,,,,,
268,06/19/22 22:15:00,89,351,32,807,612,844,707,,657,,,,,,
269,06/19/22 22:20:00,664,66,31,811,612,838,704,,657,,,,,,
270,06/19/22 22:25:00,662,58,31,816,612,833,707,,658,,,,,,
271,06/19/22 22:30:00,662,54,31,819,612,824,708,,658,,,,,,
272,06/19/22 22:35:00,662,49,31,822,612,813,708,,659,,,,,,
273,06/19/22 22:40:00,659,46,32,823,614,799,707,,661,,,,,,
274,06/19/22 22:45:00,657,44,33,824,614,782,708,,661,,,,,,
275,06/19/22 22:50:00,659,44,37,827,614,766,713,,664,,,,,,
276,06/19/22 22:55:00,659,44,38,828,614,752,729,,632,,,,,,
277,06/19/22 23:00:00,659,44,34,829,612,734,736,,662,,,,,,
278,06/19/22 23:05:00,654,42,32,827,609,172,714,,656,,,,,,
279,06/19/22 23:10:00,651,41,31,832,599,119,691,,658,,,,,,
280,06/19/22 23:15:00,636,39,31,822,608,109,704,,597,,,,,,
281,06/19/22 23:20:00,644,39,31,794,608,99,701,,654,,,,,,
282,06/19/22 23:25:00,653,39,32,786,599,91,692,,666,,,,,,
283,06/19/22 23:30:00,638,38,33,799,611,83,701,,659,,,,,,
284,06/19/22 23:35:00,608,38,33,829,587,74,664,,618,,,,,,
285,06/19/22 23:40:00,559,37,34,771,557,67,666,,608,,,,,,
286,06/19/22 23:45:00,642,38,38,798,601,68,701,,622,,,,,,
287,06/19/22 23:50:00,547,39,44,782,591,72,692,,591,,,,,,
288,06/19/22 23:55:00,502,43,49,703,573,77,649,,527,,,,,,
289,06/20/22 00:00:00,549,49,53,697,523,83,564,,563,,,,,,
290,06/20/22 00:05:00,623,54,54,817,596,87,639,,652,,,,,,
291,06/20/22 00:10:00,584,53,53,792,604,83,656,,516,,,,,,
292,06/20/22 00:15:00,597,49,52,782,507,73,557,,608,,,,,,
293,06/20/22 00:20:00,514,48,53,744,518,78,554,,587,,,,,,
294,06/20/22 00:25:00,611,49,52,742,492,74,532,,602,,,,,,
295,06/20/22 00:30:00,383,53,53,772,534,83,579,,639,,,,,,
296,06/20/22 00:35:00,479,53,51,712,541,81,582,,562,,,,,,
297,06/20/22 00:40:00,436,49,51,653,477,74,518,,519,,,,,,
298,06/20/22 00:45:00,406,48,47,569,446,71,476,,453,,,,,,
299,06/20/22 00:50:00,608,48,49,721,459,69,479,,567,,,,,,
300,06/20/22 00:55:00,552,48,51,797,508,67,536,,622,,,,,,
301,06/20/22 01:00:00,547,48,53,713,511,64,541,,581,,,,,,
302,06/20/22 01:05:00,549,47,57,763,544,68,573,,611,,,,,,
303,06/20/22 01:10:00,614,47,79,789,573,66,592,,641,,,,,,
304,06/20/22 01:15:00,526,71,127,672,402,128,419,,643,,,,,,
305,06/20/22 01:20:00,371,78,152,662,647,136,691,,569,,,,,,
306,06/20/22 01:25:00,453,83,168,591,399,144,389,,547,,,,,,
307,06/20/22 01:30:00,474,89,174,474,351,143,384,,569,,,,,,
308,06/20/22 01:35:00,258,99,163,233,306,162,377,,307,,,,,,
309,06/20/22 01:40:00,291,129,167,256,222,178,253,,339,,,,,,
310,06/20/22 01:45:00,278,139,171,221,218,188,256,,317,,,,,,
311,06/20/22 01:50:00,282,136,178,223,202,176,242,,322,,,,,,
312,06/20/22 01:55:00,474,148,193,401,228,176,263,,469,,,,,,
313,06/20/22 02:00:00,527,136,193,554,332,204,371,,582,,,,,,
314,06/20/22 02:05:00,547,123,177,636,446,204,474,,627,,,,,,
315,06/20/22 02:10:00,522,106,164,609,443,183,493,,582,,,,,,
316,06/20/22 02:15:00,451,82,173,557,532,141,553,,557,,,,,,
317,06/20/22 02:20:00,232,58,147,272,358,94,343,,322,,,,,,
318,06/20/22 02:25:00,427,62,151,406,271,97,258,,444,,,,,,
319,06/20/22 02:30:00,384,77,153,559,337,122,319,,557,,,,,,
320,06/20/22 02:35:00,467,76,161,591,484,124,484,,597,,,,,,
321,06/20/22 02:40:00,431,74,138,498,514,112,481,,499,,,,,,
322,06/20/22 02:45:00,218,83,129,253,333,136,357,,299,,,,,,
323,06/20/22 02:50:00,218,86,141,193,199,121,203,,274,,,,,,
324,06/20/22 02:55:00,196,92,143,146,169,124,172,,229,,,,,,
325,06/20/22 03:00:00,262,104,186,254,204,139,201,,332,,,,,,
326,06/20/22 03:05:00,291,106,303,344,293,147,262,,421,,,,,,
327,06/20/22 03:10:00,443,98,292,334,332,134,229,,389,,,,,,
328,06/20/22 03:15:00,196,83,304,176,357,112,197,,363,,,,,,
329,06/20/22 03:20:00,191,72,208,144,257,101,168,,276,,,,,,
330,06/20/22 03:25:00,171,68,201,131,323,93,156,,254,,,,,,
331,06/20/22 03:30:00,171,62,179,121,237,83,144,,231,,,,,,
332,06/20/22 03:35:00,164,66,213,127,277,91,151,,253,,,,,,
333,06/20/22 03:40:00,147,59,217,112,181,73,126,,258,,,,,,
334,06/20/22 03:45:00,184,58,229,116,193,68,114,,271,,,,,,
335,06/20/22 03:50:00,178,61,284,112,269,78,121,,316,,,,,,
336,06/20/22 03:55:00,152,46,217,83,213,63,102,,248,,,,,,
337,06/20/22 04:00:00,309,43,388,84,297,57,93,,382,,,,,,
338,06/20/22 04:05:00,201,46,429,76,364,59,92,,412,,,,,,
339,06/20/22 04:10:00,78,46,434,68,388,57,82,,413,,,,,,
340,06/20/22 04:15:00,67,46,417,59,352,53,72,,392,,,,,,
341,06/20/22 04:20:00,58,42,422,54,337,47,61,,392,,,,,,
342,06/20/22 04:25:00,52,36,401,51,326,41,54,,369,,,,,,
343,06/20/22 04:30:00,49,33,383,48,319,37,49,,352,,,,,,
344,06/20/22 04:35:00,51,31,388,48,334,34,47,,356,,,,,,
345,06/20/22 04:40:00,51,29,358,47,326,33,46,,328,,,,,,
346,06/20/22 04:45:00,49,29,314,43,256,33,44,,287,,,,,,
347,06/20/22 04:50:00,49,28,304,41,254,33,43,,274,,,,,,
348,06/20/22 04:55:00,49,28,336,39,269,33,43,,176,,,,,,
349,06/20/22 05:00:00,46,28,359,38,279,32,42,,128,,,,,,
350,06/20/22 05:05:00,41,27,342,34,284,31,39,,177,,,,,,
351,06/20/22 05:10:00,36,26,321,31,231,28,36,,141,,,,,,
352,06/20/22 05:15:00,34,24,338,28,277,26,32,,272,,,,,,
353,06/20/22 05:20:00,33,23,344,28,282,26,31,,221,,,,,,
354,06/20/22 05:25:00,31,23,337,26,271,26,29,,66,,,,,,
355,06/20/22 05:30:00,28,22,328,24,262,23,28,,61,,,,,,
356,06/20/22 05:35:00,27,22,321,23,253,22,26,,56,,,,,,
357,06/20/22 05:40:00,26,19,314,23,246,22,24,,53,,,,,,
358,06/20/22 05:45:00,26,19,309,23,242,21,23,,57,,,,,,
359,06/20/22 05:50:00,26,19,303,22,237,19,23,,226,,,,,,
360,06/20/22 05:55:00,24,18,297,22,228,19,23,,234,,,,,,
361,06/20/22 06:00:00,24,18,292,21,227,19,23,,228,,,,,,
