Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398619-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6_BEO"
114,12/01/23 09:25:00,,,,,,,,1,
115,12/01/23 09:30:00,,,,,,,,1,
116,12/01/23 09:35:00,,,,,,,,1,
117,12/01/23 09:40:00,,,,,,,,1,
118,12/01/23 09:45:00,,,,,,,,1,
119,12/01/23 09:50:00,,,,,,,,1,
120,12/01/23 09:55:00,,,,,,,,1,
121,12/01/23 10:00:00,1,1,1,1,,,,1,
122,12/01/23 10:05:00,,,,,,,,1,
123,12/01/23 10:10:00,,,,,,,,1,1
124,12/01/23 10:15:00,,,,,,,,1,
125,12/01/23 10:20:00,,,,,,,,1,
126,12/01/23 10:25:00,,,,,,,,1,
127,12/01/23 10:30:00,,,,,,,,1,
128,12/01/23 10:35:00,,,,,,,,1,
129,12/01/23 10:40:00,,,,,,,,1,
130,12/01/23 10:45:00,,,,,,,,1,
131,12/01/23 10:50:00,,,,,,,,1,
132,12/01/23 10:55:00,,,,,,,,1,
133,12/01/23 11:00:00,1,1,1,1,,,,1,
134,12/01/23 11:05:00,,,,,,,,1,
135,12/01/23 11:10:00,,,,,,,,1,1
136,12/01/23 11:15:00,,,,,,,,1,
137,12/01/23 11:20:00,,,,,,,,1,
138,12/01/23 11:25:00,,,,,,,,1,
139,12/01/23 11:30:00,,,,,,,,1,
140,12/01/23 11:35:00,,,,,,,,1,
141,12/01/23 11:40:00,,,,,,,,1,
142,12/01/23 11:45:00,,,,,,,,1,
143,12/01/23 11:50:00,,,,,,,,1,
144,12/01/23 11:55:00,,,,,,,,1,
145,12/01/23 12:00:00,1,1,1,1,,,,1,
146,12/01/23 12:05:00,,,,,,,,1,
147,12/01/23 12:10:00,,,,,,,,1,1
148,12/01/23 12:15:00,,,,,,,,1,
149,12/01/23 12:20:00,,,,,,,,1,
150,12/01/23 12:25:00,,,,,,,,1,
151,12/01/23 12:30:00,,,,,,,,1,
152,12/01/23 12:35:00,,,,,,,,1,
153,12/01/23 12:40:00,,,,,,,,1,
154,12/01/23 12:45:00,,,,,,,,1,
155,12/01/23 12:50:00,,,,,,,,1,
156,12/01/23 12:55:00,,,,,,,,1,
157,12/01/23 13:00:00,1,1,1,1,,,,1,
158,12/01/23 13:05:00,,,,,,,,1,
159,12/01/23 13:10:00,,,,,,,,1,1
160,12/01/23 13:15:00,,,,,,,,1,
161,12/01/23 13:20:00,,,,,,,,1,
162,12/01/23 13:25:00,,,,,,,,1,
163,12/01/23 13:30:00,,,,,,,,1,
164,12/01/23 14:00:00,1,1,1,1,,,,,
165,12/01/23 14:10:00,,,,,,,,,1
166,12/01/23 15:00:00,1,1,1,1,,,,,
167,12/01/23 15:10:00,,,,,,,,,1
168,12/01/23 16:00:00,1,1,1,1,,,,,
169,12/01/23 16:10:00,,,,,,,,,1
170,12/01/23 17:00:00,1,1,1,1,,,,,
171,12/01/23 17:10:00,,,,,,,,,1
172,12/01/23 18:00:00,1,1,1,1,,,,,
173,12/01/23 18:10:00,,,,,,,,,1
174,12/01/23 19:00:00,1,1,1,1,,,,,
175,12/01/23 19:10:00,,,,,,,,,-888.88
176,12/01/23 20:00:00,1,1,1,1,,,,,
177,12/01/23 20:10:00,,,,,,,,,-888.88
178,12/01/23 21:00:00,1,1,1,1,,,,,
179,12/01/23 21:10:00,,,,,,,,,-888.88
180,12/01/23 22:00:00,1,1,1,1,,,,,
181,12/01/23 22:10:00,,,,,,,,,1
182,12/01/23 23:00:00,1,1,1,1,,,,,
183,12/01/23 23:10:00,,,,,,,,,-888.88
184,12/02/23 00:00:00,1,1,1,1,,,,,
185,12/02/23 00:10:00,,,,,,,,,1
186,12/02/23 01:00:00,1,1,1,1,,,,,
187,12/02/23 01:10:00,,,,,,,,,1
188,12/02/23 02:00:00,1,1,1,1,,,,,
189,12/02/23 03:00:00,1,1,1,1,,,,,
190,12/02/23 04:00:00,1,1,1,1,,,,,
191,12/02/23 04:20:00,,,,,1,,,,
192,12/02/23 05:00:00,1,1,1,1,,,,,
193,12/02/23 05:25:00,,,,,1,,,,
194,12/02/23 06:00:00,1,1,1,1,,1,,,
195,12/02/23 06:25:00,,,,,1,,,,
196,12/02/23 06:35:00,,,,,1,,,,
197,12/02/23 06:40:00,,,,,1,,,,
198,12/02/23 06:45:00,,,,,1,,,,
199,12/02/23 06:50:00,,,,,1,,,,
200,12/02/23 07:00:00,1,1,1,1,1,,,,
201,12/02/23 08:00:00,1,1,1,1,,,,,
202,12/02/23 09:00:00,1,1,1,1,,,,,
203,12/02/23 09:10:00,,,,,1,,,,
204,12/02/23 10:00:00,1,1,1,1,,,,,
205,12/02/23 11:00:00,1,1,1,1,,,,,
206,12/02/23 12:00:00,1,1,1,1,,,,,
207,12/02/23 13:00:00,1,1,1,1,,,,,
208,12/02/23 14:00:00,1,1,1,1,,,,,
209,12/02/23 15:00:00,1,1,1,1,,,,,
210,12/02/23 16:00:00,1,1,1,1,,,,,
211,12/02/23 17:00:00,1,1,1,1,,,,,
212,12/02/23 18:00:00,1,1,1,1,,,,,
213,12/02/23 19:00:00,1,1,1,1,,,,,
214,12/02/23 20:00:00,1,1,1,1,,,,,
215,12/02/23 21:00:00,1,1,1,1,,,,,
216,12/02/23 22:00:00,1,1,1,1,,,,,
217,12/02/23 23:00:00,1,1,1,1,,,,,
218,12/03/23 00:00:00,1,1,1,1,,,,,
219,12/03/23 01:00:00,1,1,1,1,,,,,
220,12/03/23 02:00:00,1,1,1,1,,,,,
221,12/03/23 03:00:00,1,1,1,1,,,,,
222,12/03/23 03:15:00,,,,,1,,,,
223,12/03/23 03:30:00,,,,,1,,,,
224,12/03/23 04:00:00,1,1,1,1,1,,,,
225,12/03/23 04:05:00,,,,,1,,,,
226,12/03/23 04:15:00,,,,,1,,,,
227,12/03/23 04:20:00,,,,,1,,,,
228,12/03/23 04:25:00,,,,,1,,,,
229,12/03/23 04:30:00,,,,,1,,,,
230,12/03/23 04:35:00,,,,,1,,,,
231,12/03/23 05:00:00,1,1,1,1,,,,,
232,12/03/23 05:25:00,,,,,1,,,,
233,12/03/23 05:35:00,,,,,1,,,,
234,12/03/23 06:00:00,1,1,1,1,1,,,,
235,12/03/23 06:15:00,,,,,1,,,,
236,12/03/23 06:35:00,,,,,1,,,,
237,12/03/23 06:40:00,,,,,1,,,,
238,12/03/23 06:45:00,,,,,1,,,,
239,12/03/23 06:50:00,,,,,1,,,,
240,12/03/23 07:00:00,1,1,1,1,,,,,
241,12/03/23 07:20:00,,,,,1,,,,
242,12/03/23 07:40:00,,,,,1,,,,
243,12/03/23 07:50:00,,,,,1,,,,
244,12/03/23 07:55:00,,,,,1,,,,
245,12/03/23 08:00:00,1,1,1,1,,,,,
246,12/03/23 08:05:00,,,,,1,,,,
247,12/03/23 08:35:00,,,,,1,,,,
248,12/03/23 08:40:00,,,,,1,,,,
249,12/03/23 08:50:00,,,,,1,,,,
250,12/03/23 08:55:00,,,,,1,,,,
251,12/03/23 09:00:00,1,1,1,1,1,,,,
252,12/03/23 09:15:00,,,,,1,,,,
253,12/03/23 09:25:00,,,,,1,,,,
254,12/03/23 09:35:00,,,,,1,,,,
255,12/03/23 09:40:00,,,,,1,,,,
256,12/03/23 10:00:00,1,1,1,1,,,,,
257,12/03/23 10:10:00,,,,,1,,,,
258,12/03/23 10:35:00,,,,,1,,,,
259,12/03/23 10:40:00,,,,,1,,,,
260,12/03/23 10:55:00,,,,,1,,,,
261,12/03/23 11:00:00,1,1,1,1,,,,,
262,12/03/23 11:05:00,,,,,1,,,,
263,12/03/23 11:10:00,,,,,1,,,,
264,12/03/23 11:25:00,,,,,1,,,,
265,12/03/23 12:00:00,1,1,1,1,,,,,
266,12/03/23 12:30:00,,,,,1,,,,
267,12/03/23 12:45:00,,,,,1,,,,
268,12/03/23 12:50:00,,,,,1,,,,
269,12/03/23 13:00:00,1,1,1,1,,,,,
270,12/03/23 13:15:00,,,,,1,,,,
271,12/03/23 13:35:00,,,,,1,,,,
272,12/03/23 13:40:00,,,,,1,,,,
273,12/03/23 13:50:00,,,,,1,,,,
274,12/03/23 13:55:00,,,,,1,,,,
275,12/03/23 14:00:00,1,1,1,1,,,,,
276,12/03/23 14:05:00,,,,,1,,,,
277,12/03/23 14:20:00,,,,,1,,,,
278,12/03/23 14:50:00,,,,,1,,,,
279,12/03/23 15:00:00,1,1,1,1,,,,,
280,12/03/23 15:05:00,,,,,1,,,,
281,12/03/23 15:10:00,,,,,1,,,,
282,12/03/23 15:15:00,,,,,1,,,,
283,12/03/23 15:25:00,,,,,1,,,,
284,12/03/23 15:45:00,,,,,1,,,,
285,12/03/23 16:00:00,1,1,1,1,1,,,,
286,12/03/23 16:10:00,,,,,1,,,,
287,12/03/23 16:15:00,,,,,1,,,,
288,12/03/23 17:00:00,1,1,1,1,,,,,
289,12/03/23 17:45:00,,,,,1,,,,
290,12/03/23 18:00:00,1,1,1,1,,,,,
