Line#,Date,"Temperature (RXW-GP6 21198259:21206939-7), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-8), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-9), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-10), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-11), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-12), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-13), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-14), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-15), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-16), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-17), *C, RX3000_BRW1_TNHA"
223,06/10/23 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,06/10/23 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,06/10/23 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,06/10/23 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,06/10/23 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,06/10/23 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,06/10/23 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,06/10/23 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,06/10/23 09:00:00,0.1,0.5,-0.1,-0.8,-1.8,0.0,0.0,0.0,0.0,0.0,0.0
232,06/10/23 10:00:00,0.0,0.5,-0.1,-0.8,-1.8,-2.2,-2.2,-3.2,-3.0,-3.7,-3.7
233,06/10/23 11:00:00,0.0,0.3,-0.1,-0.8,-1.8,-2.5,-2.2,-3.2,-3.0,-3.7,-3.7
234,06/10/23 12:00:00,-0.1,0.2,-0.2,-0.8,-1.8,-2.5,-2.2,-3.2,-3.0,-3.7,-3.7
235,06/10/23 13:00:00,-0.1,0.2,-0.2,-0.8,-1.8,-2.2,-2.2,-3.2,-3.0,-3.7,-3.7
236,06/10/23 14:00:00,-0.1,0.2,-0.2,-0.8,-1.8,-2.5,-2.2,-3.2,-3.0,-3.5,-3.7
237,06/10/23 15:00:00,-0.1,0.1,-0.2,-0.8,-1.8,-2.2,-2.2,-3.2,-3.0,-3.5,-3.7
238,06/10/23 16:00:00,0.0,0.2,-0.2,-0.8,-1.8,-2.5,-2.2,-3.2,-3.0,-3.7,-3.7
239,06/10/23 17:00:00,-0.1,0.2,-0.2,-0.8,-1.8,-2.2,-2.2,-3.0,-3.0,-3.5,-3.7
240,06/10/23 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,06/10/23 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,06/10/23 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,06/10/23 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,06/10/23 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,06/10/23 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,06/11/23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
