Line#,Date,"Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1_TNHA","Temperature (S-THC 21198259:21390850-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21380922-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398667-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398670-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401801:21981320-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401803:21981318-1), *C, RX3000_BRW6_BEO"
699,06/30/24 02:00:00,9.80,7.220,5.85,5.66,5.36,10.85,7.01,8.00,7.91,7.499,
700,06/30/24 03:00:00,8.17,6.512,6.71,6.22,6.02,10.29,7.05,6.86,7.59,6.963,
701,06/30/24 04:00:00,5.98,5.547,4.69,4.33,4.09,5.57,4.89,4.63,7.61,5.740,
702,06/30/24 05:00:00,5.68,4.325,3.11,2.87,2.70,3.82,3.45,3.30,6.20,4.260,
703,06/30/24 06:00:00,3.47,2.652,2.10,1.95,1.86,2.79,2.53,2.25,4.42,3.445,
704,06/30/24 07:00:00,3.32,2.566,2.12,1.80,1.71,2.70,2.51,2.31,3.88,3.317,
705,06/30/24 08:00:00,3.09,2.137,1.71,1.50,1.50,2.31,2.03,1.84,3.67,2.759,
706,06/30/24 09:00:00,3.49,2.673,2.51,2.40,2.44,2.91,2.55,2.29,3.28,3.402,
707,06/30/24 10:00:00,1.95,1.987,1.48,1.50,1.48,1.82,1.71,1.22,2.29,2.480,
708,06/30/24 11:00:00,1.58,1.408,0.83,0.98,0.81,1.37,1.18,0.77,1.73,1.880,
709,06/30/24 12:00:00,1.63,1.601,1.24,1.33,1.33,1.54,1.24,1.09,1.73,2.116,
710,06/30/24 13:00:00,1.26,1.322,0.94,1.20,0.94,1.11,0.88,0.81,1.41,1.772,
711,06/30/24 14:00:00,1.35,1.772,1.07,1.13,0.83,1.71,0.88,1.18,2.27,2.287,
712,06/30/24 15:00:00,1.28,1.751,0.81,1.33,0.88,1.61,0.86,1.05,2.01,2.094,
713,06/30/24 16:00:00,1.39,2.051,1.26,1.63,1.22,2.08,1.01,1.20,2.23,2.309,
714,06/30/24 17:00:00,1.24,2.545,1.22,2.06,1.13,2.01,0.94,1.52,2.89,2.995,
715,06/30/24 18:00:00,1.93,4.775,1.35,2.01,0.94,4.03,1.24,2.01,5.96,4.947,
716,06/30/24 19:00:00,1.97,3.381,1.31,1.63,0.92,3.84,0.75,1.78,4.27,3.510,
717,06/30/24 20:00:00,2.34,3.360,1.97,1.95,1.20,4.20,1.33,2.27,3.39,3.488,
718,06/30/24 21:00:00,7.68,8.121,3.04,3.26,1.93,5.81,2.59,3.45,7.25,5.976,
719,06/30/24 22:00:00,5.27,6.577,4.12,3.36,2.61,6.48,2.57,3.77,5.64,5.676,
720,06/30/24 23:00:00,10.16,8.400,4.07,3.04,2.68,8.92,3.56,4.24,10.72,4.882,
721,07/01/24 00:00:00,5.21,5.526,3.77,3.09,2.81,5.90,3.24,3.73,8.56,4.646,
722,07/01/24 01:00:00,5.06,5.762,4.22,3.45,3.21,7.35,3.86,4.05,8.36,4.968,
723,07/01/24 02:00:00,6.13,4.861,3.58,3.06,2.85,5.06,3.79,3.60,7.91,4.561,
724,07/01/24 03:00:00,6.63,4.646,2.87,2.44,2.21,5.04,3.26,3.13,7.40,3.574,
725,07/01/24 04:00:00,6.35,3.810,2.89,2.08,2.51,5.92,4.20,4.84,6.26,3.595,
726,07/01/24 05:00:00,5.49,3.124,3.19,2.44,2.72,6.15,4.52,4.12,4.59,3.531,
727,07/01/24 06:00:00,4.39,3.167,3.09,2.64,2.68,5.81,4.27,3.54,3.79,3.167,
728,07/01/24 07:00:00,3.21,2.502,2.76,2.29,2.31,6.15,3.92,2.59,4.12,2.866,
729,07/01/24 08:00:00,2.64,1.923,2.10,1.86,3.06,4.57,3.19,1.86,2.51,2.459,
730,07/01/24 09:00:00,2.34,1.708,1.20,1.22,1.33,1.80,1.65,1.28,2.42,2.073,
731,07/01/24 10:00:00,2.01,1.343,0.86,0.86,1.13,1.54,1.43,1.13,2.01,1.644,
732,07/01/24 11:00:00,1.78,1.065,1.18,0.83,0.79,1.39,1.20,0.88,1.31,1.386,
733,07/01/24 12:00:00,1.28,0.679,0.49,0.32,0.36,1.13,0.90,0.55,0.81,0.721,
734,07/01/24 13:00:00,1.33,1.086,1.16,1.05,1.46,1.09,1.03,0.58,0.81,0.829,
735,07/01/24 14:00:00,1.61,1.129,1.37,1.07,1.39,1.95,1.31,1.01,1.20,1.150,
736,07/01/24 15:00:00,2.27,1.622,2.06,1.56,1.73,2.76,1.80,1.67,1.84,1.558,
737,07/01/24 16:00:00,2.66,1.644,1.99,1.43,1.52,3.41,1.61,1.35,1.95,1.429,
738,07/01/24 17:00:00,3.54,2.738,2.81,2.51,2.40,4.54,2.46,2.44,3.32,2.351,
739,07/01/24 18:00:00,3.71,3.531,3.60,3.45,3.34,4.63,2.64,2.31,3.90,3.059,
740,07/01/24 19:00:00,6.84,6.748,6.93,6.73,5.92,8.64,5.49,6.41,8.06,7.199,
741,07/01/24 20:00:00,9.31,9.386,9.95,9.07,8.51,11.04,7.91,9.11,9.76,9.365,
742,07/01/24 21:00:00,12.85,10.716,11.43,10.42,9.84,12.55,9.35,9.76,11.60,9.665,
743,07/01/24 22:00:00,11.67,9.794,10.55,9.59,9.39,13.47,9.29,9.46,10.64,8.915,
744,07/01/24 23:00:00,9.61,7.327,8.00,7.08,7.16,10.98,7.23,6.93,8.81,6.491,
745,07/02/24 00:00:00,8.15,6.083,7.01,5.94,6.26,9.50,6.37,5.98,7.25,5.569,
746,07/02/24 01:00:00,7.61,7.220,7.93,6.93,7.25,10.27,6.63,6.58,6.95,6.148,
747,07/02/24 02:00:00,8.13,7.821,8.60,7.48,8.00,10.72,7.23,7.61,7.59,6.791,
748,07/02/24 03:00:00,6.65,6.448,7.01,6.22,6.69,8.17,6.07,6.05,6.45,5.526,
749,07/02/24 04:00:00,7.78,7.606,8.98,7.35,8.08,10.36,7.23,7.38,7.03,6.834,
750,07/02/24 05:00:00,9.56,9.601,10.62,9.59,11.00,14.97,9.20,9.14,8.21,8.035,
751,07/02/24 06:00:00,10.25,10.201,11.13,10.12,11.99,13.53,10.27,9.86,9.07,9.108,
752,07/02/24 07:00:00,10.77,10.716,11.49,10.66,12.78,12.57,10.64,9.97,9.63,9.687,
753,07/02/24 08:00:00,9.78,9.794,9.89,9.67,10.04,9.84,9.33,9.59,9.54,9.365,
754,07/02/24 09:00:00,9.69,9.687,9.84,9.63,9.76,9.48,9.14,9.33,9.35,9.172,
755,07/02/24 10:00:00,9.39,9.386,9.52,9.26,9.20,8.73,8.53,8.64,8.71,8.550,
756,07/02/24 11:00:00,8.96,8.979,9.07,8.92,8.79,8.83,8.56,8.79,8.92,8.807,
757,07/02/24 12:00:00,8.90,8.957,9.01,8.83,8.75,8.58,8.02,8.38,8.49,8.421,
758,07/02/24 13:00:00,9.22,9.193,9.26,9.16,9.09,8.88,7.91,8.88,8.75,8.614,
759,07/02/24 14:00:00,10.10,10.030,10.29,9.93,9.48,9.93,8.51,9.14,9.86,9.622,
760,07/02/24 15:00:00,10.04,9.966,9.84,9.95,9.76,9.97,9.80,9.22,9.63,9.601,
761,07/02/24 16:00:00,9.80,9.966,10.27,9.89,9.05,9.50,8.53,9.09,9.89,9.322,
762,07/02/24 17:00:00,9.82,9.108,10.01,9.29,9.84,9.24,9.78,9.86,9.67,9.730,
763,07/02/24 18:00:00,9.26,8.957,9.07,8.58,8.51,9.33,9.31,9.63,9.46,9.537,
764,07/02/24 19:00:00,9.26,9.215,9.54,9.07,8.90,10.14,9.22,9.29,9.61,9.150,
765,07/02/24 20:00:00,8.43,7.885,7.29,7.93,7.70,9.76,8.90,8.98,9.03,8.850,
766,07/02/24 21:00:00,8.81,8.228,8.43,8.00,8.13,10.89,9.26,9.67,9.74,9.429,
767,07/02/24 22:00:00,9.59,8.743,9.35,8.56,8.68,10.55,9.52,9.50,9.67,9.215,
768,07/02/24 23:00:00,9.56,9.322,9.69,9.31,9.14,9.93,9.05,9.03,9.18,8.807,
769,07/03/24 00:00:00,9.03,9.000,8.79,8.79,8.66,8.64,7.96,7.72,8.45,8.550,
770,07/03/24 01:00:00,7.44,7.478,7.33,7.27,7.12,7.20,6.78,6.50,7.55,7.349,
771,07/03/24 02:00:00,7.65,7.649,7.59,7.63,7.38,7.33,6.80,7.12,7.40,6.877,
772,07/03/24 03:00:00,8.17,8.357,8.30,8.11,7.93,8.75,7.33,7.72,7.91,7.606,
773,07/03/24 04:00:00,8.15,8.228,8.15,8.17,7.78,8.23,7.65,7.74,8.28,7.671,
774,07/03/24 05:00:00,7.57,7.499,7.42,7.50,7.35,6.58,6.90,6.56,7.40,6.813,
775,07/03/24 06:00:00,7.18,7.242,7.20,7.25,6.99,6.60,6.67,6.39,6.99,6.534,
776,07/03/24 07:00:00,7.10,7.134,7.12,7.12,6.82,6.73,6.86,6.60,7.23,6.834,
777,07/03/24 08:00:00,7.14,7.177,7.20,7.16,6.82,6.67,6.86,6.52,7.44,6.555,
778,07/03/24 09:00:00,5.92,5.933,5.85,5.98,5.87,5.68,5.83,5.66,6.20,5.848,
779,07/03/24 10:00:00,5.36,5.333,5.30,5.38,5.30,5.25,5.45,5.32,5.77,5.397,
780,07/03/24 11:00:00,5.04,4.990,5.04,5.04,4.97,5.02,5.10,4.95,5.45,5.140,
781,07/03/24 12:00:00,5.06,4.990,4.95,5.00,4.93,5.00,5.02,5.02,5.36,5.075,
782,07/03/24 13:00:00,4.72,4.668,4.67,4.72,4.69,4.50,4.63,4.48,4.89,4.539,
783,07/03/24 14:00:00,4.16,4.196,4.14,4.20,4.16,4.05,4.05,3.97,4.39,4.132,
784,07/03/24 15:00:00,3.41,3.467,3.41,3.54,3.43,3.47,3.39,3.41,3.69,3.617,
785,07/03/24 16:00:00,3.56,3.574,3.41,3.56,3.43,3.62,3.45,3.45,3.77,3.595,
786,07/03/24 17:00:00,4.03,4.046,4.01,4.12,3.92,4.16,3.90,4.07,4.27,4.046,
787,07/03/24 18:00:00,4.54,4.582,4.59,4.63,4.48,4.87,4.48,4.74,4.87,4.668,
788,07/03/24 19:00:00,4.76,4.732,4.63,4.72,4.65,4.91,4.59,4.76,5.06,4.882,
789,07/03/24 20:00:00,4.74,4.775,4.72,4.82,4.80,4.84,4.76,4.76,5.17,4.947,
790,07/03/24 21:00:00,5.21,5.333,5.25,5.36,5.27,5.49,5.21,5.38,5.64,5.419,
791,07/03/24 22:00:00,5.47,5.504,5.51,5.53,5.47,5.68,5.51,5.60,5.90,5.676,
792,07/03/24 23:00:00,4.42,4.496,4.33,4.54,4.39,4.31,4.29,4.35,4.67,4.496,
793,07/04/24 00:00:00,3.39,3.510,3.41,3.64,3.45,3.56,3.21,3.43,3.69,3.638,
794,07/04/24 01:00:00,2.46,2.738,2.40,2.81,2.64,2.72,2.16,2.51,2.81,2.973,
795,07/04/24 02:00:00,2.12,2.223,1.91,2.12,1.91,1.93,1.65,1.76,2.25,2.266,
796,07/04/24 03:00:00,1.80,2.051,1.76,1.88,1.71,1.88,1.56,1.56,2.36,2.051,
797,07/04/24 04:00:00,1.76,1.965,1.69,1.82,1.69,1.61,1.50,1.56,2.29,1.987,
798,07/04/24 05:00:00,1.54,1.687,1.35,1.63,1.39,1.48,1.37,1.37,1.84,1.772,
799,07/04/24 06:00:00,1.48,1.558,1.28,1.52,1.41,1.46,1.26,1.35,1.93,1.751,
800,07/04/24 07:00:00,1.31,1.429,1.24,1.41,1.28,1.18,1.22,1.26,1.67,1.601,
801,07/04/24 08:00:00,1.41,1.515,1.31,1.50,1.39,1.35,1.35,1.37,1.71,1.665,
802,07/04/24 09:00:00,1.13,1.236,1.09,1.16,1.13,1.13,1.22,1.18,1.52,1.515,
803,07/04/24 10:00:00,0.77,0.829,0.66,0.81,0.81,0.71,0.79,0.77,1.07,1.129,
804,07/04/24 11:00:00,0.68,0.764,0.62,0.71,0.71,0.71,0.68,0.73,1.13,1.129,
805,07/04/24 12:00:00,0.90,1.022,0.81,1.01,0.92,0.96,0.96,1.01,1.37,1.236,
806,07/04/24 13:00:00,0.83,0.893,0.68,0.79,0.66,0.79,0.73,0.73,1.58,1.129,
807,07/04/24 14:00:00,0.77,0.979,0.77,0.83,0.64,0.90,0.64,0.81,1.61,1.129,
808,07/04/24 15:00:00,0.55,0.807,0.53,0.75,0.64,0.60,0.49,0.60,1.01,0.979,
809,07/04/24 16:00:00,1.03,1.601,1.11,1.43,1.05,1.43,0.66,1.31,1.58,1.494,
810,07/04/24 17:00:00,1.41,2.073,1.28,1.71,1.31,2.03,0.83,1.24,2.16,1.987,
811,07/04/24 18:00:00,1.93,3.145,1.86,2.44,1.58,3.02,1.09,2.36,2.94,2.931,
812,07/04/24 19:00:00,2.25,3.081,1.76,1.76,1.24,2.79,1.09,1.33,3.60,3.059,
813,07/04/24 20:00:00,1.76,2.008,1.03,0.98,0.55,1.82,0.83,0.96,3.77,2.180,
814,07/04/24 21:00:00,2.51,2.201,1.11,0.90,0.73,1.63,0.86,0.92,3.32,1.858,
815,07/04/24 22:00:00,2.46,3.016,1.84,1.50,1.16,3.69,1.33,1.63,3.71,2.995,
816,07/04/24 23:00:00,3.56,3.617,2.51,2.42,2.12,6.41,1.99,2.89,3.69,3.724,
817,07/05/24 00:00:00,2.25,2.973,1.91,1.82,1.46,3.02,1.48,1.78,2.76,2.652,
818,07/05/24 01:00:00,2.10,2.502,1.67,1.67,1.39,2.10,1.43,1.54,2.19,2.330,
819,07/05/24 02:00:00,2.64,2.073,1.18,1.05,0.98,1.54,1.43,1.18,3.24,2.051,
820,07/05/24 03:00:00,1.93,1.644,1.09,1.03,1.01,1.16,0.94,1.09,2.61,1.730,
821,07/05/24 04:00:00,1.93,1.601,1.11,0.98,1.13,1.35,1.11,1.07,2.49,2.266,
822,07/05/24 05:00:00,1.82,1.386,1.18,0.94,1.09,1.16,1.22,1.05,2.19,1.965,
823,07/05/24 06:00:00,1.63,1.172,0.94,0.83,0.90,1.28,1.03,0.71,2.03,1.815,
824,07/05/24 07:00:00,1.33,1.043,1.16,0.62,0.60,2.64,1.01,0.90,1.67,1.172,
825,07/05/24 08:00:00,0.58,0.035,0.81,-0.15,0.06,1.03,-0.07,-0.15,0.55,0.057,
826,07/05/24 09:00:00,0.30,-0.029,0.25,-0.30,-0.30,0.34,0.02,-0.30,0.71,0.185,
827,07/05/24 10:00:00,0.21,0.121,1.11,0.13,1.03,2.66,0.02,0.47,0.19,0.014,
828,07/05/24 11:00:00,-0.24,-0.437,0.38,-0.20,-0.28,-0.43,-0.30,-0.54,-0.15,-0.394,
829,07/05/24 12:00:00,-0.13,-0.372,0.83,0.06,0.32,-0.32,-0.47,-0.58,-0.41,-0.372,
830,07/05/24 13:00:00,-0.11,-0.158,0.30,0.25,0.28,-0.43,0.13,0.19,-0.13,0.593,
831,07/05/24 14:00:00,0.36,0.078,0.19,0.43,0.28,0.02,-0.30,-0.26,-0.17,0.443,
832,07/05/24 15:00:00,0.47,1.429,0.25,0.86,0.34,0.58,0.10,0.60,0.60,1.601,
833,07/05/24 16:00:00,1.20,1.301,0.83,1.50,0.34,1.76,0.60,1.01,1.95,1.858,
834,07/05/24 17:00:00,1.39,1.236,1.22,1.18,0.36,3.84,0.94,1.20,2.25,1.944,
835,07/05/24 18:00:00,2.64,2.223,1.91,1.78,1.03,3.90,1.78,1.80,3.21,1.901,
836,07/05/24 19:00:00,3.19,2.523,2.29,1.82,1.22,3.99,1.97,1.88,4.27,2.180,
837,07/05/24 20:00:00,4.63,3.381,3.47,2.85,2.08,4.74,2.51,2.08,4.27,3.016,
838,07/05/24 21:00:00,5.10,2.266,3.00,1.99,2.10,5.85,2.46,2.31,4.48,2.244,
839,07/05/24 22:00:00,5.90,2.545,3.39,2.16,2.08,6.58,2.66,2.14,3.97,1.815,
840,07/05/24 23:00:00,7.29,2.823,3.82,2.14,2.01,6.78,3.15,2.01,4.37,1.794,
841,07/06/24 00:00:00,4.97,2.266,3.41,1.82,2.08,6.65,3.15,2.38,3.52,1.944,
842,07/06/24 01:00:00,3.62,1.150,1.93,0.90,1.03,6.58,2.49,1.69,3.02,1.386,
843,07/06/24 02:00:00,3.75,1.279,2.12,1.13,1.41,4.31,2.44,1.37,2.74,1.129,
844,07/06/24 03:00:00,3.56,1.408,2.27,1.24,1.28,4.50,1.97,1.20,2.51,1.172,
845,07/06/24 04:00:00,2.59,0.893,1.71,0.62,0.79,3.54,1.67,1.01,1.84,0.764,
846,07/06/24 05:00:00,1.84,0.464,1.16,0.23,0.38,2.40,0.83,0.47,0.96,0.314,
847,07/06/24 06:00:00,1.52,0.314,0.81,0.28,0.38,1.71,0.92,0.43,1.01,0.164,
848,07/06/24 07:00:00,0.83,-0.051,0.47,-0.11,0.06,0.98,0.17,-0.07,0.28,-0.072,
849,07/06/24 08:00:00,0.64,-0.201,0.19,-0.39,-0.20,0.49,0.19,-0.11,0.17,-0.287,
850,07/06/24 09:00:00,0.38,-0.222,0.15,-0.30,-0.22,0.08,0.00,-0.37,-0.15,-0.415,
851,07/06/24 10:00:00,0.15,-0.372,-0.20,-0.41,-0.32,-0.17,-0.28,-0.56,-0.28,-0.565,
852,07/06/24 11:00:00,0.08,-0.394,-0.20,-0.47,-0.45,-0.41,-0.39,-0.77,-0.39,-0.823,
853,07/06/24 12:00:00,-0.11,-0.565,-0.20,-0.60,-0.60,-0.24,-0.50,-0.75,-0.58,-0.823,
854,07/06/24 13:00:00,-0.09,-0.523,-0.35,-0.69,-0.60,-0.11,-0.65,-0.82,-0.60,-0.823,
855,07/06/24 14:00:00,-0.11,-0.437,-0.09,-0.52,-0.45,0.19,-0.50,-0.60,-0.50,-0.544,
856,07/06/24 15:00:00,0.32,-0.115,0.17,-0.24,-0.20,0.75,-0.30,-0.32,-0.13,-0.244,
857,07/06/24 16:00:00,0.47,0.142,0.45,0.10,0.02,1.24,0.21,0.15,0.81,0.528,
858,07/06/24 17:00:00,0.75,0.614,0.55,0.53,0.23,1.11,0.30,0.34,0.98,0.721,
859,07/06/24 18:00:00,0.83,0.550,0.90,0.45,0.36,1.24,0.43,0.34,1.01,0.571,
860,07/06/24 19:00:00,0.90,0.700,0.92,0.51,0.38,0.81,0.73,0.83,1.69,1.043,
861,07/06/24 20:00:00,2.14,2.137,1.50,1.16,0.64,1.76,1.22,1.41,3.60,2.716,
862,07/06/24 21:00:00,4.46,3.617,2.16,1.99,1.48,2.46,1.71,2.29,6.41,4.389,
863,07/06/24 22:00:00,4.27,2.995,2.06,1.56,1.33,3.19,1.71,2.72,6.65,3.960,
864,07/06/24 23:00:00,2.57,2.116,1.48,1.22,1.01,1.84,1.48,1.86,4.87,2.244,
865,07/07/24 00:00:00,2.87,2.201,1.52,1.24,1.01,2.36,1.63,1.91,4.35,1.987,
866,07/07/24 01:00:00,4.31,2.780,1.82,1.33,1.33,3.28,1.78,2.40,4.50,2.287,
867,07/07/24 02:00:00,3.30,2.073,1.67,1.13,0.96,2.01,1.39,1.48,3.73,2.051,
868,07/07/24 03:00:00,2.64,1.794,1.09,0.81,0.55,1.95,1.28,1.35,3.17,1.794,
869,07/07/24 04:00:00,2.12,1.322,0.79,0.66,0.43,1.41,1.05,0.86,2.81,1.708,
870,07/07/24 05:00:00,1.88,1.236,1.05,0.60,0.60,1.20,0.88,0.92,2.36,1.472,
871,07/07/24 06:00:00,1.48,1.215,1.03,0.66,0.73,1.03,0.88,0.66,2.12,1.408,
872,07/07/24 07:00:00,1.50,1.065,0.94,0.64,0.64,1.03,0.75,0.49,1.86,1.172,
873,07/07/24 08:00:00,1.24,0.764,0.60,0.43,0.40,0.64,0.45,0.45,1.61,1.065,
874,07/07/24 09:00:00,0.92,0.486,0.43,0.15,0.17,0.21,0.21,0.10,1.09,0.786,
875,07/07/24 10:00:00,1.13,0.657,0.66,0.40,0.43,0.28,0.28,0.34,1.07,0.979,
876,07/07/24 11:00:00,1.07,0.593,0.62,0.38,0.43,0.23,0.25,0.28,1.03,0.764,
877,07/07/24 12:00:00,0.83,0.507,0.36,0.32,0.25,0.36,0.43,0.30,1.20,1.043,
878,07/07/24 13:00:00,0.98,0.507,0.30,0.25,0.19,0.21,0.28,0.23,1.13,0.743,
879,07/07/24 14:00:00,0.86,0.421,0.28,0.17,0.13,0.23,0.19,0.15,1.01,0.786,
880,07/07/24 15:00:00,1.05,0.528,0.40,0.23,0.17,0.45,0.32,0.23,1.26,0.936,
881,07/07/24 16:00:00,1.13,0.657,0.47,0.19,0.10,0.71,0.38,0.23,1.48,0.872,
882,07/07/24 17:00:00,1.05,0.700,0.30,0.38,0.23,0.66,0.17,0.13,1.52,0.893,
883,07/07/24 18:00:00,1.86,1.129,1.03,0.55,0.40,1.24,0.60,0.60,2.03,1.322,
884,07/07/24 19:00:00,1.61,1.429,1.16,0.68,0.49,1.35,0.71,0.75,2.96,1.708,
885,07/07/24 20:00:00,1.84,1.601,1.16,0.88,0.75,1.97,0.79,1.07,3.94,1.923,
886,07/07/24 21:00:00,2.14,2.244,1.43,1.31,0.94,3.04,0.92,1.54,3.64,2.266,
887,07/07/24 22:00:00,2.46,3.274,2.03,2.08,1.61,3.52,1.11,2.23,4.20,2.909,
888,07/07/24 23:00:00,2.14,2.094,1.50,1.31,0.90,2.06,0.98,1.26,3.99,2.330,
889,07/08/24 00:00:00,2.19,2.266,1.61,1.24,0.88,2.42,0.79,1.28,3.88,2.394,
890,07/08/24 01:00:00,1.97,1.944,1.33,1.13,1.01,2.40,0.86,1.03,3.69,1.944,
891,07/08/24 02:00:00,2.08,1.944,1.39,1.01,0.62,2.19,0.96,1.03,3.49,2.008,
892,07/08/24 03:00:00,3.26,3.295,2.01,1.37,1.03,3.97,1.41,1.86,4.54,2.566,
893,07/08/24 04:00:00,2.96,1.944,0.75,0.64,0.49,2.10,0.75,0.77,3.15,1.472,
894,07/08/24 05:00:00,2.46,1.472,0.51,0.36,0.23,1.22,0.64,0.40,3.17,1.236,
895,07/08/24 06:00:00,2.29,1.172,0.30,0.21,-0.02,0.60,0.17,0.04,2.46,0.829,
896,07/08/24 07:00:00,1.33,0.614,0.21,-0.07,-0.07,0.28,-0.11,-0.26,1.82,0.657,
897,07/08/24 08:00:00,0.92,0.121,-0.43,-0.60,-0.54,0.60,0.00,-0.26,1.09,0.636,
898,07/08/24 09:00:00,0.00,-0.265,-0.54,-0.69,-0.71,-0.28,-0.45,-0.80,0.51,0.078,
899,07/08/24 10:00:00,-0.11,-0.372,-0.75,-0.73,-0.88,-0.73,-0.69,-0.97,0.23,-0.051,
900,07/08/24 11:00:00,-0.09,-0.437,-0.65,-0.67,-0.52,-0.82,-0.67,-0.93,-0.13,-0.136,
901,07/08/24 12:00:00,0.06,-0.244,-0.09,-0.32,-0.41,-0.54,-0.39,-0.50,-0.02,-0.136,
902,07/08/24 13:00:00,0.08,-0.179,-0.43,0.28,0.10,-0.13,-0.41,-0.45,-0.28,-0.115,
903,07/08/24 14:00:00,-0.50,-0.737,-0.80,-0.73,0.21,-0.60,-0.93,-1.29,-0.84,-0.866,
904,07/08/24 15:00:00,-0.35,-0.158,-0.71,-0.35,-0.75,0.75,-0.71,0.02,-0.56,0.014,
905,07/08/24 16:00:00,0.28,0.035,-0.35,0.04,0.66,2.89,0.02,2.06,0.75,1.129,
906,07/08/24 17:00:00,0.00,0.614,-0.39,-0.30,-0.60,0.83,-0.41,-0.22,1.82,1.429,
907,07/08/24 18:00:00,0.51,1.472,-0.02,-0.11,-0.62,1.28,-0.09,0.00,1.39,1.515,
908,07/08/24 19:00:00,2.38,2.073,0.96,0.94,0.66,2.68,0.60,1.33,2.72,2.566,
909,07/08/24 20:00:00,2.79,2.502,1.31,1.07,1.01,4.14,1.82,2.34,3.45,3.595,
910,07/08/24 21:00:00,3.36,3.188,1.91,1.65,1.39,3.45,1.95,1.93,4.91,2.866,
911,07/08/24 22:00:00,3.45,3.510,2.40,2.16,1.84,3.71,2.03,2.27,4.87,2.630,
912,07/08/24 23:00:00,4.37,3.638,2.46,2.57,2.38,4.84,2.55,2.68,3.82,2.931,
913,07/09/24 00:00:00,3.94,3.488,2.49,2.72,2.53,4.16,2.98,3.39,4.24,3.338,
914,07/09/24 01:00:00,5.02,4.282,4.46,3.84,3.43,6.05,3.62,3.79,4.27,3.660,
915,07/09/24 02:00:00,7.08,5.161,6.43,4.69,4.59,8.53,5.15,5.06,5.62,4.754,
916,07/09/24 03:00:00,7.14,6.705,7.12,6.43,7.20,9.14,6.95,7.18,6.97,6.362,
917,07/09/24 04:00:00,7.29,7.113,7.50,6.93,7.89,8.75,7.44,7.65,7.42,6.877,
918,07/09/24 05:00:00,6.97,6.963,7.25,6.82,7.61,8.43,7.81,7.33,7.10,6.684,
919,07/09/24 06:00:00,6.54,6.555,6.60,6.48,6.99,7.01,6.82,6.39,6.63,6.448,
920,07/09/24 07:00:00,5.62,5.547,6.15,5.55,6.26,6.09,5.40,4.61,4.87,4.518,
921,07/09/24 08:00:00,4.46,4.410,4.91,4.37,5.79,6.15,5.08,4.35,4.29,4.175,
922,07/09/24 09:00:00,4.18,4.132,4.29,4.07,4.42,4.14,4.20,3.99,4.01,3.939,
923,07/09/24 10:00:00,3.30,3.188,3.34,3.15,3.41,3.02,3.28,2.94,3.13,2.995,
924,07/09/24 11:00:00,3.17,3.145,3.52,3.17,3.84,2.85,3.30,3.00,3.00,2.931,
925,07/09/24 12:00:00,3.97,3.982,4.44,3.99,5.32,3.75,4.12,3.99,3.62,3.638,
926,07/09/24 13:00:00,4.33,4.410,4.54,4.48,5.47,4.35,4.69,4.57,4.16,4.260,
927,07/09/24 14:00:00,5.17,5.183,5.25,5.23,6.54,5.23,5.51,5.53,4.87,5.633,
928,07/09/24 15:00:00,5.51,5.976,5.51,5.57,7.01,5.98,5.47,5.68,5.27,5.805,
929,07/09/24 16:00:00,6.00,6.212,5.94,6.02,5.94,6.30,5.23,5.66,5.60,5.590,
930,07/09/24 17:00:00,5.75,5.933,5.68,5.81,5.70,6.02,5.00,5.25,5.55,5.547,
931,07/09/24 18:00:00,5.34,5.805,5.51,5.57,5.45,6.65,4.63,5.00,5.53,5.140,
932,07/09/24 19:00:00,4.14,4.110,4.44,3.97,4.16,5.53,4.07,4.24,5.23,4.582,
933,07/09/24 20:00:00,4.59,4.496,4.95,4.29,4.33,5.55,3.84,4.16,5.45,3.939,
934,07/09/24 21:00:00,6.17,4.260,4.87,4.14,4.16,5.47,3.90,4.39,5.40,3.960,
935,07/09/24 22:00:00,6.73,4.024,4.57,3.67,3.88,6.50,4.24,4.14,5.21,3.617,
936,07/09/24 23:00:00,6.71,3.638,4.33,3.30,3.60,7.10,4.20,3.99,5.36,3.424,
937,07/10/24 00:00:00,6.60,3.145,3.69,2.76,2.96,7.63,3.75,3.36,5.00,2.459,
938,07/10/24 01:00:00,6.07,2.351,3.09,1.99,2.14,8.34,3.32,2.72,4.27,1.923,
939,07/10/24 02:00:00,4.91,1.923,2.66,1.71,1.80,6.33,2.89,2.21,3.34,1.622,
940,07/10/24 03:00:00,3.43,1.622,2.38,1.39,1.58,4.20,2.53,1.61,2.38,1.215,
941,07/10/24 04:00:00,2.87,1.665,2.38,1.58,1.78,3.77,2.16,1.43,2.06,1.172,
