Line#,Date,"Wind Speed (RXW-WCF 21198259:21181033-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21181033-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21206909-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21206909-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398709-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21398709-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398712-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21398712-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398712-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21401801:21206911-1), m/s, RX3000_BRW4_SSMH","Gust Speed (RXW-WCF 21401801:21206911-2), m/s, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206912-1), m/s, RX3000_BRW4_SSMH","Gust Speed (RXW-WCF 21401801:21206912-2), m/s, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21398711-1), m/s, RX3000_BRW4_SSMH","Gust Speed (RXW-WCF 21401801:21398711-2), m/s, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21398711-3), *, RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21198259:21398716-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21398716-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398716-3), *, RX3000_BRW1_TNHA"
1,06/01/24 00:00:00,0.0,0.0,345,0.3,2.0,329,0.0,0.7,323,,,,0.0,1.3,59,0.3,1.7,83,0.3,12.7,285,,,
2,06/01/24 01:00:00,0.0,0.0,344,0.3,2.7,333,0.0,0.7,323,,,,0.0,1.7,62,0.3,1.7,80,0.3,7.7,275,,,
3,06/01/24 02:00:00,0.0,0.0,344,0.7,2.7,343,0.0,0.7,321,,,,0.0,1.0,39,0.7,2.0,101,0.3,17.8,300,,,
4,06/01/24 03:00:00,0.0,0.0,344,0.3,1.7,323,0.0,0.3,323,,,,0.0,1.3,3,0.3,1.3,115,0.7,32.2,299,,,
5,06/01/24 04:00:00,0.0,0.0,345,0.0,1.0,81,0.0,0.7,321,,,,0.0,0.7,1,0.3,1.3,112,1.0,49.3,306,,,
6,06/01/24 05:00:00,0.0,0.0,347,0.0,1.3,316,0.0,0.3,323,,,,0.0,1.3,6,0.0,1.3,110,0.7,29.5,307,,,
7,06/01/24 06:00:00,0.0,0.0,352,0.0,1.0,313,0.0,0.3,321,,,,0.0,1.0,358,0.0,1.0,122,0.3,0.3,309,,,
8,06/01/24 07:00:00,0.0,0.0,354,0.0,1.3,313,0.0,0.7,321,,,,0.0,1.0,358,0.0,0.7,122,0.3,0.3,251,,,
9,06/01/24 08:00:00,0.0,0.0,354,0.0,1.3,329,0.0,0.3,321,,,,0.0,0.7,358,0.0,1.3,112,0.3,0.3,272,,,
10,06/01/24 09:00:00,0.0,0.0,355,0.0,1.0,316,0.0,0.3,321,,,,0.0,4.0,358,0.0,0.7,104,0.3,0.3,307,,,
11,06/01/24 10:00:00,0.0,0.0,354,0.0,1.0,316,0.0,0.3,321,,,,0.0,0.3,0,0.0,0.7,112,0.3,0.3,307,,,
12,06/01/24 11:00:00,0.0,0.0,352,0.0,1.3,314,0.0,0.3,321,,,,0.0,0.3,0,0.0,0.7,133,0.3,0.3,307,,,
13,06/01/24 12:00:00,0.0,0.0,352,0.0,1.0,313,0.0,0.3,321,,,,0.0,0.7,0,0.0,1.0,143,0.3,0.3,312,,,
14,06/01/24 13:00:00,0.0,0.0,354,0.0,1.0,313,0.0,0.3,321,,,,0.0,1.0,0,0.0,0.7,157,0.3,0.7,314,,,
15,06/01/24 14:00:00,0.0,0.0,355,0.0,1.0,313,0.0,0.3,321,,,,0.0,0.7,0,0.0,0.7,154,0.3,0.3,313,,,
16,06/01/24 15:00:00,0.0,0.0,354,0.3,2.7,39,0.0,1.0,321,,,,0.0,1.0,358,0.0,1.0,146,0.3,0.3,319,,,
17,06/01/24 16:00:00,0.0,0.0,355,1.3,3.4,114,0.3,1.7,334,,,,0.0,1.3,338,0.3,1.7,150,0.3,0.3,329,,,
18,06/01/24 17:00:00,0.0,0.0,354,2.0,4.0,114,0.3,1.7,107,,,,0.3,2.0,337,0.7,2.0,154,0.3,0.3,334,,,
19,06/01/24 18:00:00,0.0,0.0,354,1.7,4.4,108,0.3,2.0,107,,,,0.0,1.3,345,0.7,2.0,138,0.3,0.3,321,,,
20,06/01/24 19:00:00,0.0,0.0,354,2.3,5.0,114,0.3,2.0,88,,,,0.3,2.0,334,1.0,2.3,136,0.3,0.3,321,,,
21,06/01/24 20:00:00,0.0,0.0,354,2.0,4.4,115,0.3,2.3,94,,,,0.3,2.0,345,0.7,2.7,139,0.3,1.0,324,,,
22,06/01/24 21:00:00,0.0,0.0,352,1.3,4.4,101,0.0,2.0,91,,,,0.3,1.7,338,0.7,1.7,146,0.3,0.3,331,,,
23,06/01/24 22:00:00,0.0,0.0,352,1.7,5.4,105,0.3,2.0,84,,,,0.3,2.3,336,1.0,2.0,140,0.3,0.3,324,,,
24,06/01/24 23:00:00,0.0,0.0,354,2.0,4.7,112,0.3,1.7,95,,,,0.0,2.0,351,1.0,2.3,138,0.3,0.3,321,,,
25,06/02/24 00:00:00,0.0,0.0,354,2.3,5.4,115,0.3,2.0,97,,,,0.3,2.3,337,0.7,2.0,152,0.3,0.3,331,,,
26,06/02/24 01:00:00,0.0,0.0,351,2.0,5.0,111,0.3,2.3,90,,,,0.3,2.0,336,1.0,3.0,138,0.3,0.3,324,,,
27,06/02/24 02:00:00,0.0,0.0,352,2.7,5.4,115,0.7,2.3,102,,,,0.3,2.0,331,1.0,2.7,143,0.3,0.3,330,,,
28,06/02/24 03:00:00,0.0,0.0,350,2.3,5.4,110,0.3,2.0,83,,,,0.3,2.7,338,1.0,2.7,138,0.3,0.3,324,,,
29,06/02/24 04:00:00,0.0,0.0,352,2.0,5.4,107,0.3,2.0,84,,,,0.3,2.3,333,1.0,2.3,140,0.3,0.7,323,,,
30,06/02/24 05:00:00,0.0,0.0,354,2.0,5.4,107,0.3,2.3,66,,,,0.0,1.7,336,1.0,2.7,135,0.3,0.3,319,,,
31,06/02/24 06:00:00,0.0,0.0,352,2.0,6.0,105,0.3,2.0,95,,,,0.3,2.3,336,1.0,2.0,142,0.3,0.3,323,,,
32,06/02/24 07:00:00,0.0,0.0,352,1.7,5.0,105,0.3,2.0,87,,,,0.0,1.3,343,0.7,2.3,135,0.3,0.3,317,,,
33,06/02/24 08:00:00,0.0,0.0,354,1.7,4.0,112,0.3,2.0,77,,,,0.3,2.0,340,0.7,2.0,152,0.3,0.7,333,,,
34,06/02/24 09:00:00,0.0,0.0,354,1.7,4.0,105,0.3,1.7,95,,,,0.0,1.7,340,0.7,2.0,140,0.3,0.3,323,,,
35,06/02/24 10:00:00,0.0,0.0,352,1.3,4.4,104,0.0,1.7,84,,,,0.0,1.7,347,0.7,2.0,143,0.3,0.3,323,,,
36,06/02/24 11:00:00,0.0,0.0,351,1.7,4.0,112,0.0,1.3,87,,,,0.0,1.0,24,0.7,2.0,131,0.3,0.3,314,,,
37,06/02/24 12:00:00,0.0,0.0,352,1.7,4.4,115,0.0,1.7,67,,,,0.3,2.0,341,0.3,1.7,149,0.3,0.3,329,,,
38,06/02/24 13:00:00,0.0,0.0,352,1.3,3.4,114,0.0,1.3,91,,,,0.0,1.3,343,0.3,1.3,149,0.3,0.3,330,,,
39,06/02/24 14:00:00,0.0,0.0,354,0.7,2.3,114,0.0,1.0,91,,,,0.3,1.7,334,0.0,1.7,167,0.3,0.3,338,,,
40,06/02/24 15:00:00,0.0,0.0,354,1.3,3.4,124,0.0,0.7,91,,,,0.3,2.0,330,0.0,1.0,170,0.3,11.4,358,,,
41,06/02/24 16:00:00,0.0,0.0,355,1.3,3.0,119,0.0,1.0,91,,,,0.0,1.3,341,0.3,1.0,159,1.0,10.7,340,,,
42,06/02/24 17:00:00,0.0,0.0,355,1.0,2.7,117,0.0,1.0,91,,,,0.0,1.3,341,0.3,1.0,146,0.7,7.0,331,,,
43,06/02/24 18:00:00,0.0,0.0,355,1.0,2.7,119,0.0,1.0,91,,,,0.3,2.0,324,0.0,1.0,159,0.7,10.4,354,,,
44,06/02/24 19:00:00,0.0,0.0,355,0.7,2.3,124,0.0,0.7,91,,,,0.7,2.3,320,0.0,0.7,170,0.3,8.7,38,,,
45,06/02/24 20:00:00,0.0,0.0,355,0.7,2.0,125,0.0,0.7,91,,,,0.7,2.0,317,0.0,0.7,157,0.3,5.0,48,,,
46,06/02/24 21:00:00,0.0,0.0,357,1.3,3.0,125,0.0,0.7,91,,,,0.7,2.3,319,0.0,0.7,171,0.3,9.4,38,,,
47,06/02/24 22:00:00,0.0,0.0,357,1.7,4.0,126,0.0,0.7,91,,,,0.7,2.3,323,0.0,1.0,175,0.7,8.0,20,,,
48,06/02/24 23:00:00,0.0,0.0,357,1.7,4.0,125,0.0,0.7,91,,,,0.7,2.0,324,0.0,1.0,174,0.3,6.7,24,,,
49,06/03/24 00:00:00,0.0,0.0,354,1.7,3.7,125,0.0,1.0,95,,,,0.7,2.7,319,0.0,1.0,180,0.3,7.0,31,,,
50,06/03/24 01:00:00,0.0,0.0,358,2.0,4.7,125,0.0,1.0,102,,,,0.7,2.7,317,0.0,1.0,184,0.3,5.0,31,,,
51,06/03/24 02:00:00,0.0,0.0,357,2.7,5.4,125,0.0,1.0,102,,,,1.0,3.0,326,0.3,1.0,178,0.3,3.7,20,,,
52,06/03/24 03:00:00,0.0,0.0,357,3.0,5.0,125,0.0,1.0,102,,,,1.0,2.7,324,0.3,1.7,173,0.3,1.7,17,,,
53,06/03/24 04:00:00,0.0,0.0,358,2.7,5.4,126,0.3,1.3,126,,,,1.0,3.7,316,0.3,1.3,191,0.3,2.3,34,,,
54,06/03/24 05:00:00,0.0,0.0,358,2.0,4.0,126,0.0,1.0,142,,,,0.7,3.0,309,0.3,1.3,192,0.3,4.7,38,,,
55,06/03/24 06:00:00,0.0,0.0,358,2.7,4.7,125,0.0,1.0,136,,,,0.7,3.0,317,0.3,1.3,187,0.3,4.4,27,,,
56,06/03/24 07:00:00,0.0,0.0,358,3.0,5.0,124,0.0,1.7,139,,,,0.7,2.3,330,0.3,1.7,177,0.3,6.0,15,,,
57,06/03/24 08:00:00,0.0,0.0,357,3.0,5.4,122,0.3,1.7,100,,,,0.7,2.7,340,0.7,2.0,166,0.3,4.7,351,,,
58,06/03/24 09:00:00,0.0,0.0,357,3.4,5.0,124,0.3,1.3,94,,,,0.7,2.3,337,0.3,1.3,173,0.3,4.7,3,,,
59,06/03/24 10:00:00,0.0,0.0,357,3.0,6.0,119,0.7,2.7,95,,,,0.7,2.3,337,0.7,2.0,157,0.3,3.0,341,,,
60,06/03/24 11:00:00,0.0,0.0,355,3.4,6.0,119,0.7,2.3,94,,,,0.7,2.3,340,0.7,2.0,157,0.3,1.0,337,,,
61,06/03/24 12:00:00,0.0,0.0,355,3.0,5.4,121,0.3,2.0,111,,,,0.7,2.3,338,0.7,1.7,161,0.3,0.7,345,,,
62,06/03/24 13:00:00,0.0,0.0,357,2.7,5.0,121,0.3,1.7,108,,,,0.7,2.0,337,0.7,1.7,161,0.3,1.3,344,,,
63,06/03/24 14:00:00,0.0,0.0,357,3.0,6.0,119,0.7,2.3,100,,,,0.7,2.3,334,0.7,2.0,159,0.3,1.7,338,,,
64,06/03/24 15:00:00,0.0,0.0,355,3.0,5.4,118,0.7,2.3,98,,,,0.7,2.7,337,1.0,2.3,154,0.3,2.3,334,,,
65,06/03/24 16:00:00,0.0,0.0,355,3.7,6.7,118,0.7,2.7,97,,,,0.7,2.3,340,1.0,2.3,157,0.3,1.7,338,,,
66,06/03/24 17:00:00,0.0,0.0,354,3.4,6.4,119,0.7,2.3,93,,,,0.7,2.7,338,1.0,2.3,160,0.3,1.0,338,,,
67,06/03/24 18:00:00,0.0,0.0,355,3.4,6.7,118,0.7,3.0,95,,,,0.7,2.7,338,1.0,2.3,156,0.3,1.0,333,,,
68,06/03/24 19:00:00,0.0,0.0,355,3.7,6.4,118,0.7,2.7,93,,,,0.7,2.7,338,1.0,2.3,152,0.3,1.0,334,,,
69,06/03/24 20:00:00,0.0,0.0,355,4.0,7.4,119,1.0,2.7,95,,,,1.0,3.7,336,1.0,2.3,157,0.3,0.7,336,,,
70,06/03/24 21:00:00,0.0,0.0,355,4.0,8.0,118,1.0,3.0,94,,,,1.0,3.0,334,1.3,2.7,153,0.3,0.7,336,,,
71,06/03/24 22:00:00,0.0,0.0,355,4.0,8.0,118,1.0,3.4,94,,,,0.7,3.0,330,1.3,2.7,153,0.3,0.7,333,,,
72,06/03/24 23:00:00,0.0,0.0,355,3.7,7.4,117,1.0,3.4,94,,,,1.0,3.4,329,1.3,3.0,152,0.3,1.0,333,,,
73,06/04/24 00:00:00,0.0,0.0,355,4.0,8.0,115,1.0,3.0,97,,,,0.7,3.0,331,1.3,3.0,150,0.3,1.7,331,,,
74,06/04/24 01:00:00,0.0,0.0,355,3.4,7.0,112,1.0,2.7,94,,,,0.3,2.3,336,1.3,4.0,145,0.3,1.3,326,,,
75,06/04/24 02:00:00,0.0,0.0,355,3.7,7.7,115,1.0,3.0,95,,,,0.3,2.3,331,1.3,2.3,150,0.3,1.3,327,,,
76,06/04/24 03:00:00,0.0,0.0,355,3.4,7.4,114,1.0,3.0,93,,,,0.7,3.4,333,1.3,2.7,146,0.3,0.7,329,,,
77,06/04/24 04:00:00,0.0,0.0,355,3.0,7.0,111,0.7,3.0,87,,,,0.3,2.3,334,1.3,3.0,147,0.3,0.3,327,,,
78,06/04/24 05:00:00,0.0,0.0,355,3.0,6.4,111,1.0,3.0,91,,,,0.3,2.0,341,1.3,3.0,143,0.3,0.7,326,,,
79,06/04/24 06:00:00,0.0,0.0,355,2.7,7.4,107,0.7,3.4,80,,,,0.3,1.7,352,1.3,2.7,139,0.3,0.7,317,,,
80,06/04/24 07:00:00,0.0,0.0,355,3.0,7.4,105,0.7,2.7,84,,,,0.0,1.7,1,1.3,3.0,139,0.3,0.7,317,,,
81,06/04/24 08:00:00,0.0,0.0,355,2.7,7.7,104,0.7,2.3,73,,,,0.3,1.3,20,1.3,3.0,136,0.3,0.7,316,,,
82,06/04/24 09:00:00,0.0,0.0,355,3.0,7.4,105,0.7,2.7,80,,,,0.3,1.7,10,1.7,4.0,138,0.3,3.7,320,,,
83,06/04/24 10:00:00,0.0,0.0,355,3.4,7.7,111,1.0,3.7,94,,,,0.3,2.0,358,1.3,2.7,139,0.3,1.0,321,,,
84,06/04/24 11:00:00,0.0,0.0,355,2.7,7.0,101,0.7,2.7,73,,,,0.0,1.3,35,1.3,3.4,136,0.3,1.3,314,,,
85,06/04/24 12:00:00,0.0,0.0,354,2.0,5.7,93,0.3,2.0,49,,,,0.0,1.3,24,1.3,3.0,125,0.3,0.7,312,,,
86,06/04/24 13:00:00,0.0,0.0,354,2.3,6.4,97,0.3,2.0,72,,,,0.0,1.3,35,1.3,3.4,129,0.3,1.3,313,,,
87,06/04/24 14:00:00,0.0,0.0,355,2.0,6.0,94,0.3,1.3,39,,,,0.0,1.7,39,1.3,2.7,131,0.3,2.3,312,,,
88,06/04/24 15:00:00,0.0,0.0,355,1.7,5.7,79,0.0,1.3,348,,,,0.0,1.3,60,1.3,3.7,132,0.3,1.3,309,,,
89,06/04/24 16:00:00,0.0,0.0,354,1.7,5.7,88,0.3,1.3,20,,,,0.0,1.3,58,1.3,3.0,128,0.3,2.3,312,,,
90,06/04/24 17:00:00,0.0,0.0,354,1.7,5.4,81,0.3,1.7,6,,,,0.0,1.0,59,1.3,2.7,128,0.3,1.3,310,,,
91,06/04/24 18:00:00,0.0,0.0,354,1.7,6.0,80,0.3,1.3,358,,,,0.0,1.3,84,1.3,3.0,132,0.3,1.0,312,,,
92,06/04/24 19:00:00,0.0,0.0,354,2.0,6.0,90,0.3,1.7,45,,,,0.0,1.3,59,1.3,3.4,129,0.3,1.0,313,,,
93,06/04/24 20:00:00,0.0,0.0,354,2.0,5.7,93,0.3,1.3,21,,,,0.0,1.3,62,1.3,3.4,128,0.3,1.0,313,,,
94,06/04/24 21:00:00,0.0,0.0,354,2.0,6.7,98,0.3,2.0,37,,,,0.0,1.3,51,1.3,3.0,126,0.3,1.0,313,,,
95,06/04/24 22:00:00,0.0,0.0,352,2.3,6.4,91,0.3,2.0,35,,,,0.0,1.3,45,1.3,3.7,128,0.3,0.7,313,,,
96,06/04/24 23:00:00,0.0,0.0,352,2.0,7.0,97,0.3,2.0,48,,,,0.0,1.7,42,1.3,3.0,135,0.3,1.0,316,,,
97,06/05/24 00:00:00,0.0,0.0,352,2.7,6.4,104,0.3,3.0,67,,,,0.3,2.0,336,1.3,3.0,138,0.3,0.3,319,,,
98,06/05/24 01:00:00,0.0,0.0,352,2.7,6.7,108,0.7,2.7,84,,,,0.3,1.7,327,1.3,3.0,135,0.3,0.3,320,,,
99,06/05/24 02:00:00,0.0,0.0,351,2.7,6.7,110,0.7,2.7,81,,,,0.3,2.0,337,1.0,2.7,138,0.3,0.3,321,,,
100,06/05/24 03:00:00,0.0,0.0,351,2.3,5.4,110,0.7,2.7,84,,,,0.0,1.7,343,1.0,2.3,142,0.3,0.3,320,,,
101,06/05/24 04:00:00,0.0,0.0,348,2.0,5.4,105,0.3,2.0,81,,,,0.0,1.0,6,1.0,2.7,129,0.3,0.7,316,,,
102,06/05/24 05:00:00,0.0,0.0,338,2.0,6.0,105,0.3,2.0,70,,,,0.0,1.3,358,1.0,2.3,132,0.3,0.3,316,,,
103,06/05/24 06:00:00,0.0,0.0,329,2.0,5.4,110,0.3,2.0,90,,,,0.0,1.0,347,1.0,2.3,136,0.3,0.3,319,,,
104,06/05/24 07:00:00,0.0,0.0,305,1.7,4.0,110,0.3,1.7,93,,,,0.0,1.3,341,0.7,2.0,145,0.3,0.3,320,,,
105,06/05/24 08:00:00,0.0,0.0,285,1.0,3.7,95,0.0,1.3,65,,,,0.0,0.7,358,0.7,2.0,133,0.3,0.7,316,,,
106,06/05/24 09:00:00,0.0,0.0,274,1.0,4.4,87,0.0,1.0,8,,,,0.0,0.7,0,0.7,2.0,126,0.3,1.0,312,,,
107,06/05/24 10:00:00,0.0,0.0,264,1.0,3.4,93,0.0,0.7,357,,,,0.0,0.7,4,0.7,2.0,136,0.3,1.7,309,,,
108,06/05/24 11:00:00,0.0,0.0,263,0.7,3.0,69,0.0,0.7,337,,,,0.0,0.7,4,0.7,1.7,133,0.3,0.3,309,,,
109,06/05/24 12:00:00,0.0,0.0,260,0.7,2.7,105,0.0,0.7,340,,,,0.0,1.0,4,0.3,1.3,142,0.3,1.0,313,,,
110,06/05/24 13:00:00,0.0,0.0,261,0.3,1.7,108,0.0,0.7,343,,,,0.0,0.7,4,0.0,0.7,159,0.3,4.0,314,,,
111,06/05/24 14:00:00,0.0,0.0,277,1.0,2.3,121,0.0,0.7,343,,,,0.3,1.3,358,0.0,0.7,168,0.3,1.0,350,,,
112,06/05/24 15:00:00,0.0,0.0,300,1.3,2.3,124,0.0,0.7,343,,,,0.3,1.3,331,0.0,0.7,173,0.3,5.4,358,,,
113,06/05/24 16:00:00,0.0,0.0,320,0.7,2.0,124,0.0,0.3,343,,,,0.3,1.7,319,0.0,0.3,173,0.3,1.0,38,,,
114,06/05/24 17:00:00,0.0,0.0,336,0.3,1.7,124,0.0,1.7,11,,,,1.0,2.7,324,0.0,1.0,164,0.3,1.3,63,,,
115,06/05/24 18:00:00,0.0,0.0,340,0.0,1.0,117,0.0,1.3,97,,,,1.3,3.0,317,0.0,0.7,124,0.3,4.4,87,,,
116,06/05/24 19:00:00,0.0,0.0,340,0.0,1.0,117,0.0,1.3,107,,,,1.7,3.0,314,0.0,1.0,111,0.3,6.7,84,,,
117,06/05/24 20:00:00,0.0,0.0,345,0.0,1.0,121,0.3,2.3,105,,,,1.3,3.4,313,0.0,1.3,119,0.3,3.4,91,,,
118,06/05/24 21:00:00,0.0,0.0,348,0.0,1.7,117,0.0,2.3,117,,,,1.3,4.0,312,0.0,1.7,105,0.3,6.4,87,,,
119,06/05/24 22:00:00,0.0,0.0,350,0.3,1.7,126,0.3,2.3,104,,,,1.3,3.4,312,0.0,1.3,110,0.3,1.0,83,,,
120,06/05/24 23:00:00,0.0,0.0,351,0.3,2.0,119,0.3,2.0,105,,,,1.3,3.7,317,0.0,1.3,142,0.3,0.7,77,,,
121,06/06/24 00:00:00,0.0,0.0,351,0.7,2.3,124,0.0,1.0,98,,,,1.0,3.4,313,0.0,1.0,152,0.3,1.3,59,,,
122,06/06/24 01:00:00,0.0,0.0,351,1.0,2.7,125,0.0,0.7,95,,,,1.0,3.0,321,0.0,0.7,157,0.3,1.0,51,,,
123,06/06/24 02:00:00,0.0,0.0,347,1.0,2.3,125,0.0,1.0,97,,,,1.0,2.7,324,0.0,0.7,164,0.3,3.7,28,,,
124,06/06/24 03:00:00,0.0,0.0,350,1.3,3.4,121,0.0,1.0,97,,,,0.7,2.0,330,0.0,1.3,154,0.3,1.3,358,,,
125,06/06/24 04:00:00,0.0,0.0,355,2.0,3.7,125,0.0,1.0,97,,,,0.7,2.3,326,0.0,1.0,174,0.3,1.7,17,,,
126,06/06/24 05:00:00,0.0,0.0,355,3.0,4.7,124,0.3,1.7,94,,,,0.7,2.3,333,0.3,1.7,171,0.3,1.3,4,,,
127,06/06/24 06:00:00,0.0,0.0,352,3.0,5.0,124,0.3,1.7,117,,,,0.7,2.3,331,0.3,1.3,175,0.3,1.3,8,,,
128,06/06/24 07:00:00,0.0,0.0,341,3.0,5.4,125,0.3,1.3,118,,,,0.7,3.0,324,0.3,1.3,190,0.3,1.0,24,,,
129,06/06/24 08:00:00,0.0,0.0,344,2.3,4.4,125,0.0,1.0,119,,,,0.7,3.0,320,0.3,1.3,194,0.3,2.7,32,,,
130,06/06/24 09:00:00,0.0,0.0,336,2.0,4.4,126,0.0,1.0,119,,,,0.7,2.7,309,0.3,1.3,197,0.3,0.7,39,,,
131,06/06/24 10:00:00,0.0,0.0,313,2.3,5.4,125,0.0,1.3,122,,,,0.7,2.7,321,0.3,1.0,185,0.3,4.7,25,,,
132,06/06/24 11:00:00,0.0,0.0,277,3.0,5.4,124,0.3,1.3,112,,,,0.7,3.0,327,0.3,1.3,187,0.3,1.7,17,,,
133,06/06/24 12:00:00,0.0,0.0,256,2.7,4.4,125,0.0,1.0,111,,,,0.7,2.7,309,0.3,1.3,198,0.3,0.7,31,,,
134,06/06/24 13:00:00,0.0,0.0,256,2.0,4.0,126,0.0,1.0,121,,,,1.0,3.4,306,0.3,1.3,202,0.3,1.7,44,,,
135,06/06/24 14:00:00,0.0,0.0,251,2.0,4.7,126,0.3,1.3,128,,,,1.0,4.7,309,0.3,1.7,206,0.3,1.3,45,,,
136,06/06/24 15:00:00,0.0,0.0,251,2.3,5.0,126,0.3,1.3,135,,,,1.3,4.4,309,0.3,2.0,215,0.3,4.0,48,,,
137,06/06/24 16:00:00,0.0,0.0,254,2.3,5.0,126,0.3,1.7,132,,,,1.3,4.4,309,0.3,2.0,209,0.3,3.4,48,,,
138,06/06/24 17:00:00,0.0,0.0,261,2.0,5.0,126,0.3,1.7,129,,,,1.3,5.0,307,0.3,2.0,215,0.3,2.3,48,,,
139,06/06/24 18:00:00,0.0,0.0,291,2.3,4.4,126,0.3,1.3,128,,,,1.3,4.4,310,0.3,1.7,212,0.3,4.0,48,,,
140,06/06/24 19:00:00,0.0,0.0,316,2.7,5.7,126,0.3,1.3,132,,,,1.3,3.7,312,0.3,1.7,206,0.3,2.0,45,,,
141,06/06/24 20:00:00,0.0,0.0,324,3.4,6.7,125,0.3,1.3,131,,,,1.0,4.0,309,0.3,2.0,198,0.3,4.4,34,,,
142,06/06/24 21:00:00,0.0,0.0,345,3.7,6.4,126,0.3,1.3,125,,,,1.3,4.4,300,0.7,2.3,208,0.3,0.7,37,,,
143,06/06/24 22:00:00,0.0,0.0,350,4.4,7.4,125,0.3,1.3,125,,,,1.3,4.4,309,0.7,2.3,197,0.3,8.0,31,,,
144,06/06/24 23:00:00,0.0,0.0,351,3.7,6.4,125,0.3,1.3,128,,,,1.3,5.0,300,0.7,2.0,197,0.3,6.7,31,,,
145,06/07/24 00:00:00,0.0,0.0,357,3.7,6.0,125,0.3,1.7,126,,,,1.3,3.4,306,0.3,2.0,195,0.3,0.3,34,,,
146,06/07/24 01:00:00,0.0,0.0,358,3.7,6.4,125,0.3,1.3,122,,,,1.0,3.4,303,0.3,1.7,192,0.3,0.3,32,,,
147,06/07/24 02:00:00,0.0,0.0,358,3.4,6.0,125,0.3,1.3,114,,,,1.0,3.4,320,0.3,2.0,191,0.3,0.7,28,,,
148,06/07/24 03:00:00,0.0,0.0,358,3.7,6.4,125,0.3,2.0,114,,,,1.0,3.0,331,0.3,1.7,181,0.3,0.3,13,,,
149,06/07/24 04:00:00,0.0,0.0,358,3.7,6.0,124,0.3,2.0,112,,,,1.0,2.7,333,0.3,1.7,177,0.3,0.7,6,,,
150,06/07/24 05:00:00,0.0,0.0,354,3.4,5.4,124,0.3,2.0,108,,,,0.7,2.3,331,0.3,1.3,177,0.3,1.0,8,,,
151,06/07/24 06:00:00,0.0,0.0,354,3.0,5.0,124,0.3,1.7,111,,,,0.7,2.7,334,0.3,1.3,177,0.3,0.3,1,,,
152,06/07/24 07:00:00,0.0,0.0,350,2.3,4.4,122,0.3,1.3,117,,,,0.3,1.7,344,0.3,1.3,167,0.3,0.3,352,,,
153,06/07/24 08:00:00,0.0,0.0,352,2.3,4.4,122,0.3,1.3,117,,,,0.3,7.0,343,0.3,1.0,170,0.3,2.7,352,,,
154,06/07/24 09:00:00,0.0,0.0,352,2.0,3.7,122,0.0,1.0,117,,,,0.3,1.3,341,0.0,1.0,168,0.3,2.7,351,,,
155,06/07/24 10:00:00,0.0,0.0,352,1.7,3.7,124,0.0,1.0,117,,,,0.3,1.7,331,0.0,0.7,175,0.3,0.3,3,,,
156,06/07/24 11:00:00,0.0,0.0,352,1.3,3.4,124,0.0,1.0,117,,,,0.3,1.3,329,0.0,0.3,174,0.3,0.7,13,,,
157,06/07/24 12:00:00,0.0,0.0,355,0.7,2.0,124,0.0,0.3,117,,,,0.3,1.7,312,0.0,0.3,175,0.3,0.3,49,,,
158,06/07/24 13:00:00,0.0,0.0,357,0.0,1.0,124,0.0,1.0,117,,,,0.3,1.3,305,0.0,0.3,178,0.3,0.3,98,,,
159,06/07/24 14:00:00,0.0,0.0,357,0.3,1.7,124,0.0,0.7,117,,,,0.0,1.3,302,0.0,0.3,178,0.3,0.3,80,,,
160,06/07/24 15:00:00,0.0,0.0,357,0.0,1.0,124,0.0,1.3,117,,,,0.3,1.7,305,0.0,0.7,170,0.3,0.3,83,,,
161,06/07/24 16:00:00,0.0,0.0,358,0.0,1.3,124,0.0,1.0,111,,,,0.3,2.0,327,0.0,0.7,166,0.3,0.7,112,,,
