Line#,Date,"Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398670-1), *C, RX3000_BRW4"
3010,02/28/23 14:10:00,,,,-35.933,,,
3011,02/28/23 14:15:00,,,,-35.890,,,
3012,02/28/23 14:20:00,,,,-35.912,,,
3013,02/28/23 14:25:00,,,,-35.547,,,
3014,02/28/23 14:30:00,,,,-35.504,,,
3015,02/28/23 14:35:00,,,,-35.440,,,
3016,02/28/23 14:40:00,,,,-35.182,,,
3017,02/28/23 14:45:00,,,,-34.689,,,
3018,02/28/23 14:50:00,,,,-34.668,,,
3019,02/28/23 14:55:00,,,,-34.668,,,
3020,02/28/23 15:00:00,,,,-34.775,,,
3021,02/28/23 15:05:00,,,,-34.946,,,
3022,02/28/23 15:10:00,,,,-34.989,,,
3023,02/28/23 15:15:00,,,,-35.011,,,
3024,02/28/23 15:20:00,,,,-34.989,,,
3025,02/28/23 15:25:00,,,,-34.989,,,
3026,02/28/23 15:30:00,,,,-35.054,,,
3027,02/28/23 15:35:00,,,,-35.161,,,
3028,02/28/23 15:40:00,,,,-35.247,,,
3029,02/28/23 15:45:00,,,,-35.311,,,
3030,02/28/23 15:50:00,,,,-35.397,,,
3031,02/28/23 15:55:00,,,,-35.440,,,
3032,02/28/23 16:00:00,,,,-35.504,,,
3033,02/28/23 16:05:00,,,,-35.611,,,
3034,02/28/23 16:10:00,,,,-35.590,,,
3035,02/28/23 16:15:00,,,,-35.547,,,
3036,02/28/23 16:20:00,,,,-35.547,,,
3037,02/28/23 16:25:00,,,,-35.504,,,
3038,02/28/23 16:30:00,,,,-35.483,,,
3039,02/28/23 16:35:00,,,,-35.247,,,
3040,02/28/23 16:40:00,,,,-34.882,,,
3041,02/28/23 16:45:00,,,,-34.668,,,
3042,02/28/23 16:50:00,,,,-34.496,,,
3043,02/28/23 16:55:00,,,,-34.260,,,
3044,02/28/23 17:00:00,,,,-34.131,,,
3045,02/28/23 17:05:00,,,,-34.003,,,
3046,02/28/23 17:10:00,,,,-34.003,,,
3047,02/28/23 17:15:00,,,,-34.024,,,
3048,02/28/23 17:20:00,,,,-34.003,,,
3049,02/28/23 17:25:00,,,,-34.088,,,
3050,02/28/23 17:30:00,,,,-34.196,,,
3051,02/28/23 17:35:00,,,,-34.346,,,
3052,02/28/23 17:40:00,,,,-34.389,,,
3053,02/28/23 17:45:00,,,,-34.475,,,
3054,02/28/23 17:50:00,,,,-34.432,,,
3055,02/28/23 17:55:00,,,,-34.303,,,
3056,02/28/23 18:00:00,,,,-34.303,,,
3057,02/28/23 18:05:00,,,,-34.367,,,
3058,02/28/23 18:10:00,,,,-34.496,,,
3059,02/28/23 18:15:00,,,,-34.582,,,
3060,02/28/23 18:20:00,,,,-34.517,,,
3061,02/28/23 18:25:00,,,,-34.367,,,
3062,02/28/23 18:30:00,,,,-34.131,,,
3063,02/28/23 18:35:00,,,,-34.110,,,
3064,02/28/23 18:40:00,,,,-33.960,,,
3065,02/28/23 18:45:00,,,,-33.788,,,
3066,02/28/23 18:50:00,,,,-33.595,,,
3067,02/28/23 18:55:00,,,,-33.402,,,
3068,02/28/23 19:00:00,,,,-33.273,,,
3069,02/28/23 19:05:00,,,,-33.166,,,
3070,02/28/23 19:10:00,,,,-33.123,,,
3071,02/28/23 19:15:00,,,,-33.059,,,
3072,02/28/23 19:20:00,,,,-33.016,,,
3073,02/28/23 19:25:00,,,,-32.887,,,
3074,02/28/23 19:30:00,,,,-32.780,,,
3075,02/28/23 19:35:00,,,,-32.716,,,
3076,02/28/23 19:40:00,,,,-32.630,,,
3077,02/28/23 19:45:00,,,,-32.501,,,
3078,02/28/23 19:50:00,,,,-32.373,,,
3079,02/28/23 19:55:00,,,,-32.201,,,
3080,02/28/23 20:00:00,,,,-32.094,,,
