Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398616-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
1,09/01/22 00:00:00,116,68,59,,-888.88,86,82,116,,,,,,,,161
2,09/01/22 00:30:00,157,93,79,,-888.88,168,151,147,,,,,,,,243
3,09/01/22 01:00:00,163,82,81,,-888.88,184,171,143,,,,,,,,247
4,09/01/22 01:30:00,89,67,69,,-888.88,114,111,66,,,,,,,,103
5,09/01/22 02:00:00,51,34,41,,-888.88,47,49,46,,,,,,,,141
6,09/01/22 02:30:00,101,49,49,,-888.88,53,67,97,,,,,,,,169
7,09/01/22 03:00:00,57,49,57,,-888.88,53,73,57,,,,,,,,68
8,09/01/22 03:30:00,58,26,32,,-888.88,33,41,46,,,,,,,,117
9,09/01/22 04:00:00,78,37,52,,-888.88,46,72,57,,,,,,,,64
10,09/01/22 04:30:00,44,24,34,,-888.88,31,36,33,,,,,,,,54
11,09/01/22 05:00:00,27,21,28,,-888.88,23,31,22,,,,,,,,34
12,09/01/22 05:30:00,17,11,17,,-888.88,12,17,13,,,,,,,,21
13,09/01/22 06:00:00,8,6,11,,-888.88,6,9,6,,,,,,,,11
14,09/01/22 06:30:00,1,2,3,,-888.88,2,3,1,,,,,,,,2
15,09/01/22 07:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
16,09/01/22 07:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
17,09/01/22 08:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
18,09/01/22 08:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
19,09/01/22 09:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
20,09/01/22 09:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
21,09/01/22 10:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
22,09/01/22 10:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
23,09/01/22 11:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
24,09/01/22 11:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
25,09/01/22 12:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
26,09/01/22 12:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
27,09/01/22 13:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
28,09/01/22 13:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
29,09/01/22 14:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
30,09/01/22 14:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
31,09/01/22 15:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
32,09/01/22 15:30:00,4,1,1,,-888.88,1,1,3,,,,,,,,4
33,09/01/22 16:00:00,8,3,3,,-888.88,2,4,8,,,,,,,,13
34,09/01/22 16:30:00,21,8,8,,-888.88,8,9,16,,,,,,,,22
35,09/01/22 17:00:00,24,14,14,,-888.88,12,16,22,,,,,,,,29
36,09/01/22 17:30:00,32,19,21,,-888.88,17,22,28,,,,,,,,38
37,09/01/22 18:00:00,38,23,24,,-888.88,21,26,34,,,,,,,,56
38,09/01/22 18:30:00,56,32,31,,-888.88,28,33,49,,,,,,,,83
39,09/01/22 19:00:00,78,51,47,,-888.88,44,53,73,,,,,,,,99
40,09/01/22 19:30:00,86,59,57,,-888.88,53,62,74,,,,,,,,99
41,09/01/22 20:00:00,124,68,62,,-888.88,62,67,108,,,,,,,,136
42,09/01/22 20:30:00,137,92,84,,-888.88,83,97,126,,,,,,,,139
43,09/01/22 21:00:00,182,112,99,,-888.88,103,111,164,,,,,,,,207
44,09/01/22 21:30:00,229,133,109,,-888.88,123,136,214,,,,,,,,171
45,09/01/22 22:00:00,79,82,78,,-888.88,76,94,72,,,,,,,,134
46,09/01/22 22:30:00,104,59,54,,-888.88,53,61,97,,,,,,,,157
47,09/01/22 23:00:00,98,76,71,,-888.88,68,82,93,,,,,,,,167
48,09/01/22 23:30:00,101,61,57,,-888.88,53,64,91,,,,,,,,137
49,09/02/22 00:00:00,89,64,63,,-888.88,57,67,87,,,,,,,,123
50,09/02/22 00:30:00,78,56,53,,-888.88,49,63,76,,,,,,,,107
51,09/02/22 01:00:00,63,49,48,,-888.88,43,53,54,,,,,,,,82
52,09/02/22 01:30:00,62,43,43,,-888.88,38,46,54,,,,,,,,78
53,09/02/22 02:00:00,57,39,38,,-888.88,34,42,51,,,,,,,,102
54,09/02/22 02:30:00,72,44,41,,-888.88,39,47,62,,,,,,,,113
55,09/02/22 03:00:00,89,53,53,,-888.88,53,58,69,,,,,,,,113
56,09/02/22 03:30:00,48,41,42,,-888.88,38,48,41,,,,,,,,82
57,09/02/22 04:00:00,44,28,29,,-888.88,27,33,42,,,,,,,,48
58,09/02/22 04:30:00,27,19,22,,-888.88,19,27,23,,,,,,,,41
59,09/02/22 05:00:00,11,12,14,,-888.88,12,17,11,,,,,,,,29
60,09/02/22 05:30:00,2,2,2,,-888.88,2,3,2,,,,,,,,3
61,09/02/22 06:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
62,09/02/22 06:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
63,09/02/22 07:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
64,09/02/22 07:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
65,09/02/22 08:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
66,09/02/22 08:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
67,09/02/22 09:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
68,09/02/22 09:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
69,09/02/22 10:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
70,09/02/22 10:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
71,09/02/22 11:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
72,09/02/22 11:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
73,09/02/22 12:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
74,09/02/22 12:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
75,09/02/22 13:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
76,09/02/22 13:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
77,09/02/22 14:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
78,09/02/22 14:30:00,2,1,1,,-888.88,1,1,2,,,,,,,,4
79,09/02/22 15:00:00,11,3,3,,-888.88,2,3,12,,,,,,,,14
80,09/02/22 15:30:00,19,12,12,,-888.88,8,11,16,,,,,,,,27
81,09/02/22 16:00:00,18,14,13,,-888.88,11,13,18,,,,,,,,24
82,09/02/22 16:30:00,26,16,14,,-888.88,12,14,24,,,,,,,,29
83,09/02/22 17:00:00,33,22,21,,-888.88,17,22,37,,,,,,,,47
84,09/02/22 17:30:00,58,32,27,,-888.88,24,31,48,,,,,,,,68
85,09/02/22 18:00:00,67,36,33,,-888.88,28,38,58,,,,,,,,92
86,09/02/22 18:30:00,79,62,53,,-888.88,47,52,83,,,,,,,,101
87,09/02/22 19:00:00,102,59,54,,-888.88,49,66,99,,,,,,,,112
88,09/02/22 19:30:00,97,59,54,,-888.88,51,64,91,,,,,,,,132
89,09/02/22 20:00:00,136,88,73,,-888.88,76,84,132,,,,,,,,174
90,09/02/22 20:30:00,72,78,64,,-888.88,68,82,77,,,,,,,,162
91,09/02/22 21:00:00,176,88,66,,-888.88,84,81,136,,,,,,,,141
92,09/02/22 21:30:00,173,106,76,,-888.88,102,84,104,,,,,,,,258
93,09/02/22 22:00:00,196,134,99,,-888.88,137,108,147,,,,,,,,207
94,09/02/22 22:30:00,143,119,99,,-888.88,121,132,173,,,,,,,,184
95,09/02/22 23:00:00,91,79,71,,-888.88,84,73,56,,,,,,,,63
96,09/02/22 23:30:00,93,48,43,,-888.88,46,53,86,,,,,,,,129
97,09/03/22 00:00:00,119,71,63,,-888.88,69,83,111,,,,,,,,139
98,09/03/22 00:30:00,144,86,78,,-888.88,86,98,124,,,,,,,,168
99,09/03/22 01:00:00,123,91,84,,-888.88,111,126,161,,,,,,,,172
100,09/03/22 01:30:00,137,82,86,,-888.88,108,114,119,,,,,,,,138
101,09/03/22 02:00:00,109,77,79,,-888.88,91,93,94,,,,,,,,126
102,09/03/22 02:30:00,78,53,61,,-888.88,63,76,69,,,,,,,,106
103,09/03/22 03:00:00,59,41,46,,-888.88,46,62,54,,,,,,,,82
104,09/03/22 03:30:00,47,34,38,,-888.88,37,43,44,,,,,,,,73
105,09/03/22 04:00:00,48,31,41,,-888.88,37,36,27,,,,,,,,56
106,09/03/22 04:30:00,38,21,28,,-888.88,23,38,24,,,,,,,,34
107,09/03/22 05:00:00,17,16,18,,-888.88,14,17,14,,,,,,,,21
108,09/03/22 05:30:00,3,4,4,,-888.88,3,6,4,,,,,,,,7
109,09/03/22 06:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,2
110,09/03/22 06:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
111,09/03/22 07:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
112,09/03/22 07:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
113,09/03/22 08:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
114,09/03/22 08:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
115,09/03/22 09:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
116,09/03/22 09:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
117,09/03/22 10:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
118,09/03/22 10:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
119,09/03/22 11:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
120,09/03/22 11:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
121,09/03/22 12:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
122,09/03/22 12:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
123,09/03/22 13:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
124,09/03/22 13:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
125,09/03/22 14:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
126,09/03/22 14:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
127,09/03/22 15:00:00,1,1,1,,-888.88,1,1,2,,,,,,,,2
128,09/03/22 15:30:00,3,1,1,,-888.88,1,1,2,,,,,,,,6
129,09/03/22 16:00:00,4,2,2,,-888.88,1,2,4,,,,,,,,11
130,09/03/22 16:30:00,16,6,4,,-888.88,4,4,16,,,,,,,,21
131,09/03/22 17:00:00,48,23,13,,-888.88,18,14,31,,,,,,,,48
132,09/03/22 17:30:00,72,63,31,,-888.88,34,33,68,,,,,,,,87
133,09/03/22 18:00:00,96,76,49,,-888.88,51,52,103,,,,,,,,99
134,09/03/22 18:30:00,67,53,39,,-888.88,36,44,68,,,,,,,,37
135,09/03/22 19:00:00,137,61,49,,-888.88,49,52,94,,,,,,,,81
136,09/03/22 19:30:00,82,73,47,,-888.88,57,58,83,,,,,,,,126
137,09/03/22 20:00:00,109,68,43,,-888.88,56,58,114,,,,,,,,128
138,09/03/22 20:30:00,153,104,66,,-888.88,88,87,164,,,,,,,,158
139,09/03/22 21:00:00,144,99,67,,-888.88,88,82,121,,,,,,,,178
140,09/03/22 21:30:00,181,113,79,,-888.88,118,102,148,,,,,,,,227
141,09/03/22 22:00:00,234,163,83,,-888.88,188,134,216,,,,,,,,241
142,09/03/22 22:30:00,309,164,73,,-888.88,256,149,217,,,,,,,,343
143,09/03/22 23:00:00,201,118,61,,-888.88,262,151,154,,,,,,,,211
144,09/03/22 23:30:00,206,116,82,,-888.88,169,139,171,,,,,,,,248
145,09/04/22 00:00:00,184,107,81,,-888.88,189,163,141,,,,,,,,238
146,09/04/22 00:30:00,572,102,77,,-888.88,393,259,161,,,,,,,,379
147,09/04/22 01:00:00,404,84,63,,-888.88,574,257,136,,,,,,,,372
148,09/04/22 01:30:00,132,69,67,,-888.88,191,137,101,,,,,,,,169
149,09/04/22 02:00:00,122,69,67,,-888.88,92,87,93,,,,,,,,381
150,09/04/22 02:30:00,132,64,98,,-888.88,267,151,59,,,,,,,,207
151,09/04/22 03:00:00,62,39,59,,-888.88,71,74,53,,,,,,,,102
152,09/04/22 03:30:00,39,36,42,,-888.88,39,53,41,,,,,,,,64
153,09/04/22 04:00:00,34,24,24,,-888.88,22,29,29,,,,,,,,47
154,09/04/22 04:30:00,18,14,14,,-888.88,12,17,14,,,,,,,,22
155,09/04/22 05:00:00,7,6,6,,-888.88,4,7,6,,,,,,,,11
156,09/04/22 05:30:00,1,2,2,,-888.88,1,2,1,,,,,,,,3
157,09/04/22 06:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
158,09/04/22 06:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
159,09/04/22 07:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
160,09/04/22 07:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
161,09/04/22 08:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
162,09/04/22 08:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
163,09/04/22 09:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
164,09/04/22 09:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
165,09/04/22 10:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
166,09/04/22 10:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
167,09/04/22 11:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
168,09/04/22 11:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
169,09/04/22 12:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
170,09/04/22 12:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
171,09/04/22 13:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
172,09/04/22 13:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
173,09/04/22 14:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
174,09/04/22 14:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
175,09/04/22 15:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
176,09/04/22 15:30:00,9,1,1,,-888.88,1,1,6,,,,,,,,6
177,09/04/22 16:00:00,16,12,11,,-888.88,9,12,13,,,,,,,,33
178,09/04/22 16:30:00,11,8,8,,-888.88,6,9,8,,,,,,,,12
179,09/04/22 17:00:00,27,7,7,,-888.88,6,7,11,,,,,,,,16
180,09/04/22 17:30:00,39,34,28,,-888.88,22,24,21,,,,,,,,76
181,09/04/22 18:00:00,49,49,37,,-888.88,33,37,37,,,,,,,,73
182,09/04/22 18:30:00,57,39,34,,-888.88,33,38,98,,,,,,,,81
183,09/04/22 19:00:00,78,51,43,,-888.88,42,51,72,,,,,,,,117
184,09/04/22 19:30:00,78,62,53,,-888.88,52,58,79,,,,,,,,103
185,09/04/22 20:00:00,98,69,59,,-888.88,57,69,91,,,,,,,,128
186,09/04/22 20:30:00,179,82,66,,-888.88,72,74,124,,,,,,,,139
187,09/04/22 21:00:00,77,231,47,,-888.88,232,73,673,,,,,,,,93
188,09/04/22 21:30:00,249,287,49,,-888.88,308,89,251,,,,,,,,199
189,09/04/22 22:00:00,323,209,51,,-888.88,264,91,136,,,,,,,,279
190,09/04/22 22:30:00,89,127,51,,-888.88,348,94,224,,,,,,,,637
191,09/04/22 23:00:00,132,63,36,,-888.88,196,134,151,,,,,,,,389
192,09/04/22 23:30:00,343,89,57,,-888.88,402,248,179,,,,,,,,132
193,09/05/22 00:00:00,167,89,66,,-888.88,252,161,89,,,,,,,,268
194,09/05/22 00:30:00,252,88,74,,-888.88,354,166,139,,,,,,,,518
195,09/05/22 01:00:00,324,67,61,,-888.88,193,129,111,,,,,,,,154
196,09/05/22 01:30:00,333,59,73,,-888.88,232,114,113,,,,,,,,488
197,09/05/22 02:00:00,106,59,73,,-888.88,217,103,77,,,,,,,,192
198,09/05/22 02:30:00,143,56,61,,-888.88,74,72,73,,,,,,,,132
199,09/05/22 03:00:00,43,27,47,,-888.88,204,188,19,,,,,,,,229
200,09/05/22 03:30:00,38,19,102,,-888.88,186,159,39,,,,,,,,82
201,09/05/22 04:00:00,17,16,118,,-888.88,72,134,13,,,,,,,,127
202,09/05/22 04:30:00,13,9,117,,-888.88,34,106,11,,,,,,,,61
203,09/05/22 05:00:00,9,8,76,,-888.88,14,58,8,,,,,,,,23
204,09/05/22 05:30:00,6,4,48,,-888.88,6,27,4,,,,,,,,11
205,09/05/22 06:00:00,2,2,8,,-888.88,2,6,2,,,,,,,,3
206,09/05/22 06:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
207,09/05/22 07:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
208,09/05/22 07:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
209,09/05/22 08:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
210,09/05/22 08:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
211,09/05/22 09:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
212,09/05/22 09:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
213,09/05/22 10:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
214,09/05/22 10:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
215,09/05/22 11:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
216,09/05/22 11:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
217,09/05/22 12:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
218,09/05/22 12:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
219,09/05/22 13:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
220,09/05/22 13:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
221,09/05/22 14:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
222,09/05/22 14:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
223,09/05/22 15:00:00,2,1,1,,-888.88,1,1,2,,,,,,,,2
224,09/05/22 15:30:00,4,2,2,,-888.88,1,2,4,,,,,,,,11
225,09/05/22 16:00:00,28,8,6,,-888.88,4,4,16,,,,,,,,17
226,09/05/22 16:30:00,53,32,18,,-888.88,13,16,48,,,,,,,,28
227,09/05/22 17:00:00,72,36,24,,-888.88,19,22,32,,,,,,,,43
228,09/05/22 17:30:00,126,69,34,,-888.88,34,38,301,,,,,,,,49
229,09/05/22 18:00:00,157,112,39,,-888.88,44,63,404,,,,,,,,86
230,09/05/22 18:30:00,143,223,56,,-888.88,69,52,64,,,,,,,,76
231,09/05/22 19:00:00,108,133,56,,-888.88,59,71,88,,,,,,,,117
232,09/05/22 19:30:00,86,66,54,,-888.88,49,61,98,,,,,,,,126
233,09/05/22 20:00:00,131,82,62,,-888.88,67,78,153,,,,,,,,176
234,09/05/22 20:30:00,131,109,72,,-888.88,89,92,133,,,,,,,,157
235,09/05/22 21:00:00,136,83,71,,-888.88,73,87,133,,,,,,,,178
236,09/05/22 21:30:00,143,131,79,,-888.88,121,114,137,,,,,,,,184
237,09/05/22 22:00:00,133,86,68,,-888.88,82,89,93,,,,,,,,212
238,09/05/22 22:30:00,157,98,81,,-888.88,102,97,127,,,,,,,,177
239,09/05/22 23:00:00,164,103,88,,-888.88,107,106,156,,,,,,,,244
240,09/05/22 23:30:00,196,89,68,,-888.88,113,94,108,,,,,,,,219
241,09/06/22 00:00:00,149,112,87,,-888.88,328,194,83,,,,,,,,289
242,09/06/22 00:30:00,576,103,86,,-888.88,371,134,129,,,,,,,,192
243,09/06/22 01:00:00,142,78,81,,-888.88,223,116,118,,,,,,,,187
244,09/06/22 01:30:00,172,69,74,,-888.88,174,117,77,,,,,,,,186
245,09/06/22 02:00:00,123,63,78,,-888.88,119,109,123,,,,,,,,114
246,09/06/22 02:30:00,114,42,58,,-888.88,116,82,33,,,,,,,,98
247,09/06/22 03:00:00,59,42,56,,-888.88,51,64,56,,,,,,,,82
248,09/06/22 03:30:00,43,29,36,,-888.88,33,43,33,,,,,,,,63
249,09/06/22 04:00:00,16,14,19,,-888.88,18,21,16,,,,,,,,51
250,09/06/22 04:30:00,9,6,8,,-888.88,6,9,7,,,,,,,,13
251,09/06/22 05:00:00,9,4,9,,-888.88,7,9,6,,,,,,,,19
252,09/06/22 05:30:00,7,4,18,,-888.88,7,14,4,,,,,,,,11
253,09/06/22 06:00:00,1,1,6,,-888.88,2,4,1,,,,,,,,2
254,09/06/22 06:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
255,09/06/22 07:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
256,09/06/22 07:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
257,09/06/22 08:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
258,09/06/22 08:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
259,09/06/22 09:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
260,09/06/22 09:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
261,09/06/22 10:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
262,09/06/22 10:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
263,09/06/22 11:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
264,09/06/22 11:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
265,09/06/22 12:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
266,09/06/22 12:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
267,09/06/22 13:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
268,09/06/22 13:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
269,09/06/22 14:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
270,09/06/22 14:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
271,09/06/22 15:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,2
272,09/06/22 15:30:00,9,2,2,,-888.88,2,2,4,,,,,,,,6
273,09/06/22 16:00:00,22,9,9,,-888.88,8,9,17,,,,,,,,37
274,09/06/22 16:30:00,33,22,21,,-888.88,18,23,37,,,,,,,,71
275,09/06/22 17:00:00,26,16,16,,-888.88,12,19,22,,,,,,,,52
276,09/06/22 17:30:00,71,26,24,,-888.88,23,26,54,,,,,,,,64
277,09/06/22 18:00:00,109,83,59,,-888.88,53,56,72,,,,,,,,91
278,09/06/22 18:30:00,83,64,51,,-888.88,48,56,72,,,,,,,,273
279,09/06/22 19:00:00,169,117,69,,-888.88,81,74,148,,,,,,,,99
280,09/06/22 19:30:00,126,141,54,,-888.88,93,78,182,,,,,,,,211
281,09/06/22 20:00:00,136,109,54,,-888.88,86,71,149,,,,,,,,146
282,09/06/22 20:30:00,169,153,83,,-888.88,139,111,147,,,,,,,,249
283,09/06/22 21:00:00,143,136,76,,-888.88,129,113,127,,,,,,,,219
284,09/06/22 21:30:00,114,84,61,,-888.88,86,83,93,,,,,,,,263
285,09/06/22 22:00:00,152,122,78,,-888.88,131,116,271,,,,,,,,309
286,09/06/22 22:30:00,242,127,76,,-888.88,182,137,168,,,,,,,,194
287,09/06/22 23:00:00,237,79,37,,-888.88,348,134,161,,,,,,,,438
288,09/06/22 23:30:00,399,44,26,,-888.88,534,288,38,,,,,,,,442
289,09/07/22 00:00:00,378,22,19,,-888.88,559,349,31,,,,,,,,421
290,09/07/22 00:30:00,396,21,19,,-888.88,537,327,27,,,,,,,,392
291,09/07/22 01:00:00,347,19,18,,-888.88,509,63,23,,,,,,,,358
292,09/07/22 01:30:00,91,18,18,,-888.88,471,22,21,,,,,,,,318
293,09/07/22 02:00:00,32,17,18,,-888.88,417,21,18,,,,,,,,254
294,09/07/22 02:30:00,26,16,19,,-888.88,319,156,17,,,,,,,,238
295,09/07/22 03:00:00,21,14,21,,-888.88,248,209,16,,,,,,,,189
296,09/07/22 03:30:00,17,12,119,,-888.88,216,169,13,,,,,,,,144
297,09/07/22 04:00:00,16,11,116,,-888.88,72,123,19,,,,,,,,103
298,09/07/22 04:30:00,19,11,71,,-888.88,29,51,14,,,,,,,,31
299,09/07/22 05:00:00,12,8,19,,-888.88,12,24,8,,,,,,,,22
300,09/07/22 05:30:00,4,4,9,,-888.88,4,9,4,,,,,,,,8
301,09/07/22 06:00:00,1,1,2,,-888.88,1,2,1,,,,,,,,3
302,09/07/22 06:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
303,09/07/22 07:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
304,09/07/22 07:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
305,09/07/22 08:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
306,09/07/22 08:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
307,09/07/22 09:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
308,09/07/22 09:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
309,09/07/22 10:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
310,09/07/22 10:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
311,09/07/22 11:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
312,09/07/22 11:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
313,09/07/22 12:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
314,09/07/22 12:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
315,09/07/22 13:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
316,09/07/22 13:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
317,09/07/22 14:00:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
318,09/07/22 14:30:00,1,1,1,,-888.88,1,1,1,,,,,,,,1
319,09/07/22 15:00:00,2,1,1,,-888.88,1,1,2,,,,,,,,2
320,09/07/22 15:30:00,6,4,2,,-888.88,1,2,7,,,,,,,,7
321,09/07/22 16:00:00,18,14,8,,-888.88,4,7,19,,,,,,,,21
322,09/07/22 16:30:00,33,22,17,,-888.88,12,14,33,,,,,,,,33
323,09/07/22 17:00:00,52,38,26,,-888.88,18,22,62,,,,,,,,66
324,09/07/22 17:30:00,68,57,28,,-888.88,24,26,87,,,,,,,,73
325,09/07/22 18:00:00,282,111,17,,-888.88,31,18,336,,,,,,,,117
