Line#,Date,"Wind Speed (RXW-WCF 21198259:21398712-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398709-1),m/s,RX3000_BRW1_TNHA","Wind Speed (S-WSB 21198259:21176861-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21206909-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398716-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21181033-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398715-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (RXW-WCF 21401801:21398711-1),m/s,RX3000_BRW4_SSMH","Wind Speed (S-WSB 21401801:21350901-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_Hospital","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_Hospital","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_SSMH","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_Hospital","Wind Speed (S-WSB 21401803:21350915-1),m/s,RX3000_BRW6_BEO","Wind Speed (S-WSB 21401803:21350915-1),m/s,RX3000_BRW6","Wind Speed (S-WSB 21401803:21350901-1),m/s,RX3000_BRW6"
32,04/10/25 10:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,
33,04/10/25 10:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,
34,04/10/25 11:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,
35,04/10/25 11:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,
36,04/10/25 12:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,
37,04/10/25 12:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,
38,04/10/25 13:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,
39,04/10/25 13:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,
40,04/10/25 14:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,
41,04/10/25 14:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,
42,04/10/25 15:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,
43,04/10/25 15:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,
44,04/10/25 16:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,
45,04/10/25 17:00:00 +0000,,,,,,,,0,,,,0,,,,,,,,,
