Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398619-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6_BEO"
2269,08/11/24 07:40:00,,,,,,,,,,3
2270,08/11/24 08:00:00,2,1,,3,1,2,2,3,3,
2271,08/11/24 08:40:00,,,,,,,,,,1
2272,08/11/24 09:00:00,1,1,,1,1,1,1,1,1,
2273,08/11/24 09:40:00,,,,,,,,,,1
2274,08/11/24 10:00:00,1,1,,1,1,1,1,1,1,
2275,08/11/24 10:40:00,,,,,,,,,,1
2276,08/11/24 11:00:00,1,1,,1,1,1,1,1,1,
2277,08/11/24 11:40:00,,,,,,,,,,1
2278,08/11/24 12:00:00,1,1,,1,1,1,1,1,1,
2279,08/11/24 12:40:00,,,,,,,,,,1
2280,08/11/24 13:00:00,1,1,,1,1,1,1,1,1,
2281,08/11/24 13:40:00,,,,,,,,,,7
2282,08/11/24 14:00:00,6,1,,3,1,2,8,3,4,
2283,08/11/24 14:40:00,,,,,,,,,,12
2284,08/11/24 15:00:00,31,9,,17,8,11,28,14,16,
2285,08/11/24 15:40:00,,,,,,,,,,76
2286,08/11/24 16:00:00,68,31,,41,18,23,58,38,41,
2287,08/11/24 16:40:00,,,,,,,,,,81
2288,08/11/24 17:00:00,68,108,,83,42,39,64,62,66,
2289,08/11/24 17:40:00,,,,,,,,,,122
2290,08/11/24 18:00:00,98,73,,94,53,63,111,89,101,
2291,08/11/24 18:40:00,,,,,,,,,,134
2292,08/11/24 19:00:00,114,74,,113,66,73,104,93,107,
2293,08/11/24 19:40:00,,,,,,,,,,191
2294,08/11/24 20:00:00,153,88,,133,78,87,173,108,126,
2295,08/11/24 20:40:00,,,,,,,,,,176
2296,08/11/24 21:00:00,131,92,,149,91,101,129,124,146,
2297,08/11/24 21:40:00,,,,,,,,,,276
2298,08/11/24 22:00:00,213,103,,167,101,122,196,148,174,
2299,08/11/24 22:40:00,,,,,,,,,,788
2300,08/11/24 23:00:00,173,147,,352,437,247,151,177,362,
2301,08/11/24 23:40:00,,,,,,,,,,346
2302,08/12/24 00:00:00,129,106,,319,403,322,51,147,432,
2303,08/12/24 00:40:00,,,,,,,,,,576
2304,08/12/24 01:00:00,479,52,,171,201,364,32,304,433,
2305,08/12/24 01:40:00,,,,,,,,,,452
2306,08/12/24 02:00:00,389,19,,346,539,423,34,158,452,
2307,08/12/24 02:40:00,,,,,,,,,,216
2308,08/12/24 03:00:00,152,22,,329,402,324,31,44,333,
2309,08/12/24 03:40:00,,,,,,,,,,222
2310,08/12/24 04:00:00,83,33,,188,124,169,51,86,117,
2311,08/12/24 04:40:00,,,,,,,,,,163
2312,08/12/24 05:00:00,43,21,,139,51,118,34,72,61,
2313,08/12/24 05:40:00,,,,,,,,,,41
2314,08/12/24 06:00:00,7,13,,44,17,41,8,33,27,
2315,08/12/24 06:40:00,,,,,,,,,,11
2316,08/12/24 07:00:00,14,8,,29,8,17,9,16,13,
2317,08/12/24 07:40:00,,,,,,,,,,6
2318,08/12/24 08:00:00,2,2,,13,2,8,1,7,6,
2319,08/12/24 08:40:00,,,,,,,,,,1
2320,08/12/24 09:00:00,1,1,,1,1,1,1,1,1,
2321,08/12/24 09:40:00,,,,,,,,,,1
2322,08/12/24 10:00:00,1,1,,1,1,1,1,1,1,
2323,08/12/24 10:40:00,,,,,,,,,,1
2324,08/12/24 11:00:00,1,1,,1,1,1,1,1,1,
2325,08/12/24 11:40:00,,,,,,,,,,1
2326,08/12/24 12:00:00,1,1,,1,1,1,1,1,1,
2327,08/12/24 12:40:00,,,,,,,,,,3
2328,08/12/24 13:00:00,2,1,,1,1,1,2,1,1,
2329,08/12/24 13:40:00,,,,,,,,,,1
2330,08/12/24 14:00:00,2,1,,1,1,1,2,1,1,
2331,08/12/24 14:40:00,,,,,,,,,,19
2332,08/12/24 15:00:00,18,4,,9,4,7,17,8,9,
2333,08/12/24 15:40:00,,,,,,,,,,26
2334,08/12/24 16:00:00,11,9,,16,8,11,8,14,16,
2335,08/12/24 16:40:00,,,,,,,,,,172
2336,08/12/24 17:00:00,294,96,,64,31,33,423,93,86,
2337,08/12/24 17:40:00,,,,,,,,,,191
2338,08/12/24 18:00:00,99,149,,129,68,69,106,162,166,
2339,08/12/24 18:40:00,,,,,,,,,,178
2340,08/12/24 19:00:00,153,131,,152,86,87,168,149,159,
2341,08/12/24 19:40:00,,,,,,,,,,147
2342,08/12/24 20:00:00,103,76,,121,68,82,116,106,117,
2343,08/12/24 20:40:00,,,,,,,,,,169
2344,08/12/24 21:00:00,251,152,,193,137,124,228,174,206,
2345,08/12/24 21:40:00,,,,,,,,,,233
2346,08/12/24 22:00:00,126,234,,256,244,199,126,197,304,
2347,08/12/24 22:40:00,,,,,,,,,,203
2348,08/12/24 23:00:00,199,98,,161,97,109,192,133,154,
2349,08/12/24 23:40:00,,,,,,,,,,242
2350,08/13/24 00:00:00,139,117,,196,131,134,157,158,191,
2351,08/13/24 00:40:00,,,,,,,,,,438
2352,08/13/24 01:00:00,261,118,,247,207,179,219,189,239,
2353,08/13/24 01:40:00,,,,,,,,,,94
2354,08/13/24 02:00:00,46,56,,98,63,72,41,81,98,
2355,08/13/24 02:40:00,,,,,,,,,,37
2356,08/13/24 03:00:00,16,22,,34,21,24,11,29,34,
2357,08/13/24 03:40:00,,,,,,,,,,21
2358,08/13/24 04:00:00,23,9,,16,8,11,22,14,16,
2359,08/13/24 04:40:00,,,,,,,,,,33
2360,08/13/24 05:00:00,22,18,,29,17,21,18,26,29,
2361,08/13/24 05:40:00,,,,,,,,,,31
2362,08/13/24 06:00:00,18,14,,26,14,17,17,22,24,
2363,08/13/24 06:40:00,,,,,,,,,,11
2364,08/13/24 07:00:00,7,6,,11,6,7,4,8,9,
2365,08/13/24 07:40:00,,,,,,,,,,1
2366,08/13/24 08:00:00,1,1,,1,1,1,1,1,1,
2367,08/13/24 08:40:00,,,,,,,,,,1
2368,08/13/24 09:00:00,1,1,,1,1,1,1,1,1,
2369,08/13/24 09:40:00,,,,,,,,,,1
2370,08/13/24 10:00:00,1,1,,1,1,1,1,1,1,
2371,08/13/24 10:40:00,,,,,,,,,,1
2372,08/13/24 11:00:00,1,1,,1,1,1,1,1,1,
2373,08/13/24 11:40:00,,,,,,,,,,1
2374,08/13/24 12:00:00,1,1,,1,1,1,1,1,1,
2375,08/13/24 12:40:00,,,,,,,,,,1
2376,08/13/24 13:00:00,1,1,,1,1,1,1,1,1,
2377,08/13/24 13:40:00,,,,,,,,,,6
2378,08/13/24 14:00:00,4,1,,2,1,1,4,2,2,
2379,08/13/24 14:40:00,,,,,,,,,,12
2380,08/13/24 15:00:00,11,4,,6,3,4,13,6,7,
2381,08/13/24 15:40:00,,,,,,,,,,16
2382,08/13/24 16:00:00,21,8,,14,7,9,18,12,13,
2383,08/13/24 16:40:00,,,,,,,,,,33
2384,08/13/24 17:00:00,32,17,,28,14,19,29,24,27,
2385,08/13/24 17:40:00,,,,,,,,,,83
2386,08/13/24 18:00:00,78,29,,46,27,32,73,39,44,
2387,08/13/24 18:40:00,,,,,,,,,,124
2388,08/13/24 19:00:00,92,77,,117,64,77,87,102,112,
2389,08/13/24 19:40:00,,,,,,,,,,367
2390,08/13/24 20:00:00,173,192,,186,133,89,199,191,221,
2391,08/13/24 20:40:00,,,,,,,,,,216
2392,08/13/24 21:00:00,186,113,,173,102,116,144,149,171,
2393,08/13/24 21:40:00,,,,,,,,,,218
2394,08/13/24 22:00:00,174,83,,136,78,94,178,117,133,
2395,08/13/24 22:40:00,,,,,,,,,,157
2396,08/13/24 23:00:00,78,98,,158,94,113,97,138,159,
2397,08/13/24 23:40:00,,,,,,,,,,144
2398,08/14/24 00:00:00,89,88,,148,84,106,87,127,144,
2399,08/14/24 00:40:00,,,,,,,,,,153
2400,08/14/24 01:00:00,72,54,,89,48,63,76,81,88,
2401,08/14/24 01:40:00,,,,,,,,,,34
2402,08/14/24 02:00:00,73,44,,73,39,51,64,64,71,
2403,08/14/24 02:40:00,,,,,,,,,,72
2404,08/14/24 03:00:00,38,38,,62,34,43,37,57,62,
2405,08/14/24 03:40:00,,,,,,,,,,41
2406,08/14/24 04:00:00,28,22,,36,19,24,29,33,36,
2407,08/14/24 04:40:00,,,,,,,,,,12
2408,08/14/24 05:00:00,7,7,,12,6,8,7,11,12,
2409,08/14/24 05:40:00,,,,,,,,,,9
2410,08/14/24 06:00:00,7,3,,7,3,4,6,6,7,
2411,08/14/24 06:40:00,,,,,,,,,,4
2412,08/14/24 07:00:00,1,2,,3,1,2,1,3,3,
2413,08/14/24 07:40:00,,,,,,,,,,1
2414,08/14/24 08:00:00,1,1,,1,1,1,1,1,1,
2415,08/14/24 08:40:00,,,,,,,,,,1
2416,08/14/24 09:00:00,1,1,,1,1,1,1,1,1,
2417,08/14/24 09:40:00,,,,,,,,,,1
2418,08/14/24 10:00:00,1,1,,1,1,1,1,1,1,
2419,08/14/24 10:40:00,,,,,,,,,,1
2420,08/14/24 11:00:00,1,1,,1,1,1,1,1,1,
2421,08/14/24 11:40:00,,,,,,,,,,1
2422,08/14/24 12:00:00,1,1,,1,1,1,1,1,1,
2423,08/14/24 12:40:00,,,,,,,,,,1
2424,08/14/24 13:00:00,1,1,,1,1,1,1,1,1,
2425,08/14/24 13:40:00,,,,,,,,,,4
2426,08/14/24 14:00:00,6,1,,2,1,1,4,2,3,
2427,08/14/24 14:40:00,,,,,,,,,,9
2428,08/14/24 15:00:00,7,4,,6,2,3,8,6,7,
2429,08/14/24 15:40:00,,,,,,,,,,21
2430,08/14/24 16:00:00,39,12,,21,11,14,37,18,19,
2431,08/14/24 16:40:00,,,,,,,,,,148
2432,08/14/24 17:00:00,74,51,,67,36,41,79,66,71,
2433,08/14/24 17:40:00,,,,,,,,,,92
2434,08/14/24 18:00:00,66,47,,71,39,46,68,66,71,
2435,08/14/24 18:40:00,,,,,,,,,,112
2436,08/14/24 19:00:00,89,61,,93,53,62,88,83,93,
2437,08/14/24 19:40:00,,,,,,,,,,138
2438,08/14/24 20:00:00,173,84,,116,73,73,179,102,117,
2439,08/14/24 20:40:00,,,,,,,,,,198
2440,08/14/24 21:00:00,116,86,,137,79,91,104,113,127,
2441,08/14/24 21:40:00,,,,,,,,,,109
2442,08/14/24 22:00:00,158,69,,116,67,76,92,93,103,
2443,08/14/24 22:40:00,,,,,,,,,,126
2444,08/14/24 23:00:00,173,74,,124,74,84,168,103,119,
2445,08/14/24 23:40:00,,,,,,,,,,118
2446,08/15/24 00:00:00,233,123,,241,209,162,202,154,224,
2447,08/15/24 00:40:00,,,,,,,,,,278
2448,08/15/24 01:00:00,266,116,,251,231,191,178,166,253,
2449,08/15/24 01:40:00,,,,,,,,,,187
2450,08/15/24 02:00:00,182,94,,219,182,164,128,139,212,
2451,08/15/24 02:40:00,,,,,,,,,,356
2452,08/15/24 03:00:00,31,38,,328,379,318,22,58,338,
2453,08/15/24 03:40:00,,,,,,,,,,243
2454,08/15/24 04:00:00,26,17,,278,219,287,19,84,54,
2455,08/15/24 04:40:00,,,,,,,,,,146
2456,08/15/24 05:00:00,18,14,,217,36,202,14,99,23,
2457,08/15/24 05:40:00,,,,,,,,,,54
2458,08/15/24 06:00:00,13,11,,94,16,123,12,76,16,
2459,08/15/24 06:40:00,,,,,,,,,,14
2460,08/15/24 07:00:00,7,8,,76,8,51,6,36,9,
2461,08/15/24 07:40:00,,,,,,,,,,3
2462,08/15/24 08:00:00,1,2,,11,2,4,1,6,4,
2463,08/15/24 08:40:00,,,,,,,,,,1
2464,08/15/24 09:00:00,1,1,,1,1,1,1,1,1,
2465,08/15/24 09:40:00,,,,,,,,,,1
2466,08/15/24 10:00:00,1,1,,1,1,1,1,1,1,
2467,08/15/24 10:40:00,,,,,,,,,,1
2468,08/15/24 11:00:00,1,1,,1,1,1,1,1,1,
2469,08/15/24 11:40:00,,,,,,,,,,1
2470,08/15/24 12:00:00,1,1,,1,1,1,1,1,1,
2471,08/15/24 12:40:00,,,,,,,,,,2
2472,08/15/24 13:00:00,2,1,,1,1,1,2,1,1,
2473,08/15/24 13:40:00,,,,,,,,,,6
2474,08/15/24 14:00:00,8,4,,6,1,2,11,6,4,
2475,08/15/24 14:40:00,,,,,,,,,,41
2476,08/15/24 15:00:00,31,32,,19,8,9,41,32,19,
2477,08/15/24 15:40:00,,,,,,,,,,159
2478,08/15/24 16:00:00,56,66,,44,22,24,53,68,62,
2479,08/15/24 16:40:00,,,,,,,,,,68
2480,08/15/24 17:00:00,53,26,,41,22,27,31,36,39,
2481,08/15/24 17:40:00,,,,,,,,,,232
2482,08/15/24 18:00:00,72,38,,58,34,38,106,53,58,
2483,08/15/24 18:40:00,,,,,,,,,,114
2484,08/15/24 19:00:00,76,47,,73,42,51,72,68,76,
2485,08/15/24 19:40:00,,,,,,,,,,153
2486,08/15/24 20:00:00,131,52,,86,47,58,112,74,79,
2487,08/15/24 20:40:00,,,,,,,,,,231
2488,08/15/24 21:00:00,146,71,,116,66,81,94,104,114,
2489,08/15/24 21:40:00,,,,,,,,,,441
2490,08/15/24 22:00:00,286,164,,227,186,154,351,181,239,
2491,08/15/24 22:40:00,,,,,,,,,,648
2492,08/15/24 23:00:00,358,178,,354,453,323,203,161,466,
2493,08/15/24 23:40:00,,,,,,,,,,731
2494,08/16/24 00:00:00,506,76,,403,602,417,54,172,527,
2495,08/16/24 00:40:00,,,,,,,,,,317
2496,08/16/24 01:00:00,539,36,,414,669,441,87,314,494,
2497,08/16/24 01:40:00,,,,,,,,,,143
2498,08/16/24 02:00:00,153,59,,277,371,253,116,177,302,
2499,08/16/24 02:40:00,,,,,,,,,,63
2500,08/16/24 03:00:00,51,47,,89,49,63,51,71,81,
2501,08/16/24 03:40:00,,,,,,,,,,146
2502,08/16/24 04:00:00,52,38,,148,76,128,38,99,82,
2503,08/16/24 04:40:00,,,,,,,,,,129
2504,08/16/24 05:00:00,64,38,,113,61,98,51,77,77,
2505,08/16/24 05:40:00,,,,,,,,,,29
2506,08/16/24 06:00:00,14,18,,36,18,27,12,29,32,
2507,08/16/24 06:40:00,,,,,,,,,,8
2508,08/16/24 07:00:00,4,4,,9,4,6,4,8,9,
2509,08/16/24 07:40:00,,,,,,,,,,1
2510,08/16/24 08:00:00,1,2,,4,2,2,1,3,3,
2511,08/16/24 08:40:00,,,,,,,,,,1
2512,08/16/24 09:00:00,1,1,,1,1,1,1,1,1,
2513,08/16/24 09:40:00,,,,,,,,,,1
2514,08/16/24 10:00:00,1,1,,1,1,1,1,1,1,
2515,08/16/24 10:40:00,,,,,,,,,,1
2516,08/16/24 11:00:00,1,1,,1,1,1,1,1,1,
2517,08/16/24 11:40:00,,,,,,,,,,1
2518,08/16/24 12:00:00,1,1,,1,1,1,1,1,1,
2519,08/16/24 12:40:00,,,,,,,,,,1
2520,08/16/24 13:00:00,1,1,,1,1,1,1,1,1,
2521,08/16/24 13:40:00,,,,,,,,,,2
2522,08/16/24 14:00:00,2,1,,2,1,1,2,2,2,
2523,08/16/24 14:40:00,,,,,,,,,,8
2524,08/16/24 15:00:00,8,2,,6,2,3,6,4,6,
2525,08/16/24 15:40:00,,,,,,,,,,24
2526,08/16/24 16:00:00,14,6,,12,6,8,13,11,12,
2527,08/16/24 16:40:00,,,,,,,,,,23
2528,08/16/24 17:00:00,27,16,,28,14,19,33,24,27,
2529,08/16/24 17:40:00,,,,,,,,,,46
2530,08/16/24 18:00:00,36,24,,41,21,28,34,36,41,
2531,08/16/24 18:40:00,,,,,,,,,,114
2532,08/16/24 19:00:00,77,47,,69,38,48,79,64,72,
2533,08/16/24 19:40:00,,,,,,,,,,99
2534,08/16/24 20:00:00,99,53,,88,48,63,94,76,86,
2535,08/16/24 20:40:00,,,,,,,,,,106
2536,08/16/24 21:00:00,63,58,,93,51,79,72,98,113,
2537,08/16/24 21:40:00,,,,,,,,,,103
2538,08/16/24 22:00:00,89,73,,122,69,86,83,104,119,
2539,08/16/24 22:40:00,,,,,,,,,,247
2540,08/16/24 23:00:00,68,88,,137,81,104,79,126,153,
2541,08/16/24 23:40:00,,,,,,,,,,129
2542,08/17/24 00:00:00,88,58,,97,54,68,74,81,96,
2543,08/17/24 00:40:00,,,,,,,,,,143
2544,08/17/24 01:00:00,114,72,,122,69,82,118,97,113,
2545,08/17/24 01:40:00,,,,,,,,,,129
2546,08/17/24 02:00:00,81,68,,121,72,84,79,93,111,
2547,08/17/24 02:40:00,,,,,,,,,,144
2548,08/17/24 03:00:00,84,63,,114,74,81,72,87,107,
2549,08/17/24 03:40:00,,,,,,,,,,188
2550,08/17/24 04:00:00,34,53,,97,56,67,41,77,88,
2551,08/17/24 04:40:00,,,,,,,,,,43
2552,08/17/24 05:00:00,34,26,,46,26,31,38,38,41,
2553,08/17/24 05:40:00,,,,,,,,,,31
2554,08/17/24 06:00:00,11,13,,23,12,18,11,22,24,
2555,08/17/24 06:40:00,,,,,,,,,,17
2556,08/17/24 07:00:00,7,6,,12,6,8,8,11,11,
2557,08/17/24 07:40:00,,,,,,,,,,2
2558,08/17/24 08:00:00,1,1,,2,1,2,1,2,2,
2559,08/17/24 08:40:00,,,,,,,,,,1
2560,08/17/24 09:00:00,1,1,,1,1,1,1,1,1,
2561,08/17/24 09:40:00,,,,,,,,,,1
2562,08/17/24 10:00:00,1,1,,1,1,1,1,1,1,
2563,08/17/24 10:40:00,,,,,,,,,,1
2564,08/17/24 11:00:00,1,1,,1,1,1,1,1,1,
2565,08/17/24 11:40:00,,,,,,,,,,1
2566,08/17/24 12:00:00,1,1,,1,1,1,1,1,1,
2567,08/17/24 12:40:00,,,,,,,,,,1
2568,08/17/24 13:00:00,1,1,,1,1,1,1,1,1,
2569,08/17/24 13:40:00,,,,,,,,,,6
2570,08/17/24 14:00:00,2,1,,2,1,1,3,2,2,
2571,08/17/24 14:40:00,,,,,,,,,,24
2572,08/17/24 15:00:00,13,6,,9,4,6,14,8,9,
2573,08/17/24 15:40:00,,,,,,,,,,51
2574,08/17/24 16:00:00,23,19,,27,14,17,29,28,29,
2575,08/17/24 16:40:00,,,,,,,,,,142
2576,08/17/24 17:00:00,94,38,,51,27,29,53,48,49,
2577,08/17/24 17:40:00,,,,,,,,,,132
2578,08/17/24 18:00:00,64,73,,86,47,56,58,92,99,
2579,08/17/24 18:40:00,,,,,,,,,,291
2580,08/17/24 19:00:00,66,167,,112,59,61,78,149,168,
2581,08/17/24 19:40:00,,,,,,,,,,148
2582,08/17/24 20:00:00,172,59,,92,53,63,164,82,88,
2583,08/17/24 20:40:00,,,,,,,,,,486
2584,08/17/24 21:00:00,256,213,,216,191,113,282,212,262,
2585,08/17/24 21:40:00,,,,,,,,,,403
2586,08/17/24 22:00:00,161,266,,281,292,193,164,193,333,
2587,08/17/24 22:40:00,,,,,,,,,,329
2588,08/17/24 23:00:00,294,143,,282,313,236,247,164,332,
2589,08/17/24 23:40:00,,,,,,,,,,639
2590,08/18/24 00:00:00,317,88,,378,557,392,56,189,489,
2591,08/18/24 00:40:00,,,,,,,,,,527
2592,08/18/24 01:00:00,258,42,,383,598,412,78,267,464,
2593,08/18/24 01:40:00,,,,,,,,,,268
2594,08/18/24 02:00:00,226,81,,239,233,188,88,134,237,
2595,08/18/24 02:40:00,,,,,,,,,,123
2596,08/18/24 03:00:00,126,62,,122,82,96,94,92,121,
2597,08/18/24 03:40:00,,,,,,,,,,113
2598,08/18/24 04:00:00,71,49,,103,62,77,61,77,93,
2599,08/18/24 04:40:00,,,,,,,,,,111
2600,08/18/24 05:00:00,57,37,,102,52,87,46,72,74,
2601,08/18/24 05:40:00,,,,,,,,,,51
2602,08/18/24 06:00:00,29,16,,57,23,51,27,37,33,
2603,08/18/24 06:40:00,,,,,,,,,,13
2604,08/18/24 07:00:00,6,7,,29,7,19,4,17,11,
2605,08/18/24 07:40:00,,,,,,,,,,4
2606,08/18/24 08:00:00,2,2,,8,2,4,2,4,4,
2607,08/18/24 08:40:00,,,,,,,,,,1
2608,08/18/24 09:00:00,1,1,,1,1,1,1,1,1,
2609,08/18/24 09:40:00,,,,,,,,,,1
2610,08/18/24 10:00:00,1,1,,1,1,1,1,1,1,
2611,08/18/24 10:40:00,,,,,,,,,,1
2612,08/18/24 11:00:00,1,1,,1,1,1,1,1,1,
2613,08/18/24 11:40:00,,,,,,,,,,1
2614,08/18/24 12:00:00,1,1,,1,1,1,1,1,1,
2615,08/18/24 12:40:00,,,,,,,,,,1
2616,08/18/24 13:00:00,1,1,,1,1,1,1,1,1,
2617,08/18/24 13:40:00,,,,,,,,,,1
2618,08/18/24 14:00:00,1,1,,1,1,1,1,1,1,
2619,08/18/24 14:40:00,,,,,,,,,,11
2620,08/18/24 15:00:00,6,1,,3,1,2,6,2,3,
2621,08/18/24 15:40:00,,,,,,,,,,19
2622,08/18/24 16:00:00,17,6,,9,4,7,12,8,9,
2623,08/18/24 16:40:00,,,,,,,,,,38
2624,08/18/24 17:00:00,19,13,,22,12,16,16,19,22,
2625,08/18/24 17:40:00,,,,,,,,,,26
2626,08/18/24 18:00:00,19,12,,19,11,14,19,17,21,
2627,08/18/24 18:40:00,,,,,,,,,,64
2628,08/18/24 19:00:00,53,26,,46,24,31,51,36,42,
2629,08/18/24 19:40:00,,,,,,,,,,119
2630,08/18/24 20:00:00,76,38,,63,36,43,68,53,62,
2631,08/18/24 20:40:00,,,,,,,,,,148
2632,08/18/24 21:00:00,107,72,,113,66,77,87,94,109,
2633,08/18/24 21:40:00,,,,,,,,,,168
2634,08/18/24 22:00:00,177,74,,123,71,87,179,104,121,
2635,08/18/24 22:40:00,,,,,,,,,,143
2636,08/18/24 23:00:00,101,88,,146,87,99,98,117,138,
2637,08/18/24 23:40:00,,,,,,,,,,123
2638,08/19/24 00:00:00,103,59,,98,57,67,104,81,93,
2639,08/19/24 00:40:00,,,,,,,,,,161
2640,08/19/24 01:00:00,69,58,,94,53,69,67,83,96,
2641,08/19/24 01:40:00,,,,,,,,,,88
2642,08/19/24 02:00:00,73,48,,79,46,56,69,67,78,
2643,08/19/24 02:40:00,,,,,,,,,,62
2644,08/19/24 03:00:00,32,24,,41,23,32,29,38,44,
2645,08/19/24 03:40:00,,,,,,,,,,29
2646,08/19/24 04:00:00,27,19,,33,18,24,29,29,34,
2647,08/19/24 04:40:00,,,,,,,,,,43
2648,08/19/24 05:00:00,19,14,,24,13,17,17,22,26,
2649,08/19/24 05:40:00,,,,,,,,,,32
2650,08/19/24 06:00:00,12,12,,21,11,14,12,17,21,
2651,08/19/24 06:40:00,,,,,,,,,,3
2652,08/19/24 07:00:00,2,1,,2,1,2,1,2,3,
2653,08/19/24 07:40:00,,,,,,,,,,1
2654,08/19/24 08:00:00,1,1,,1,1,1,1,1,1,
2655,08/19/24 08:40:00,,,,,,,,,,1
2656,08/19/24 09:00:00,1,1,,1,1,1,1,1,1,
2657,08/19/24 09:40:00,,,,,,,,,,1
2658,08/19/24 10:00:00,1,1,,1,1,1,1,1,1,
2659,08/19/24 10:40:00,,,,,,,,,,1
2660,08/19/24 11:00:00,1,1,,1,1,1,1,1,1,
2661,08/19/24 11:40:00,,,,,,,,,,1
2662,08/19/24 12:00:00,1,1,,1,1,1,1,1,1,
2663,08/19/24 12:40:00,,,,,,,,,,1
2664,08/19/24 13:00:00,1,1,,1,1,1,1,1,1,
2665,08/19/24 13:40:00,,,,,,,,,,1
2666,08/19/24 14:00:00,1,1,,1,1,1,1,1,1,
2667,08/19/24 14:40:00,,,,,,,,,,11
2668,08/19/24 15:00:00,13,2,,6,2,2,9,3,4,
2669,08/19/24 15:40:00,,,,,,,,,,37
2670,08/19/24 16:00:00,27,14,,23,12,14,27,19,22,
2671,08/19/24 16:40:00,,,,,,,,,,71
2672,08/19/24 17:00:00,52,29,,48,27,33,54,43,49,
2673,08/19/24 17:40:00,,,,,,,,,,54
2674,08/19/24 18:00:00,53,37,,52,28,32,58,43,49,
2675,08/19/24 18:40:00,,,,,,,,,,52
2676,08/19/24 19:00:00,42,32,,48,27,33,38,42,48,
2677,08/19/24 19:40:00,,,,,,,,,,82
2678,08/19/24 20:00:00,78,37,,59,33,42,67,52,61,
2679,08/19/24 20:40:00,,,,,,,,,,167
2680,08/19/24 21:00:00,96,57,,93,53,69,103,84,98,
2681,08/19/24 21:40:00,,,,,,,,,,221
2682,08/19/24 22:00:00,199,108,,167,102,122,178,142,172,
2683,08/19/24 22:40:00,,,,,,,,,,166
2684,08/19/24 23:00:00,156,102,,164,98,121,133,141,168,
2685,08/19/24 23:40:00,,,,,,,,,,187
2686,08/20/24 00:00:00,192,89,,147,86,97,139,108,127,
2687,08/20/24 00:40:00,,,,,,,,,,149
2688,08/20/24 01:00:00,81,79,,132,79,93,67,106,126,
2689,08/20/24 01:40:00,,,,,,,,,,111
2690,08/20/24 02:00:00,84,58,,98,57,64,77,76,88,
2691,08/20/24 02:40:00,,,,,,,,,,87
2692,08/20/24 03:00:00,41,42,,71,41,49,42,58,67,
2693,08/20/24 03:40:00,,,,,,,,,,118
2694,08/20/24 04:00:00,92,39,,81,47,58,67,59,68,
2695,08/20/24 04:40:00,,,,,,,,,,62
2696,08/20/24 05:00:00,32,29,,57,33,42,18,47,51,
2697,08/20/24 05:40:00,,,,,,,,,,41
2698,08/20/24 06:00:00,9,13,,27,14,21,7,21,23,
2699,08/20/24 06:40:00,,,,,,,,,,11
2700,08/20/24 07:00:00,3,3,,8,4,4,3,6,7,
2701,08/20/24 07:40:00,,,,,,,,,,1
2702,08/20/24 08:00:00,1,1,,1,1,1,1,1,1,
2703,08/20/24 08:40:00,,,,,,,,,,1
2704,08/20/24 09:00:00,1,1,,1,1,1,1,1,1,
2705,08/20/24 09:40:00,,,,,,,,,,1
2706,08/20/24 10:00:00,1,1,,1,1,1,1,1,1,
2707,08/20/24 10:40:00,,,,,,,,,,1
2708,08/20/24 11:00:00,1,1,,1,1,1,1,1,1,
2709,08/20/24 11:40:00,,,,,,,,,,1
2710,08/20/24 12:00:00,1,1,,1,1,1,1,1,1,
2711,08/20/24 12:40:00,,,,,,,,,,1
2712,08/20/24 13:00:00,1,1,,1,1,1,1,1,1,
2713,08/20/24 13:40:00,,,,,,,,,,1
2714,08/20/24 14:00:00,1,1,,1,1,1,1,1,1,
2715,08/20/24 14:40:00,,,,,,,,,,8
2716,08/20/24 15:00:00,6,2,,3,1,2,6,3,4,
2717,08/20/24 15:40:00,,,,,,,,,,17
2718,08/20/24 16:00:00,26,8,,14,7,9,26,14,16,
2719,08/20/24 16:40:00,,,,,,,,,,51
2720,08/20/24 17:00:00,44,26,,32,18,18,34,28,31,
2721,08/20/24 17:40:00,,,,,,,,,,184
2722,08/20/24 18:00:00,118,161,,113,59,54,141,172,173,
2723,08/20/24 18:40:00,,,,,,,,,,197
2724,08/20/24 19:00:00,204,157,,139,78,64,539,161,183,
2725,08/20/24 19:40:00,,,,,,,,,,227
2726,08/20/24 20:00:00,136,199,,161,98,71,174,181,242,
