Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
1,09/21/22 00:00:00,238,43,24,267,463,74,77,,,,,,,,296
2,09/21/22 00:05:00,131,36,22,149,234,64,63,,,,,,,,139
3,09/21/22 00:10:00,191,37,21,154,238,72,63,,,,,,,,144
4,09/21/22 00:15:00,158,43,24,188,281,81,64,,,,,,,,157
5,09/21/22 00:20:00,302,48,28,246,379,84,72,,,,,,,,157
6,09/21/22 00:25:00,362,53,37,281,413,89,77,,,,,,,,149
7,09/21/22 00:30:00,133,54,46,212,299,92,79,,,,,,,,144
8,09/21/22 00:35:00,113,52,47,129,132,86,77,,,,,,,,139
9,09/21/22 00:40:00,106,53,49,119,108,82,77,,,,,,,,131
10,09/21/22 00:45:00,104,53,52,117,97,81,76,,,,,,,,122
11,09/21/22 00:50:00,101,52,53,114,92,81,76,,,,,,,,116
12,09/21/22 00:55:00,93,49,52,107,79,77,71,,,,,,,,109
13,09/21/22 01:00:00,86,48,53,98,68,71,66,,,,,,,,101
14,09/21/22 01:05:00,76,46,52,87,56,63,62,,,,,,,,97
15,09/21/22 01:10:00,69,44,49,81,49,57,59,,,,,,,,91
16,09/21/22 01:15:00,64,42,47,76,44,53,56,,,,,,,,86
17,09/21/22 01:20:00,62,39,43,69,41,48,54,,,,,,,,82
18,09/21/22 01:25:00,58,38,39,66,39,46,52,,,,,,,,77
19,09/21/22 01:30:00,54,36,37,61,37,43,48,,,,,,,,71
20,09/21/22 01:35:00,53,34,34,58,37,39,46,,,,,,,,64
21,09/21/22 01:40:00,53,32,33,58,37,38,43,,,,,,,,61
22,09/21/22 01:45:00,52,32,33,57,36,38,42,,,,,,,,57
23,09/21/22 01:50:00,49,31,33,54,33,37,41,,,,,,,,56
24,09/21/22 01:55:00,47,29,33,52,31,36,39,,,,,,,,54
25,09/21/22 02:00:00,43,28,31,49,28,33,37,,,,,,,,52
26,09/21/22 02:05:00,41,26,28,47,28,32,34,,,,,,,,51
27,09/21/22 02:10:00,41,26,27,46,29,29,33,,,,,,,,52
28,09/21/22 02:15:00,39,24,26,43,29,28,31,,,,,,,,49
29,09/21/22 02:20:00,37,23,24,43,29,27,29,,,,,,,,48
30,09/21/22 02:25:00,37,22,23,42,31,27,29,,,,,,,,48
31,09/21/22 02:30:00,38,23,22,43,32,27,29,,,,,,,,46
32,09/21/22 02:35:00,38,23,23,43,32,28,29,,,,,,,,44
33,09/21/22 02:40:00,36,22,23,42,31,29,28,,,,,,,,43
34,09/21/22 02:45:00,33,21,22,39,29,27,27,,,,,,,,42
35,09/21/22 02:50:00,32,19,22,38,28,26,26,,,,,,,,41
36,09/21/22 02:55:00,29,18,21,36,26,24,24,,,,,,,,41
37,09/21/22 03:00:00,27,17,19,33,24,22,23,,,,,,,,47
38,09/21/22 03:05:00,27,16,18,32,26,22,21,,,,,,,,42
39,09/21/22 03:10:00,27,16,18,33,28,22,19,,,,,,,,41
40,09/21/22 03:15:00,28,16,18,36,29,23,19,,,,,,,,41
41,09/21/22 03:20:00,29,16,21,37,31,24,19,,,,,,,,39
42,09/21/22 03:25:00,28,14,19,36,28,24,19,,,,,,,,42
43,09/21/22 03:30:00,28,14,21,37,31,24,17,,,,,,,,47
44,09/21/22 03:35:00,26,12,22,36,27,23,17,,,,,,,,47
45,09/21/22 03:40:00,24,11,19,32,23,22,16,,,,,,,,32
46,09/21/22 03:45:00,22,9,18,28,19,21,13,,,,,,,,31
47,09/21/22 03:50:00,19,8,17,26,17,18,12,,,,,,,,31
48,09/21/22 03:55:00,17,8,17,23,14,18,12,,,,,,,,24
49,09/21/22 04:00:00,14,6,16,21,11,17,9,,,,,,,,23
50,09/21/22 04:05:00,12,6,14,18,11,14,8,,,,,,,,18
51,09/21/22 04:10:00,11,4,14,19,12,14,6,,,,,,,,16
52,09/21/22 04:15:00,9,4,12,14,8,13,6,,,,,,,,12
53,09/21/22 04:20:00,7,3,7,9,4,8,4,,,,,,,,11
54,09/21/22 04:25:00,6,2,6,7,3,7,3,,,,,,,,7
55,09/21/22 04:30:00,3,2,4,6,2,4,2,,,,,,,,6
56,09/21/22 04:35:00,2,1,2,3,1,2,2,,,,,,,,3
57,09/21/22 04:40:00,2,1,2,2,1,1,1,,,,,,,,2
58,09/21/22 04:45:00,1,1,1,1,1,1,1,,,,,,,,2
59,09/21/22 04:50:00,1,1,1,1,1,1,1,,,,,,,,2
60,09/21/22 04:55:00,1,1,1,1,1,1,1,,,,,,,,2
61,09/21/22 05:00:00,1,1,1,1,1,1,1,,,,,,,,1
62,09/21/22 05:05:00,1,1,1,1,1,1,1,,,,,,,,1
63,09/21/22 05:10:00,1,1,1,1,1,1,1,,,,,,,,1
64,09/21/22 05:15:00,1,1,1,1,1,1,1,,,,,,,,1
65,09/21/22 05:20:00,1,1,1,1,1,1,1,,,,,,,,1
66,09/21/22 05:25:00,1,1,1,1,1,1,1,,,,,,,,1
67,09/21/22 05:30:00,1,1,1,1,1,1,1,,,,,,,,1
68,09/21/22 05:35:00,1,1,1,1,1,1,1,,,,,,,,1
69,09/21/22 05:40:00,1,1,1,1,1,1,1,,,,,,,,1
70,09/21/22 05:45:00,1,1,1,1,1,1,1,,,,,,,,1
71,09/21/22 05:50:00,1,1,1,1,1,1,1,,,,,,,,1
72,09/21/22 05:55:00,1,1,1,1,1,1,1,,,,,,,,1
73,09/21/22 06:00:00,1,1,1,1,1,1,1,,,,,,,,1
74,09/21/22 06:05:00,1,1,1,1,1,1,1,,,,,,,,1
75,09/21/22 06:10:00,1,1,1,1,1,1,1,,,,,,,,1
76,09/21/22 06:15:00,1,1,1,1,1,1,1,,,,,,,,1
77,09/21/22 06:20:00,1,1,1,1,1,1,1,,,,,,,,1
78,09/21/22 06:25:00,1,1,1,1,1,1,1,,,,,,,,1
79,09/21/22 06:30:00,1,1,1,1,1,1,1,,,,,,,,1
80,09/21/22 06:35:00,1,1,1,1,1,1,1,,,,,,,,1
81,09/21/22 06:40:00,1,1,1,1,1,1,1,,,,,,,,1
82,09/21/22 06:45:00,1,1,1,1,1,1,1,,,,,,,,1
83,09/21/22 06:50:00,1,1,1,1,1,1,1,,,,,,,,1
84,09/21/22 06:55:00,1,1,1,1,1,1,1,,,,,,,,1
85,09/21/22 07:00:00,1,1,1,1,1,1,1,,,,,,,,1
86,09/21/22 07:05:00,1,1,1,1,1,1,1,,,,,,,,1
87,09/21/22 07:10:00,1,1,1,1,1,1,1,,,,,,,,1
88,09/21/22 07:15:00,1,1,1,1,1,1,1,,,,,,,,1
89,09/21/22 07:20:00,1,1,1,1,1,1,1,,,,,,,,1
90,09/21/22 07:25:00,1,1,1,1,1,1,1,,,,,,,,1
91,09/21/22 07:30:00,1,1,1,1,1,1,1,,,,,,,,1
92,09/21/22 07:35:00,1,1,1,1,1,1,1,,,,,,,,1
93,09/21/22 07:40:00,1,1,1,1,1,1,1,,,,,,,,1
94,09/21/22 07:45:00,1,1,1,1,1,1,1,,,,,,,,1
95,09/21/22 07:50:00,1,1,1,1,1,1,1,,,,,,,,1
96,09/21/22 07:55:00,1,1,1,1,1,1,1,,,,,,,,1
97,09/21/22 08:00:00,1,1,1,1,1,1,1,,,,,,,,1
98,09/21/22 08:05:00,1,1,1,1,1,1,1,,,,,,,,1
99,09/21/22 08:10:00,1,1,1,1,1,1,1,,,,,,,,1
100,09/21/22 08:15:00,1,1,1,1,1,1,1,,,,,,,,1
101,09/21/22 08:20:00,1,1,1,1,1,1,1,,,,,,,,1
102,09/21/22 08:25:00,1,1,1,1,1,1,1,,,,,,,,1
103,09/21/22 08:30:00,1,1,1,1,1,1,1,,,,,,,,1
104,09/21/22 08:35:00,1,1,1,1,1,1,1,,,,,,,,1
105,09/21/22 08:40:00,1,1,1,1,1,1,1,,,,,,,,1
106,09/21/22 08:45:00,1,1,1,1,1,1,1,,,,,,,,1
107,09/21/22 08:50:00,1,1,1,1,1,1,1,,,,,,,,1
108,09/21/22 08:55:00,1,1,1,1,1,1,1,,,,,,,,1
109,09/21/22 09:00:00,1,1,1,1,1,1,1,,,,,,,,1
110,09/21/22 09:05:00,1,1,1,1,1,1,1,,,,,,,,1
111,09/21/22 09:10:00,1,1,1,1,1,1,1,,,,,,,,1
112,09/21/22 09:15:00,1,1,1,1,1,1,1,,,,,,,,1
113,09/21/22 09:20:00,1,1,1,1,1,1,1,,,,,,,,1
114,09/21/22 09:25:00,1,1,1,1,1,1,1,,,,,,,,1
115,09/21/22 09:30:00,1,1,1,1,1,1,1,,,,,,,,1
116,09/21/22 09:35:00,1,1,1,1,1,1,1,,,,,,,,1
117,09/21/22 09:40:00,1,1,1,1,1,1,1,,,,,,,,1
118,09/21/22 09:45:00,1,1,1,1,1,1,1,,,,,,,,1
119,09/21/22 09:50:00,1,1,1,1,1,1,1,,,,,,,,1
120,09/21/22 09:55:00,1,1,1,1,1,1,1,,,,,,,,1
121,09/21/22 10:00:00,1,1,1,1,1,1,1,,,,,,,,1
122,09/21/22 10:05:00,1,1,1,1,1,1,1,,,,,,,,1
123,09/21/22 10:10:00,1,1,1,1,1,1,1,,,,,,,,1
124,09/21/22 10:15:00,1,1,1,1,1,1,1,,,,,,,,1
125,09/21/22 10:20:00,1,1,1,1,1,1,1,,,,,,,,1
126,09/21/22 10:25:00,1,1,1,1,1,1,1,,,,,,,,1
127,09/21/22 10:30:00,1,1,1,1,1,1,1,,,,,,,,1
128,09/21/22 10:35:00,1,1,1,1,1,1,1,,,,,,,,1
129,09/21/22 10:40:00,1,1,1,1,1,1,1,,,,,,,,1
130,09/21/22 10:45:00,1,1,1,1,1,1,1,,,,,,,,1
131,09/21/22 10:50:00,1,1,1,1,1,1,1,,,,,,,,1
132,09/21/22 10:55:00,1,1,1,1,1,1,1,,,,,,,,1
133,09/21/22 11:00:00,1,1,1,1,1,1,1,,,,,,,,1
134,09/21/22 11:05:00,1,1,1,1,1,1,1,,,,,,,,1
135,09/21/22 11:10:00,1,1,1,1,1,1,1,,,,,,,,1
136,09/21/22 11:15:00,1,1,1,1,1,1,1,,,,,,,,1
137,09/21/22 11:20:00,1,1,1,1,1,1,1,,,,,,,,1
138,09/21/22 11:25:00,1,1,1,1,1,1,1,,,,,,,,1
139,09/21/22 11:30:00,1,1,1,1,1,1,1,,,,,,,,1
140,09/21/22 11:35:00,1,1,1,1,1,1,1,,,,,,,,1
141,09/21/22 11:40:00,1,1,1,1,1,1,1,,,,,,,,1
142,09/21/22 11:45:00,1,1,1,1,1,1,1,,,,,,,,1
143,09/21/22 11:50:00,1,1,1,1,1,1,1,,,,,,,,1
144,09/21/22 11:55:00,1,1,1,1,1,1,1,,,,,,,,1
145,09/21/22 12:00:00,1,1,1,1,1,1,1,,,,,,,,1
146,09/21/22 12:05:00,1,1,1,1,1,1,1,,,,,,,,1
147,09/21/22 12:10:00,1,1,1,1,1,1,1,,,,,,,,1
148,09/21/22 12:15:00,1,1,1,1,1,1,1,,,,,,,,1
149,09/21/22 12:20:00,1,1,1,1,1,1,1,,,,,,,,1
150,09/21/22 12:25:00,1,1,1,1,1,1,1,,,,,,,,1
151,09/21/22 12:30:00,1,1,1,1,1,1,1,,,,,,,,1
152,09/21/22 12:35:00,1,1,1,1,1,1,1,,,,,,,,1
153,09/21/22 12:40:00,1,1,1,1,1,1,1,,,,,,,,1
154,09/21/22 12:45:00,1,1,1,1,1,1,1,,,,,,,,1
155,09/21/22 12:50:00,1,1,1,1,1,1,1,,,,,,,,1
156,09/21/22 12:55:00,1,1,1,1,1,1,1,,,,,,,,1
157,09/21/22 13:00:00,1,1,1,1,1,1,1,,,,,,,,1
158,09/21/22 13:05:00,1,1,1,1,1,1,1,,,,,,,,1
159,09/21/22 13:10:00,1,1,1,1,1,1,1,,,,,,,,1
160,09/21/22 13:15:00,1,1,1,1,1,1,1,,,,,,,,1
161,09/21/22 13:20:00,1,1,1,1,1,1,1,,,,,,,,1
162,09/21/22 13:25:00,1,1,1,1,1,1,1,,,,,,,,1
163,09/21/22 13:30:00,1,1,1,1,1,1,1,,,,,,,,1
164,09/21/22 13:35:00,1,1,1,1,1,1,1,,,,,,,,1
165,09/21/22 13:40:00,1,1,1,1,1,1,1,,,,,,,,1
166,09/21/22 13:45:00,1,1,1,1,1,1,1,,,,,,,,1
167,09/21/22 13:50:00,1,1,1,1,1,1,1,,,,,,,,1
168,09/21/22 13:55:00,1,1,1,1,1,1,1,,,,,,,,1
169,09/21/22 14:00:00,1,1,1,1,1,1,1,,,,,,,,1
170,09/21/22 14:05:00,1,1,1,1,1,1,1,,,,,,,,1
171,09/21/22 14:10:00,1,1,1,1,1,1,1,,,,,,,,1
172,09/21/22 14:15:00,1,1,1,1,1,1,1,,,,,,,,1
173,09/21/22 14:20:00,1,1,1,1,1,1,1,,,,,,,,1
174,09/21/22 14:25:00,1,1,1,1,1,1,1,,,,,,,,1
175,09/21/22 14:30:00,1,1,1,1,1,1,1,,,,,,,,1
176,09/21/22 14:35:00,1,1,1,1,1,1,1,,,,,,,,1
177,09/21/22 14:40:00,1,1,1,1,1,1,1,,,,,,,,1
178,09/21/22 14:45:00,1,1,1,1,1,1,1,,,,,,,,1
179,09/21/22 14:50:00,1,1,1,1,1,1,1,,,,,,,,1
180,09/21/22 14:55:00,1,1,1,1,1,1,1,,,,,,,,1
181,09/21/22 15:00:00,1,1,1,1,1,1,1,,,,,,,,1
182,09/21/22 15:05:00,1,1,1,1,1,1,1,,,,,,,,1
183,09/21/22 15:10:00,1,1,1,1,1,1,1,,,,,,,,1
184,09/21/22 15:15:00,1,1,1,1,1,1,1,,,,,,,,1
185,09/21/22 15:20:00,1,1,1,1,1,1,1,,,,,,,,1
186,09/21/22 15:25:00,1,1,1,1,1,1,1,,,,,,,,1
187,09/21/22 15:30:00,1,1,1,1,1,1,1,,,,,,,,1
188,09/21/22 15:35:00,1,1,1,1,1,1,1,,,,,,,,1
189,09/21/22 15:40:00,1,1,1,1,1,1,1,,,,,,,,1
190,09/21/22 15:45:00,1,1,1,1,1,1,1,,,,,,,,1
191,09/21/22 15:50:00,1,1,1,1,1,1,1,,,,,,,,1
192,09/21/22 15:55:00,1,1,1,1,1,1,1,,,,,,,,1
193,09/21/22 16:00:00,1,1,1,1,1,1,1,,,,,,,,1
194,09/21/22 16:05:00,1,1,1,1,1,1,1,,,,,,,,2
195,09/21/22 16:10:00,1,1,1,1,1,1,1,,,,,,,,2
196,09/21/22 16:15:00,1,1,1,1,1,1,1,,,,,,,,2
197,09/21/22 16:20:00,2,1,1,2,1,1,2,,,,,,,,3
198,09/21/22 16:25:00,4,2,2,3,1,2,3,,,,,,,,4
199,09/21/22 16:30:00,6,2,2,4,2,2,4,,,,,,,,6
200,09/21/22 16:35:00,7,4,4,6,2,3,6,,,,,,,,8
201,09/21/22 16:40:00,8,4,4,7,2,4,7,,,,,,,,11
202,09/21/22 16:45:00,9,6,6,8,3,4,8,,,,,,,,11
203,09/21/22 16:50:00,11,6,6,9,4,6,9,,,,,,,,14
204,09/21/22 16:55:00,12,8,7,12,6,7,12,,,,,,,,17
205,09/21/22 17:00:00,14,8,8,13,7,8,13,,,,,,,,19
206,09/21/22 17:05:00,16,9,9,14,8,9,14,,,,,,,,19
207,09/21/22 17:10:00,18,11,11,17,9,11,16,,,,,,,,23
208,09/21/22 17:15:00,22,13,12,19,11,12,18,,,,,,,,26
209,09/21/22 17:20:00,24,17,13,23,13,14,22,,,,,,,,28
210,09/21/22 17:25:00,26,18,14,24,14,16,23,,,,,,,,29
211,09/21/22 17:30:00,29,19,17,27,16,17,28,,,,,,,,34
212,09/21/22 17:35:00,31,21,17,28,17,19,31,,,,,,,,41
213,09/21/22 17:40:00,33,23,18,32,18,21,33,,,,,,,,44
214,09/21/22 17:45:00,37,24,21,34,21,23,34,,,,,,,,46
215,09/21/22 17:50:00,39,28,23,38,22,26,38,,,,,,,,48
216,09/21/22 17:55:00,44,29,26,42,24,27,39,,,,,,,,51
217,09/21/22 18:00:00,52,36,29,49,28,28,43,,,,,,,,58
218,09/21/22 18:05:00,57,43,33,57,32,29,44,,,,,,,,78
219,09/21/22 18:10:00,58,44,33,56,31,33,58,,,,,,,,86
220,09/21/22 18:15:00,56,46,34,57,32,38,66,,,,,,,,89
221,09/21/22 18:20:00,59,47,33,57,33,36,62,,,,,,,,66
222,09/21/22 18:25:00,49,44,31,52,28,33,52,,,,,,,,54
223,09/21/22 18:30:00,43,37,24,43,24,28,48,,,,,,,,53
224,09/21/22 18:35:00,39,34,23,41,22,26,43,,,,,,,,52
225,09/21/22 18:40:00,41,33,22,39,22,24,43,,,,,,,,51
226,09/21/22 18:45:00,38,29,22,37,21,23,42,,,,,,,,63
227,09/21/22 18:50:00,44,36,22,41,23,27,52,,,,,,,,81
228,09/21/22 18:55:00,44,37,22,41,23,29,71,,,,,,,,74
229,09/21/22 19:00:00,44,36,21,39,23,27,51,,,,,,,,83
230,09/21/22 19:05:00,46,38,21,42,26,26,67,,,,,,,,83
231,09/21/22 19:10:00,52,39,23,46,28,27,58,,,,,,,,82
232,09/21/22 19:15:00,52,43,24,51,32,32,66,,,,,,,,91
233,09/21/22 19:20:00,54,43,27,52,33,33,63,,,,,,,,86
234,09/21/22 19:25:00,57,42,28,54,34,36,62,,,,,,,,91
235,09/21/22 19:30:00,72,48,33,63,42,39,64,,,,,,,,94
236,09/21/22 19:35:00,82,61,39,78,53,48,77,,,,,,,,87
237,09/21/22 19:40:00,89,63,47,86,56,56,84,,,,,,,,83
238,09/21/22 19:45:00,93,69,53,97,61,59,83,,,,,,,,91
239,09/21/22 19:50:00,84,63,52,93,59,56,64,,,,,,,,104
240,09/21/22 19:55:00,79,53,47,79,49,48,64,,,,,,,,104
241,09/21/22 20:00:00,73,48,43,73,46,44,58,,,,,,,,139
242,09/21/22 20:05:00,106,64,47,89,62,49,82,,,,,,,,172
243,09/21/22 20:10:00,156,126,49,131,103,67,169,,,,,,,,192
244,09/21/22 20:15:00,161,147,49,141,108,79,222,,,,,,,,168
245,09/21/22 20:20:00,157,141,54,138,98,93,211,,,,,,,,137
246,09/21/22 20:25:00,157,132,67,147,102,108,173,,,,,,,,138
247,09/21/22 20:30:00,128,103,74,137,89,94,102,,,,,,,,131
248,09/21/22 20:35:00,97,78,63,117,79,64,72,,,,,,,,129
249,09/21/22 20:40:00,79,66,48,87,56,56,101,,,,,,,,132
250,09/21/22 20:45:00,109,79,41,89,68,64,103,,,,,,,,106
251,09/21/22 20:50:00,98,82,47,107,83,67,97,,,,,,,,82
252,09/21/22 20:55:00,58,49,44,81,54,51,77,,,,,,,,82
253,09/21/22 21:00:00,67,44,34,64,44,41,62,,,,,,,,122
254,09/21/22 21:05:00,86,64,41,82,61,51,79,,,,,,,,171
255,09/21/22 21:10:00,73,63,41,77,53,52,87,,,,,,,,157
256,09/21/22 21:15:00,102,69,41,86,64,48,76,,,,,94,,,134
257,09/21/22 21:20:00,81,71,47,91,63,58,107,,,,,93,,,139
258,09/21/22 21:25:00,82,63,43,76,48,63,96,,,,,83,,,144
259,09/21/22 21:30:00,87,62,48,84,56,59,87,,,,,94,,,139
260,09/21/22 21:35:00,92,62,51,89,57,61,87,,,,,101,,,126
261,09/21/22 21:40:00,99,68,58,99,62,68,93,,,,,109,,,146
262,09/21/22 21:45:00,103,73,64,104,63,72,103,,,,,117,,,149
263,09/21/22 21:50:00,122,84,67,118,78,77,108,,,,,132,,,129
264,09/21/22 21:55:00,98,82,63,108,69,84,108,,,,,109,,,136
265,09/21/22 22:00:00,88,62,59,94,57,67,83,,,,,108,,,127
266,09/21/22 22:05:00,93,66,53,93,61,69,111,,,,,104,,,109
267,09/21/22 22:10:00,86,66,52,91,57,77,101,,,,,97,,,122
268,09/21/22 22:15:00,87,59,54,89,56,67,77,,,,,101,,,104
269,09/21/22 22:20:00,83,58,54,91,56,61,76,,,,,98,,,106
270,09/21/22 22:25:00,88,58,52,89,57,58,77,,,,,98,,,112
271,09/21/22 22:30:00,86,61,51,89,57,61,76,,,,,94,,,98
272,09/21/22 22:35:00,94,63,53,93,59,63,81,,,,,103,,,96
273,09/21/22 22:40:00,89,63,57,96,59,68,79,,,,,103,,,99
274,09/21/22 22:45:00,93,58,53,94,63,62,72,,,,,101,,,96
275,09/21/22 22:50:00,104,66,56,107,76,66,86,,,,,119,,,92
276,09/21/22 22:55:00,87,64,57,97,62,74,79,,,,,103,,,91
277,09/21/22 23:00:00,83,56,51,89,56,63,74,,,,,93,,,87
278,09/21/22 23:05:00,81,56,51,89,56,61,68,,,,,91,,,89
279,09/21/22 23:10:00,83,54,49,84,53,58,68,,,,,93,78,-888.88,101
280,09/21/22 23:15:00,64,52,47,76,43,58,76,,,,,71,61,-888.88,101
281,09/21/22 23:20:00,68,46,41,68,41,56,67,,,,,73,59,,97
282,09/21/22 23:25:00,77,49,47,79,48,52,66,63,,,,84,69,,96
283,09/21/22 23:30:00,83,53,49,86,54,52,68,71,,61,,93,74,63,111
284,09/21/22 23:35:00,76,54,51,84,49,61,79,69,,66,,89,78,57,123
285,09/21/22 23:40:00,83,54,49,84,53,64,81,68,,64,,93,73,59,114
286,09/21/22 23:45:00,82,57,51,89,54,63,79,72,,68,,94,78,63,108
287,09/21/22 23:50:00,81,54,51,84,51,62,77,69,,66,,92,76,61,103
288,09/21/22 23:55:00,79,56,51,87,52,64,79,69,,66,,91,74,61,108
289,09/22/22 00:00:00,77,53,49,83,51,67,79,67,,63,,87,73,58,116
290,09/22/22 00:05:00,79,51,44,84,57,62,73,68,,66,,89,69,58,112
291,09/22/22 00:10:00,73,51,44,82,52,58,76,67,,66,,82,71,56,94
292,09/22/22 00:15:00,69,46,44,76,47,57,68,61,,59,,79,66,52,87
293,09/22/22 00:20:00,69,44,44,77,48,49,59,63,-888.88,62,,81,67,52,83
294,09/22/22 00:25:00,67,43,44,74,46,47,58,59,-888.88,58,,77,63,17,84
295,09/22/22 00:30:00,73,44,43,79,51,48,56,63,57,63,,83,62,12,81
296,09/22/22 00:35:00,76,47,44,81,51,51,58,67,58,64,,84,72,27,81
297,09/22/22 00:40:00,72,46,47,79,49,53,59,63,56,63,,83,72,,78
298,09/22/22 00:45:00,71,44,46,77,47,53,59,62,56,61,,81,67,,78
299,09/22/22 00:50:00,64,43,43,73,43,52,56,57,52,56,,73,63,,78
300,09/22/22 00:55:00,64,42,41,69,41,47,54,54,49,52,,72,59,,78
301,09/22/22 01:00:00,66,42,41,71,43,48,54,57,51,54,,74,62,,82
302,09/22/22 01:05:00,62,39,41,69,41,47,54,56,48,53,,71,59,,81
303,09/22/22 01:10:00,62,38,39,67,41,44,52,53,51,,,69,57,,78
304,09/22/22 01:15:00,62,39,38,67,42,43,52,61,48,51,,69,57,,76
305,09/22/22 01:20:00,62,39,37,67,41,43,51,53,44,64,,68,56,,72
306,09/22/22 01:25:00,57,36,37,63,37,42,48,56,44,48,,64,54,,68
307,09/22/22 01:30:00,56,34,36,61,37,41,47,48,43,47,,63,53,,66
308,09/22/22 01:35:00,54,34,34,59,34,39,46,47,42,44,,62,49,,63
309,09/22/22 01:40:00,52,32,34,56,33,38,44,46,39,43,,58,49,,59
310,09/22/22 01:45:00,49,32,33,54,31,36,41,42,38,41,,56,47,,59
311,09/22/22 01:50:00,47,29,31,52,28,34,41,39,36,39,,53,47,,57
312,09/22/22 01:55:00,44,28,29,48,27,33,39,38,34,36,,49,46,,52
313,09/22/22 02:00:00,43,27,27,46,27,32,36,38,32,34,,47,39,,48
314,09/22/22 02:05:00,38,,24,43,24,29,33,33,31,32,,43,38,,46
315,09/22/22 02:10:00,,,,,,26,29,31,27,29,,41,34,,43
316,09/22/22 02:15:00,,,,,,,,29,27,28,,38,33,,42
317,09/22/22 02:20:00,,,,,,,,28,24,27,,36,31,,42
318,09/22/22 02:25:00,,,,,,,,27,24,26,,36,29,,44
319,09/22/22 02:30:00,33,,,,,,,27,24,26,,36,29,,47
320,09/22/22 02:35:00,,,,,,,,,23,26,,,,,
321,09/22/22 02:40:00,,,,,,19,19,,,,,,,,
322,09/22/22 03:00:00,11,6,6,26,6,,,21,11,14,,12,9,,13
323,09/22/22 03:10:00,,,,,,9,7,,,,,,,,
324,09/22/22 03:30:00,8,4,4,9,6,,,7,6,7,,8,7,,12
325,09/22/22 03:40:00,,,,,,4,6,,,,,,,,
326,09/22/22 04:00:00,3,3,3,6,3,,,4,3,6,,4,6,,6
327,09/22/22 04:10:00,,,,,,2,2,,,,,,,,
328,09/22/22 04:30:00,1,1,1,2,1,,,1,1,2,,1,2,,2
329,09/22/22 04:40:00,,,,,,1,1,,,,,,,,
330,09/22/22 05:00:00,1,1,1,1,1,,,1,1,1,,1,1,,1
331,09/22/22 05:10:00,,,,,,1,1,,,,,,,,
332,09/22/22 05:30:00,1,1,1,1,1,,,1,1,1,,1,1,,1
333,09/22/22 05:40:00,,,,,,1,1,,,,,,,,
334,09/22/22 06:00:00,1,1,1,1,1,,,1,1,1,,1,1,,1
335,09/22/22 06:10:00,,,,,,1,1,,,,,,,,
336,09/22/22 06:30:00,1,1,1,1,1,,,1,1,1,,1,1,,1
337,09/22/22 06:40:00,,,,,,1,1,,,,,,,,
338,09/22/22 07:00:00,1,1,1,1,1,,,1,1,1,,1,1,,1
339,09/22/22 07:10:00,,,,,,1,1,,,,,,,,
340,09/22/22 07:30:00,1,1,1,1,1,,,1,1,1,,1,1,,1
341,09/22/22 07:40:00,,,,,,1,1,,,,,,,,
342,09/22/22 08:00:00,1,1,1,1,1,,,1,1,1,,1,1,,1
343,09/22/22 08:10:00,,,,,,1,1,,,,,,,,
344,09/22/22 08:30:00,1,1,1,1,1,,,1,1,1,,1,1,,1
345,09/22/22 08:40:00,,,,,,1,1,,,,,,,,
346,09/22/22 09:00:00,1,1,1,1,1,,,1,1,1,,1,1,,1
347,09/22/22 09:10:00,,,,,,1,1,,,,,,,,
348,09/22/22 09:30:00,1,1,1,1,1,,,1,1,1,,1,1,,1
349,09/22/22 09:40:00,,,,,,1,1,,,,,,,,
350,09/22/22 10:00:00,1,1,1,1,1,,,1,1,1,,1,1,,1
351,09/22/22 10:10:00,,,,,,1,1,,,,,,,,
352,09/22/22 10:30:00,1,1,1,1,1,,,1,1,1,,1,1,,1
353,09/22/22 10:40:00,,,,,,1,1,,,,,,,,
354,09/22/22 11:00:00,1,1,1,1,1,,,1,1,1,,1,1,,1
355,09/22/22 11:10:00,,,,,,1,1,,,,,,,,
356,09/22/22 11:30:00,1,1,1,1,1,,,1,1,1,,1,1,,1
357,09/22/22 11:40:00,,,,,,1,1,,,,,,,,
