Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6","Solar Radiation (RXW-LIB 21198259:21398616-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5"
1,09/01/22 00:00:00,116,68,59,,86,82,116,108,,,,,,,161,-888.88,
2,09/01/22 00:30:00,157,93,79,,168,151,147,193,,,,,,,243,-888.88,
3,09/01/22 01:00:00,163,82,81,,184,171,143,214,,,,,,,247,-888.88,
4,09/01/22 01:30:00,89,67,69,,114,111,66,138,,,,,,,103,-888.88,
5,09/01/22 02:00:00,51,34,41,,47,49,46,61,,,,,,,141,-888.88,
6,09/01/22 02:30:00,101,49,49,,53,67,97,87,,,,,,,169,-888.88,
7,09/01/22 03:00:00,57,49,57,,53,73,57,89,,,,,,,68,-888.88,
8,09/01/22 03:30:00,58,26,32,,33,41,46,51,,,,,,,117,-888.88,
9,09/01/22 04:00:00,78,37,52,,46,72,57,79,,,,,,,64,-888.88,
10,09/01/22 04:30:00,44,24,34,,31,36,33,42,,,,,,,54,-888.88,
11,09/01/22 05:00:00,27,21,28,,23,31,22,36,,,,,,,34,-888.88,
12,09/01/22 05:30:00,17,11,17,,12,17,13,19,,,,,,,21,-888.88,
13,09/01/22 06:00:00,8,6,11,,6,9,6,12,,,,,,,11,-888.88,
14,09/01/22 06:30:00,1,2,3,,2,3,1,4,,,,,,,2,-888.88,
15,09/01/22 07:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
16,09/01/22 07:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
17,09/01/22 08:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
18,09/01/22 08:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
19,09/01/22 09:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
20,09/01/22 09:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
21,09/01/22 10:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
22,09/01/22 10:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
23,09/01/22 11:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
24,09/01/22 11:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
25,09/01/22 12:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
26,09/01/22 12:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
27,09/01/22 13:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
28,09/01/22 13:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
29,09/01/22 14:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
30,09/01/22 14:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
31,09/01/22 15:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
32,09/01/22 15:30:00,4,1,1,,1,1,3,2,,,,,,,4,-888.88,
33,09/01/22 16:00:00,8,3,3,,2,4,8,6,,,,,,,13,-888.88,
34,09/01/22 16:30:00,21,8,8,,8,9,16,14,,,,,,,22,-888.88,
35,09/01/22 17:00:00,24,14,14,,12,16,22,22,,,,,,,29,-888.88,
36,09/01/22 17:30:00,32,19,21,,17,22,28,29,,,,,,,38,-888.88,
37,09/01/22 18:00:00,38,23,24,,21,26,34,34,,,,,,,56,-888.88,
38,09/01/22 18:30:00,56,32,31,,28,33,49,47,,,,,,,83,-888.88,
39,09/01/22 19:00:00,78,51,47,,44,53,73,74,,,,,,,99,-888.88,
40,09/01/22 19:30:00,86,59,57,,53,62,74,84,,,,,,,99,-888.88,
41,09/01/22 20:00:00,124,68,62,,62,67,108,92,,,,,,,136,-888.88,
42,09/01/22 20:30:00,137,92,84,,83,97,126,131,,,,,,,139,-888.88,
43,09/01/22 21:00:00,182,112,99,,103,111,164,149,,,,,,,207,-888.88,
44,09/01/22 21:30:00,229,133,109,,123,136,214,192,,,,,,,171,-888.88,
45,09/01/22 22:00:00,79,82,78,,76,94,72,126,,,,,,,134,-888.88,
46,09/01/22 22:30:00,104,59,54,,53,61,97,86,,,,,,,157,-888.88,
47,09/01/22 23:00:00,98,76,71,,68,82,93,113,,,,,,,167,-888.88,
48,09/01/22 23:30:00,101,61,57,,53,64,91,88,,,,,,,137,-888.88,
49,09/02/22 00:00:00,89,64,63,,57,67,87,92,,,,,,,123,-888.88,
50,09/02/22 00:30:00,78,56,53,,49,63,76,86,,,,,,,107,-888.88,
51,09/02/22 01:00:00,63,49,48,,43,53,54,73,,,,,,,82,-888.88,
52,09/02/22 01:30:00,62,43,43,,38,46,54,61,,,,,,,78,-888.88,
53,09/02/22 02:00:00,57,39,38,,34,42,51,57,,,,,,,102,-888.88,
54,09/02/22 02:30:00,72,44,41,,39,47,62,64,,,,,,,113,-888.88,
55,09/02/22 03:00:00,89,53,53,,53,58,69,78,,,,,,,113,-888.88,
56,09/02/22 03:30:00,48,41,42,,38,48,41,63,,,,,,,82,-888.88,
57,09/02/22 04:00:00,44,28,29,,27,33,42,44,,,,,,,48,-888.88,
58,09/02/22 04:30:00,27,19,22,,19,27,23,33,,,,,,,41,-888.88,
59,09/02/22 05:00:00,11,12,14,,12,17,11,22,,,,,,,29,-888.88,
60,09/02/22 05:30:00,2,2,2,,2,3,2,6,,,,,,,3,-888.88,
61,09/02/22 06:00:00,1,1,1,,1,1,1,2,,,,,,,1,-888.88,
62,09/02/22 06:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
63,09/02/22 07:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
64,09/02/22 07:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
65,09/02/22 08:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
66,09/02/22 08:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
67,09/02/22 09:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
68,09/02/22 09:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
69,09/02/22 10:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
70,09/02/22 10:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
71,09/02/22 11:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
72,09/02/22 11:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
73,09/02/22 12:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
74,09/02/22 12:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
75,09/02/22 13:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
76,09/02/22 13:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
77,09/02/22 14:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
78,09/02/22 14:30:00,2,1,1,,1,1,2,1,,,,,,,4,-888.88,
79,09/02/22 15:00:00,11,3,3,,2,3,12,6,,,,,,,14,-888.88,
80,09/02/22 15:30:00,19,12,12,,8,11,16,17,,,,,,,27,-888.88,
81,09/02/22 16:00:00,18,14,13,,11,13,18,19,,,,,,,24,-888.88,
82,09/02/22 16:30:00,26,16,14,,12,14,24,23,,,,,,,29,-888.88,
83,09/02/22 17:00:00,33,22,21,,17,22,37,31,,,,,,,47,-888.88,
84,09/02/22 17:30:00,58,32,27,,24,31,48,44,,,,,,,68,-888.88,
85,09/02/22 18:00:00,67,36,33,,28,38,58,53,,,,,,,92,-888.88,
86,09/02/22 18:30:00,79,62,53,,47,52,83,76,,,,,,,101,-888.88,
87,09/02/22 19:00:00,102,59,54,,49,66,99,92,,,,,,,112,-888.88,
88,09/02/22 19:30:00,97,59,54,,51,64,91,89,,,,,,,132,-888.88,
89,09/02/22 20:00:00,136,88,73,,76,84,132,123,,,,,,,174,-888.88,
90,09/02/22 20:30:00,72,78,64,,68,82,77,116,,,,,,,162,-888.88,
91,09/02/22 21:00:00,176,88,66,,84,81,136,119,,,,,,,141,-888.88,
92,09/02/22 21:30:00,173,106,76,,102,84,104,123,,,,,,,258,-888.88,
93,09/02/22 22:00:00,196,134,99,,137,108,147,156,,,,,,,207,-888.88,
94,09/02/22 22:30:00,143,119,99,,121,132,173,179,,,,,,,184,-888.88,
95,09/02/22 23:00:00,91,79,71,,84,73,56,101,,,,,,,63,-888.88,
96,09/02/22 23:30:00,93,48,43,,46,53,86,72,,,,,,,129,-888.88,
97,09/03/22 00:00:00,119,71,63,,69,83,111,111,,,,,,,139,-888.88,
98,09/03/22 00:30:00,144,86,78,,86,98,124,131,,,,,,,168,-888.88,
99,09/03/22 01:00:00,123,91,84,,111,126,161,161,,,,,,,172,-888.88,
100,09/03/22 01:30:00,137,82,86,,108,114,119,143,,,,,,,138,-888.88,
101,09/03/22 02:00:00,109,77,79,,91,93,94,119,,,,,,,126,-888.88,
102,09/03/22 02:30:00,78,53,61,,63,76,69,93,,,,,,,106,-888.88,
103,09/03/22 03:00:00,59,41,46,,46,62,54,74,,,,,,,82,-888.88,
104,09/03/22 03:30:00,47,34,38,,37,43,44,54,,,,,,,73,-888.88,
105,09/03/22 04:00:00,48,31,41,,37,36,27,48,,,,,,,56,-888.88,
106,09/03/22 04:30:00,38,21,28,,23,38,24,39,,,,,,,34,-888.88,
107,09/03/22 05:00:00,17,16,18,,14,17,14,22,,,,,,,21,-888.88,
108,09/03/22 05:30:00,3,4,4,,3,6,4,8,,,,,,,7,-888.88,
109,09/03/22 06:00:00,1,1,1,,1,1,1,2,,,,,,,2,-888.88,
110,09/03/22 06:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
111,09/03/22 07:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
112,09/03/22 07:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
113,09/03/22 08:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
114,09/03/22 08:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
115,09/03/22 09:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
116,09/03/22 09:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
117,09/03/22 10:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
118,09/03/22 10:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
119,09/03/22 11:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
120,09/03/22 11:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
121,09/03/22 12:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
122,09/03/22 12:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
123,09/03/22 13:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
124,09/03/22 13:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
125,09/03/22 14:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
126,09/03/22 14:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
127,09/03/22 15:00:00,1,1,1,,1,1,2,1,,,,,,,2,-888.88,
128,09/03/22 15:30:00,3,1,1,,1,1,2,2,,,,,,,6,-888.88,
129,09/03/22 16:00:00,4,2,2,,1,2,4,4,,,,,,,11,-888.88,
130,09/03/22 16:30:00,16,6,4,,4,4,16,9,,,,,,,21,-888.88,
131,09/03/22 17:00:00,48,23,13,,18,14,31,26,,,,,,,48,-888.88,
132,09/03/22 17:30:00,72,63,31,,34,33,68,58,,,,,,,87,-888.88,
133,09/03/22 18:00:00,96,76,49,,51,52,103,88,,,,,,,99,-888.88,
134,09/03/22 18:30:00,67,53,39,,36,44,68,68,,,,,,,37,-888.88,
135,09/03/22 19:00:00,137,61,49,,49,52,94,74,,,,,,,81,-888.88,
136,09/03/22 19:30:00,82,73,47,,57,58,83,92,,,,,,,126,-888.88,
137,09/03/22 20:00:00,109,68,43,,56,58,114,98,,,,,,,128,-888.88,
138,09/03/22 20:30:00,153,104,66,,88,87,164,139,,,,,,,158,-888.88,
139,09/03/22 21:00:00,144,99,67,,88,82,121,127,,,,,,,178,-888.88,
140,09/03/22 21:30:00,181,113,79,,118,102,148,151,,,,,,,227,-888.88,
141,09/03/22 22:00:00,234,163,83,,188,134,216,217,,,,,,,241,-888.88,
142,09/03/22 22:30:00,309,164,73,,256,149,217,252,,,,,,,343,-888.88,
143,09/03/22 23:00:00,201,118,61,,262,151,154,253,,,,,,,211,-888.88,
144,09/03/22 23:30:00,206,116,82,,169,139,171,194,,,,,,,248,-888.88,
145,09/04/22 00:00:00,184,107,81,,189,163,141,217,,,,,,,238,-888.88,
146,09/04/22 00:30:00,572,102,77,,393,259,161,327,,,,,,,379,-888.88,
147,09/04/22 01:00:00,404,84,63,,574,257,136,411,,,,,,,372,-888.88,
148,09/04/22 01:30:00,132,69,67,,191,137,101,199,,,,,,,169,-888.88,
149,09/04/22 02:00:00,122,69,67,,92,87,93,116,,,,,,,381,-888.88,
150,09/04/22 02:30:00,132,64,98,,267,151,59,174,,,,,,,207,-888.88,
151,09/04/22 03:00:00,62,39,59,,71,74,53,82,,,,,,,102,-888.88,
152,09/04/22 03:30:00,39,36,42,,39,53,41,64,,,,,,,64,-888.88,
153,09/04/22 04:00:00,34,24,24,,22,29,29,39,,,,,,,47,-888.88,
154,09/04/22 04:30:00,18,14,14,,12,17,14,23,,,,,,,22,-888.88,
155,09/04/22 05:00:00,7,6,6,,4,7,6,11,,,,,,,11,-888.88,
156,09/04/22 05:30:00,1,2,2,,1,2,1,4,,,,,,,3,-888.88,
157,09/04/22 06:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
158,09/04/22 06:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
159,09/04/22 07:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
160,09/04/22 07:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
161,09/04/22 08:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
162,09/04/22 08:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
163,09/04/22 09:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
164,09/04/22 09:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
165,09/04/22 10:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
166,09/04/22 10:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
167,09/04/22 11:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
168,09/04/22 11:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
169,09/04/22 12:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
170,09/04/22 12:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
171,09/04/22 13:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
172,09/04/22 13:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
173,09/04/22 14:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
174,09/04/22 14:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
175,09/04/22 15:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
176,09/04/22 15:30:00,9,1,1,,1,1,6,2,,,,,,,6,-888.88,
177,09/04/22 16:00:00,16,12,11,,9,12,13,17,,,,,,,33,-888.88,
178,09/04/22 16:30:00,11,8,8,,6,9,8,13,,,,,,,12,-888.88,
179,09/04/22 17:00:00,27,7,7,,6,7,11,9,,,,,,,16,-888.88,
180,09/04/22 17:30:00,39,34,28,,22,24,21,47,,,,,,,76,-888.88,
181,09/04/22 18:00:00,49,49,37,,33,37,37,58,,,,,,,73,-888.88,
182,09/04/22 18:30:00,57,39,34,,33,38,98,54,,,,,,,81,-888.88,
183,09/04/22 19:00:00,78,51,43,,42,51,72,76,,,,,,,117,-888.88,
184,09/04/22 19:30:00,78,62,53,,52,58,79,86,,,,,,,103,-888.88,
185,09/04/22 20:00:00,98,69,59,,57,69,91,106,,,,,,,128,-888.88,
186,09/04/22 20:30:00,179,82,66,,72,74,124,106,,,,,,,139,-888.88,
187,09/04/22 21:00:00,77,231,47,,232,73,673,241,,,,,,,93,-888.88,
188,09/04/22 21:30:00,249,287,49,,308,89,251,328,,,,,,,199,-888.88,
189,09/04/22 22:00:00,323,209,51,,264,91,136,294,,,,,,,279,-888.88,
190,09/04/22 22:30:00,89,127,51,,348,94,224,234,,,,,,,637,-888.88,
191,09/04/22 23:00:00,132,63,36,,196,134,151,394,,,,,,,389,-888.88,
192,09/04/22 23:30:00,343,89,57,,402,248,179,333,,,,,,,132,-888.88,
193,09/05/22 00:00:00,167,89,66,,252,161,89,208,,,,,,,268,-888.88,
194,09/05/22 00:30:00,252,88,74,,354,166,139,212,,,,,,,518,-888.88,
195,09/05/22 01:00:00,324,67,61,,193,129,111,186,,,,,,,154,-888.88,
196,09/05/22 01:30:00,333,59,73,,232,114,113,194,,,,,,,488,-888.88,
197,09/05/22 02:00:00,106,59,73,,217,103,77,164,,,,,,,192,-888.88,
198,09/05/22 02:30:00,143,56,61,,74,72,73,88,,,,,,,132,-888.88,
199,09/05/22 03:00:00,43,27,47,,204,188,19,156,,,,,,,229,-888.88,
200,09/05/22 03:30:00,38,19,102,,186,159,39,62,,,,,,,82,-888.88,
201,09/05/22 04:00:00,17,16,118,,72,134,13,39,,,,,,,127,-888.88,
202,09/05/22 04:30:00,13,9,117,,34,106,11,16,,,,,,,61,-888.88,
203,09/05/22 05:00:00,9,8,76,,14,58,8,13,,,,,,,23,-888.88,
204,09/05/22 05:30:00,6,4,48,,6,27,4,8,,,,,,,11,-888.88,
205,09/05/22 06:00:00,2,2,8,,2,6,2,4,,,,,,,3,-888.88,
206,09/05/22 06:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
207,09/05/22 07:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
208,09/05/22 07:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
209,09/05/22 08:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
210,09/05/22 08:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
211,09/05/22 09:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
212,09/05/22 09:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
213,09/05/22 10:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
214,09/05/22 10:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
215,09/05/22 11:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
216,09/05/22 11:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
217,09/05/22 12:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
218,09/05/22 12:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
219,09/05/22 13:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
220,09/05/22 13:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
221,09/05/22 14:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
222,09/05/22 14:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
223,09/05/22 15:00:00,2,1,1,,1,1,2,1,,,,,,,2,-888.88,
224,09/05/22 15:30:00,4,2,2,,1,2,4,4,,,,,,,11,-888.88,
225,09/05/22 16:00:00,28,8,6,,4,4,16,11,,,,,,,17,-888.88,
226,09/05/22 16:30:00,53,32,18,,13,16,48,34,,,,,,,28,-888.88,
227,09/05/22 17:00:00,72,36,24,,19,22,32,46,,,,,,,43,-888.88,
228,09/05/22 17:30:00,126,69,34,,34,38,301,111,,,,,,,49,-888.88,
229,09/05/22 18:00:00,157,112,39,,44,63,404,234,,,,,,,86,-888.88,
230,09/05/22 18:30:00,143,223,56,,69,52,64,164,,,,,,,76,-888.88,
231,09/05/22 19:00:00,108,133,56,,59,71,88,119,,,,,,,117,-888.88,
232,09/05/22 19:30:00,86,66,54,,49,61,98,91,,,,,,,126,-888.88,
233,09/05/22 20:00:00,131,82,62,,67,78,153,121,,,,,,,176,-888.88,
234,09/05/22 20:30:00,131,109,72,,89,92,133,146,,,,,,,157,-888.88,
235,09/05/22 21:00:00,136,83,71,,73,87,133,124,,,,,,,178,-888.88,
236,09/05/22 21:30:00,143,131,79,,121,114,137,177,,,,,,,184,-888.88,
237,09/05/22 22:00:00,133,86,68,,82,89,93,133,,,,,,,212,-888.88,
238,09/05/22 22:30:00,157,98,81,,102,97,127,134,,,,,,,177,-888.88,
239,09/05/22 23:00:00,164,103,88,,107,106,156,144,,,,,,,244,-888.88,
240,09/05/22 23:30:00,196,89,68,,113,94,108,134,,,,,,,219,-888.88,
241,09/06/22 00:00:00,149,112,87,,328,194,83,257,,,,,,,289,-888.88,
242,09/06/22 00:30:00,576,103,86,,371,134,129,184,,,,,,,192,-888.88,
243,09/06/22 01:00:00,142,78,81,,223,116,118,154,,,,,,,187,-888.88,
244,09/06/22 01:30:00,172,69,74,,174,117,77,144,,,,,,,186,-888.88,
245,09/06/22 02:00:00,123,63,78,,119,109,123,141,,,,,,,114,-888.88,
246,09/06/22 02:30:00,114,42,58,,116,82,33,96,,,,,,,98,-888.88,
247,09/06/22 03:00:00,59,42,56,,51,64,56,72,,,,,,,82,-888.88,
248,09/06/22 03:30:00,43,29,36,,33,43,33,53,,,,,,,63,-888.88,
249,09/06/22 04:00:00,16,14,19,,18,21,16,26,,,,,,,51,-888.88,
250,09/06/22 04:30:00,9,6,8,,6,9,7,12,,,,,,,13,-888.88,
251,09/06/22 05:00:00,9,4,9,,7,9,6,9,,,,,,,19,-888.88,
252,09/06/22 05:30:00,7,4,18,,7,14,4,8,,,,,,,11,-888.88,
253,09/06/22 06:00:00,1,1,6,,2,4,1,3,,,,,,,2,-888.88,
254,09/06/22 06:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
255,09/06/22 07:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
256,09/06/22 07:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
257,09/06/22 08:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
258,09/06/22 08:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
259,09/06/22 09:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
260,09/06/22 09:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
261,09/06/22 10:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
262,09/06/22 10:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
263,09/06/22 11:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
264,09/06/22 11:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
265,09/06/22 12:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
266,09/06/22 12:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
267,09/06/22 13:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
268,09/06/22 13:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
269,09/06/22 14:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
270,09/06/22 14:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
271,09/06/22 15:00:00,1,1,1,,1,1,1,1,,,,,,,2,-888.88,
272,09/06/22 15:30:00,9,2,2,,2,2,4,3,,,,,,,6,-888.88,
273,09/06/22 16:00:00,22,9,9,,8,9,17,13,,,,,,,37,-888.88,
274,09/06/22 16:30:00,33,22,21,,18,23,37,34,,,,,,,71,-888.88,
275,09/06/22 17:00:00,26,16,16,,12,19,22,28,,,,,,,52,-888.88,
276,09/06/22 17:30:00,71,26,24,,23,26,54,36,,,,,,,64,-888.88,
277,09/06/22 18:00:00,109,83,59,,53,56,72,78,,,,,,,91,-888.88,
278,09/06/22 18:30:00,83,64,51,,48,56,72,79,,,,,,,273,-888.88,
279,09/06/22 19:00:00,169,117,69,,81,74,148,116,,,,,,,99,-888.88,
280,09/06/22 19:30:00,126,141,54,,93,78,182,151,,,,,,,211,-888.88,
281,09/06/22 20:00:00,136,109,54,,86,71,149,134,,,,,,,146,-888.88,
282,09/06/22 20:30:00,169,153,83,,139,111,147,189,,,,,,,249,-888.88,
283,09/06/22 21:00:00,143,136,76,,129,113,127,186,,,,,,,219,-888.88,
284,09/06/22 21:30:00,114,84,61,,86,83,93,127,,,,,,,263,-888.88,
285,09/06/22 22:00:00,152,122,78,,131,116,271,211,,,,,,,309,-888.88,
286,09/06/22 22:30:00,242,127,76,,182,137,168,238,,,,,,,194,-888.88,
287,09/06/22 23:00:00,237,79,37,,348,134,161,248,,,,,,,438,-888.88,
288,09/06/22 23:30:00,399,44,26,,534,288,38,362,,,,,,,442,-888.88,
289,09/07/22 00:00:00,378,22,19,,559,349,31,399,,,,,,,421,-888.88,
290,09/07/22 00:30:00,396,21,19,,537,327,27,359,,,,,,,392,-888.88,
291,09/07/22 01:00:00,347,19,18,,509,63,23,332,,,,,,,358,-888.88,
292,09/07/22 01:30:00,91,18,18,,471,22,21,307,,,,,,,318,-888.88,
293,09/07/22 02:00:00,32,17,18,,417,21,18,273,,,,,,,254,-888.88,
294,09/07/22 02:30:00,26,16,19,,319,156,17,228,,,,,,,238,-888.88,
295,09/07/22 03:00:00,21,14,21,,248,209,16,154,,,,,,,189,-888.88,
296,09/07/22 03:30:00,17,12,119,,216,169,13,37,,,,,,,144,-888.88,
297,09/07/22 04:00:00,16,11,116,,72,123,19,28,,,,,,,103,-888.88,
298,09/07/22 04:30:00,19,11,71,,29,51,14,31,,,,,,,31,-888.88,
299,09/07/22 05:00:00,12,8,19,,12,24,8,18,,,,,,,22,-888.88,
300,09/07/22 05:30:00,4,4,9,,4,9,4,8,,,,,,,8,-888.88,
301,09/07/22 06:00:00,1,1,2,,1,2,1,3,,,,,,,3,-888.88,
302,09/07/22 06:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
303,09/07/22 07:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
304,09/07/22 07:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
305,09/07/22 08:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
306,09/07/22 08:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
307,09/07/22 09:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
308,09/07/22 09:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
