"","date","station","sensor","depth","wspeedavg"
"86","2022-09-10","TNHA","TNHA-BASE",1,3.3125
"87","2022-09-11","TNHA","TNHA-BASE",1,3.07291666666667
"88","2022-09-12","TNHA","TNHA-BASE",1,4.64583333333333
"89","2022-09-13","TNHA","TNHA-BASE",1,5.77083333333333
"90","2022-09-14","TNHA","TNHA-BASE",1,5.82291666666667
"91","2022-09-15","TNHA","TNHA-BASE",1,5.3125
"92","2022-09-16","TNHA","TNHA-BASE",1,4.67708333333333
"93","2022-09-17","TNHA","TNHA-BASE",1,5.19135802469136
"94","2022-09-18","TNHA","TNHA-BASE",1,3.06944444444444
"95","2022-09-19","TNHA","TNHA-BASE",1,0.26388888888889
"96","2022-09-20","TNHA","TNHA-BASE",1,0.0520833333333333
"97","2022-09-21","TNHA","TNHA-BASE",1,0.0329861111111111
"98","2022-09-22","TNHA","TNHA-BASE",1,0.992753623188405
"99","2022-09-23","TNHA","TNHA-BASE",1,1.29166666666667
"100","2022-09-24","TNHA","TNHA-BASE",1,1.75
"101","2022-09-25","TNHA","TNHA-BASE",1,2.66666666666667
"102","2022-09-26","TNHA","TNHA-BASE",1,2.125
"103","2022-09-27","TNHA","TNHA-BASE",1,1.40625
"104","2022-09-28","TNHA","TNHA-BASE",1,1.95833333333333
"105","2022-09-29","TNHA","TNHA-BASE",1,3.5
"106","2022-09-30","TNHA","TNHA-BASE",1,0.229166666666667
"107","2022-10-01","TNHA","TNHA-BASE",1,1
"108","2022-10-02","TNHA","TNHA-BASE",1,1.08333333333333
"109","2022-10-03","TNHA","TNHA-BASE",1,1.54166666666667
"110","2022-10-04","TNHA","TNHA-BASE",1,0.34375
"111","2022-10-05","TNHA","TNHA-BASE",1,0.114583333333333
"112","2022-10-06","TNHA","TNHA-BASE",1,1.63541666666667
"113","2022-10-07","TNHA","TNHA-BASE",1,1.85416666666667
"114","2022-10-08","TNHA","TNHA-BASE",1,0.239583333333333
"115","2022-10-09","TNHA","TNHA-BASE",1,0.0104166666666667
"116","2022-10-10","TNHA","TNHA-BASE",1,0.322916666666667
"117","2022-10-11","TNHA","TNHA-BASE",1,0.65625
"118","2022-10-12","TNHA","TNHA-BASE",1,1.15625
"119","2022-10-13","TNHA","TNHA-BASE",1,0.0416666666666667
"120","2022-10-14","TNHA","TNHA-BASE",1,0.166666666666667
"121","2022-10-15","TNHA","TNHA-BASE",1,0.427083333333333
"122","2022-10-16","TNHA","TNHA-BASE",1,2.96875
"123","2022-10-17","TNHA","TNHA-BASE",1,3.22916666666667
"124","2022-10-18","TNHA","TNHA-BASE",1,0.760416666666667
"125","2022-10-19","TNHA","TNHA-BASE",1,0.28125
"126","2022-10-20","TNHA","TNHA-BASE",1,3.5
"127","2022-10-21","TNHA","TNHA-BASE",1,4.35416666666667
"128","2022-10-22","TNHA","TNHA-BASE",1,4.15625
"129","2022-10-23","TNHA","TNHA-BASE",1,2.72916666666667
"130","2022-10-24","TNHA","TNHA-BASE",1,2.42708333333333
"131","2022-10-25","TNHA","TNHA-BASE",1,3.10416666666667
"132","2022-10-26","TNHA","TNHA-BASE",1,1.75
"133","2022-10-27","TNHA","TNHA-BASE",1,2.86458333333333
"134","2022-10-28","TNHA","TNHA-BASE",1,2.17708333333333
