"","date","station","sensor","depth","wdiravg"
"87","2022-09-11","TNHA","TNHA-BASE",1,221.895833333333
"88","2022-09-12","TNHA","TNHA-BASE",1,213.833333333333
"89","2022-09-13","TNHA","TNHA-BASE",1,215.895833333333
"90","2022-09-14","TNHA","TNHA-BASE",1,213.895833333333
"91","2022-09-15","TNHA","TNHA-BASE",1,222.5625
"92","2022-09-16","TNHA","TNHA-BASE",1,225.395833333333
"93","2022-09-17","TNHA","TNHA-BASE",1,223.172839506173
"94","2022-09-18","TNHA","TNHA-BASE",1,223.694444444444
"95","2022-09-19","TNHA","TNHA-BASE",1,297.96875
"96","2022-09-20","TNHA","TNHA-BASE",1,285.020833333333
"97","2022-09-21","TNHA","TNHA-BASE",1,274.309027777778
"98","2022-09-22","TNHA","TNHA-BASE",1,250.768115942029
"99","2022-09-23","TNHA","TNHA-BASE",1,170.208333333333
"100","2022-09-24","TNHA","TNHA-BASE",1,226.145833333333
"101","2022-09-25","TNHA","TNHA-BASE",1,227.645833333333
"102","2022-09-26","TNHA","TNHA-BASE",1,217.166666666667
"103","2022-09-27","TNHA","TNHA-BASE",1,222
"104","2022-09-28","TNHA","TNHA-BASE",1,227.3125
"105","2022-09-29","TNHA","TNHA-BASE",1,215.125
"106","2022-09-30","TNHA","TNHA-BASE",1,298.666666666667
"107","2022-10-01","TNHA","TNHA-BASE",1,192.791666666667
"108","2022-10-02","TNHA","TNHA-BASE",1,237.1875
"109","2022-10-03","TNHA","TNHA-BASE",1,275.916666666667
"110","2022-10-04","TNHA","TNHA-BASE",1,308.583333333333
"111","2022-10-05","TNHA","TNHA-BASE",1,278.1875
"112","2022-10-06","TNHA","TNHA-BASE",1,308.270833333333
"113","2022-10-07","TNHA","TNHA-BASE",1,305.895833333333
"114","2022-10-08","TNHA","TNHA-BASE",1,306.354166666667
"115","2022-10-09","TNHA","TNHA-BASE",1,299.125
"116","2022-10-10","TNHA","TNHA-BASE",1,296.604166666667
"117","2022-10-11","TNHA","TNHA-BASE",1,266.3125
"118","2022-10-12","TNHA","TNHA-BASE",1,297.104166666667
"119","2022-10-13","TNHA","TNHA-BASE",1,313.583333333333
"120","2022-10-14","TNHA","TNHA-BASE",1,329.770833333333
"121","2022-10-15","TNHA","TNHA-BASE",1,312.25
"122","2022-10-16","TNHA","TNHA-BASE",1,226.3125
