time,Pm2.5,Pm10 0
2024-07-01T12:06:06.000Z,7,8
2024-07-01T12:17:45.000Z,,
2024-07-01T12:29:24.000Z,,
2024-07-01T12:41:03.000Z,,
2024-07-01T12:52:42.000Z,,
2024-07-01T13:04:21.000Z,4,4
2024-07-01T13:16:00.000Z,,
2024-07-01T13:27:39.000Z,,
2024-07-01T13:39:18.000Z,,
2024-07-01T13:50:57.000Z,,
2024-07-01T14:02:36.000Z,,
2024-07-01T14:14:15.000Z,5,6
2024-07-01T14:25:54.000Z,,
2024-07-01T14:37:33.000Z,,
2024-07-01T14:49:12.000Z,,
2024-07-01T15:00:51.000Z,,
2024-07-01T15:12:30.000Z,4,4
2024-07-01T15:24:09.000Z,,
2024-07-01T15:35:48.000Z,,
2024-07-01T15:47:27.000Z,,
2024-07-01T15:59:06.000Z,,
2024-07-01T16:10:45.000Z,,
2024-07-01T16:22:24.000Z,8,10
2024-07-01T16:34:03.000Z,,
2024-07-01T16:45:42.000Z,,
2024-07-01T16:57:21.000Z,,
2024-07-01T17:09:00.000Z,4,4
2024-07-01T17:20:39.000Z,,
2024-07-01T17:32:18.000Z,,
2024-07-01T17:43:57.000Z,,
2024-07-01T17:55:36.000Z,,
2024-07-01T18:07:15.000Z,,
2024-07-01T18:18:54.000Z,5,6
2024-07-01T18:30:33.000Z,,
2024-07-01T18:42:12.000Z,,
2024-07-01T18:53:51.000Z,,
2024-07-01T19:05:30.000Z,,
2024-07-01T19:17:09.000Z,4,4
2024-07-01T19:28:48.000Z,,
2024-07-01T19:40:27.000Z,,
2024-07-01T19:52:06.000Z,,
2024-07-01T20:03:45.000Z,,
2024-07-01T20:15:24.000Z,4,4
2024-07-01T20:27:03.000Z,,
2024-07-01T20:38:42.000Z,,
2024-07-01T20:50:21.000Z,,
2024-07-01T21:02:00.000Z,,
2024-07-01T21:13:39.000Z,207,258
2024-07-01T21:25:18.000Z,,
2024-07-01T21:36:57.000Z,,
2024-07-01T21:48:36.000Z,,
2024-07-01T22:00:15.000Z,,
2024-07-01T22:11:54.000Z,4,5
2024-07-01T22:23:33.000Z,,
2024-07-01T22:35:12.000Z,,
2024-07-01T22:46:51.000Z,,
2024-07-01T22:58:30.000Z,,
2024-07-01T23:10:09.000Z,,
2024-07-01T23:21:48.000Z,4,4
2024-07-01T23:33:27.000Z,,
2024-07-01T23:45:06.000Z,,
2024-07-01T23:56:45.000Z,,
2024-07-02T00:08:24.000Z,,
2024-07-02T00:20:03.000Z,5,6
2024-07-02T00:31:42.000Z,,
2024-07-02T00:43:21.000Z,,
2024-07-02T00:55:00.000Z,,
2024-07-02T01:06:39.000Z,,
2024-07-02T01:18:18.000Z,4,4
2024-07-02T01:29:57.000Z,,
2024-07-02T01:41:36.000Z,,
2024-07-02T01:53:15.000Z,,
2024-07-02T02:04:54.000Z,,
2024-07-02T02:16:33.000Z,5,6
2024-07-02T02:28:12.000Z,,
2024-07-02T02:39:51.000Z,,
2024-07-02T02:51:30.000Z,,
2024-07-02T03:03:09.000Z,,
